# Unchanged methods (Rate method)
518
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.InvokerTest.testInvoker();0.7644103629553857;0.18576685629821588;172.3;172.56666666666666;30;30
org.eclipse.jetty.servlet.AsyncServletLongPollTest.prepare(javax.servlet.http.HttpServlet);0.5621763457190055;0.43328979562188996;430.0;426.26666666666665;30;30
org.eclipse.jetty.servlet.DefaultServletTest.testFiltered();0.9759537948388274;0.9293151249146342;38.56666666666667;38.5;30;30
org.eclipse.jetty.util.thread.ScheduledExecutorScheduler.access$2(org.eclipse.jetty.util.thread.ScheduledExecutorScheduler);NaN;1.0;0.0;0.0;2220;2220
org.eclipse.jetty.util.ConcurrentArrayQueue.getBlockSize();NaN;1.0;0.0;0.0;900;960
org.eclipse.jetty.servlet.ServletContextHandler.callContextInitialized(javax.servlet.ServletContextListener,javax.servlet.ServletContextEvent);1.0;1.0;0.5333333333333333;0.5333333333333333;30;30
org.eclipse.jetty.servlet.ServletContextHandlerTest$2(org.eclipse.jetty.servlet.ServletContextHandlerTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.io.WriteFlusher$WritingState();NaN;1.0;0.0;0.0;240;240
org.eclipse.jetty.server.handler.HandlerList();NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.AsyncServletTest.process(java.lang.String,java.lang.String);0.9918666550940551;0.8191627357550983;80.94117647058823;80.99607843137255;510;510
org.eclipse.jetty.servlet.FilterHolder$Config(org.eclipse.jetty.servlet.FilterHolder);NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.server.Server.doStart();0.5860452754140679;0.136808978481043;49.784946236559136;47.840625;930;960
org.eclipse.jetty.servlet.AsyncServletLongPollTest.testSuspendedRequestCompletedByAnotherRequest();0.6122518512954778;0.2197822608161405;624.5666666666667;620.3333333333334;30;30
org.eclipse.jetty.servlet.DispatcherForwardTest$16(org.eclipse.jetty.servlet.DispatcherForwardTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.FilterMapping();NaN;1.0;0.0;0.0;420;420
org.eclipse.jetty.io.WriteFlusher$State(org.eclipse.jetty.io.WriteFlusher.StateType);NaN;1.0;0.0;0.0;720;720
