# Scenarios executed in both releases
126
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
Entry point for DefaultServletTest.testRangeRequests;0.2650181850095721;0.7393988193114495;33.7;32.233333333333334;30;30
Entry point for ServletHandlerTest.testAllNonProgrammaticFilterMappings;0.9541760568492378;0.5297824906260175;58.666666666666664;58.766666666666666;30;30
Entry point for AsyncContextTest.testDispatchWithContextAsyncContext;0.09619982819281248;0.25495317799825334;4.133333333333333;1.5333333333333332;30;30
Entry point for DefaultServletTest.testListingXSS;0.034704371503756624;0.04206682132383566;10.966666666666667;6.733333333333333;30;30
Entry point for DispatcherTest.testForwardWithParam;0.8168250987063199;0.882465683286275;9.4;8.866666666666667;30;30
Entry point for AsyncServletTest.testNormal;NaN;1.0;0.0;0.0;30;30
Entry point for DispatcherTest.testForwardNonUTF8;0.4102297056686026;0.7901470561745595;16.566666666666666;14.066666666666666;30;30
Entry point for DispatcherForwardTest.testQueryAggregatesWithFormMergedByForwardWithQuery;0.5167767034199973;0.5542678363243183;11.933333333333334;13.0;30;30
Entry point for AsyncIOServletTest.testAsyncReadThrowsError;0.9087379883629697;0.30766901370797495;11.866666666666667;12.066666666666666;30;30
Entry point for AsyncContextTest.testDispatch;0.6136151996552067;0.882465683286275;5.166666666666667;6.733333333333333;30;30
Entry point for AsyncServletTest.testSuspendTimeoutSuspend;0.35919535006876113;0.9705160513002812;46.333333333333336;46.833333333333336;30;30
Entry point for AsyncServletTest.testSuspendWaitComplete;1.0;1.0;62.36666666666667;62.36666666666667;30;30
Entry point for DispatcherTest.testInclude;0.012576489761172038;0.029756953000472652;17.7;10.4;30;30
Entry point for DispatcherForwardTest.testContentCanBeReadViaInputStreamAfterForwardWithoutQuery;0.7913049301435898;0.7731199424675231;8.766666666666667;9.3;30;30
Entry point for AsyncServletIOTest.testBigWrites;0.4468749118298655;0.5058591780795983;2433.5333333333333;2433.4333333333334;30;30
Entry point for DispatcherTest.testWorkingResourceHandler;0.9696793697828895;0.9175733096128048;3.6333333333333333;3.7;30;30
