# Degradated methods (Rate method)
155
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.DefaultServletTest.testFiltered();8.855425038179085E-16;2.8719471245608474E-11;35.86666666666667;67.96666666666667;30;30
org.eclipse.jetty.util.component.AbstractLifeCycle.stop();0.05536702431374337;0.4701378052523172;0.6982142857142857;0.9071729957805907;1680;2370
org.eclipse.jetty.util.BufferUtil.toBuffer(java.lang.String);0.7911426751340545;0.9873790817970888;0.018166666666666668;0.020833333333333332;6000;6000
org.eclipse.jetty.util.component.ContainerLifeCycle.unmanage(org.eclipse.jetty.util.component.ContainerLifeCycle.Bean);0.6635911759773954;0.971344497173195;0.038629283489096576;0.04744744744744745;3210;3330
org.eclipse.jetty.util.thread.QueuedThreadPool.newThread(java.lang.Runnable);0.3873447640812675;0.9799025825308104;0.02658045977011494;0.03799019607843137;6960;8160
org.eclipse.jetty.util.thread.QueuedThreadPool.startThreads(int);0.027966608060585978;0.5325738745142419;1.289655172413793;1.8215686274509804;870;1020
org.eclipse.jetty.servlet.AsyncServletTest.testFwdStartDispatch();0.12352325869527536;0.34028846509891675;33.233333333333334;35.8;30;30
org.eclipse.jetty.security.SecurityHandler.doStart();0.7352912343438356;0.8072749507289148;2.566666666666667;3.1;30;30
org.eclipse.jetty.servlet.ServletHandlerTest.testMatchAfterAndBefore();0.29354431239565926;0.5201446121616036;1.5666666666666667;3.1;30;30
org.eclipse.jetty.servlet.DispatcherTest.testForwardToResourceHandler();0.020211757661486945;0.08106110555538915;2.1;6.266666666666667;30;30
org.eclipse.jetty.server.ShutdownMonitor$ShutdownMonitorRunnable(org.eclipse.jetty.server.ShutdownMonitor);0.5357832019061759;0.9515173243444324;0.0367816091954023;0.061764705882352944;870;1020
org.eclipse.jetty.servlet.Holder.$SWITCH_TABLE$org$eclipse$jetty$servlet$BaseHolder$Source();0.31737256357183985;0.9844149627553685;0.0;0.003846153846153846;3840;3900
org.eclipse.jetty.servlet.BaseHolder.doStart();0.054864665071400906;0.8942713915361289;0.012365591397849462;0.04051282051282051;3720;3900
org.eclipse.jetty.util.ssl.SslContextFactory.selectProtocols(java.lang.String[],java.lang.String[]);0.321394279769444;0.8748829885276901;0.0;0.26666666666666666;60;60
org.eclipse.jetty.server.handler.ContextHandler.doStop();0.2642946600284958;0.5128755955293266;1.8866666666666667;2.533333333333333;150;210
org.eclipse.jetty.servlet.ServletContextHandler$Context.createFilter(java.lang.Class);0.5304956839032817;0.8952981043736571;0.16666666666666666;0.35555555555555557;90;90
org.eclipse.jetty.servlet.ServletHolder.doStop();0.5835249342196354;0.9436942147004574;0.07380952380952381;0.11666666666666667;420;540
org.eclipse.jetty.util.AttributesMap();0.6080729840460397;0.9850416506972847;0.005079365079365079;0.00935672514619883;3150;3420
org.eclipse.jetty.util.component.ContainerLifeCycle.manage(org.eclipse.jetty.util.component.ContainerLifeCycle.Bean);0.6660471192558604;0.948882347692323;0.12972322503008424;0.13920265780730898;8310;9030
org.eclipse.jetty.server.handler.ContextHandler.shutdown();0.3189317446414355;0.9311304181163833;0.0;0.10666666666666667;90;150
org.eclipse.jetty.util.thread.ScheduledExecutorScheduler$1.newThread(java.lang.Runnable);0.11726741872834845;0.8492319540030704;0.04954954954954955;0.09914529914529914;2220;2340
org.eclipse.jetty.server.handler.ContextHandler$Context.getAttributeNames();0.483797140630712;0.9022987681890635;0.10666666666666667;0.22380952380952382;150;210
org.eclipse.jetty.util.DateCache.formatTick(long);0.3919676389434511;0.8396589586232008;0.20666666666666667;0.4266666666666667;150;150
org.eclipse.jetty.util.component.ContainerLifeCycle.$SWITCH_TABLE$org$eclipse$jetty$util$component$ContainerLifeCycle$Managed();0.6237565204742543;0.9949830117797674;5.619950825430278E-4;0.0010071474983755686;28470;30780
org.eclipse.jetty.servlet.Holder.setClassName(java.lang.String);0.23402037361661376;0.9067309783071458;0.03696969696969697;0.07559523809523809;1650;1680
