# Unchanged methods (Rate method)
368
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
io.netty.testsuite.transport.AbstractTestsuiteTest.newAllocators();0.8416212469838833;0.5815602756297422;50.166666666666664;51.5;60;60
io.netty.testsuite.transport.udt.UDTClientServerConnectionTest.connection();0.6613778130557009;0.4496917979688907;6712.6;6682.8;10;10
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEchoWithVoidPromiseNotAutoRead(io.netty.bootstrap.ServerBootstrap,io.netty.bootstrap.Bootstrap);0.8498882886778627;0.6592957755351329;406.4;422.46666666666664;60;60
io.netty.channel.socket.nio.NioSocketChannel.config();NaN;1.0;0.0;0.0;110804;111389
io.netty.channel.oio.AbstractOioMessageChannel(io.netty.channel.Channel);NaN;1.0;0.0;0.0;1360;1418
io.netty.testsuite.transport.socket.DatagramUnicastTest$3(io.netty.testsuite.transport.socket.DatagramUnicastTest,java.util.concurrent.CountDownLatch);NaN;1.0;0.0;0.0;80;80
io.netty.buffer.UnpooledHeapByteBuf.setByte(int,int);NaN;1.0;0.0;0.0;3540;3378
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEcho();0.6847642660357267;0.3846730627355087;3066.9;3091.8;10;10
io.netty.bootstrap.AbstractBootstrap();NaN;1.0;0.0;0.0;7320;7668
io.netty.bootstrap.AbstractBootstrap.localAddress();NaN;1.0;0.0;0.0;3460;3634
io.netty.bootstrap.ServerBootstrap.newAttrArray(int);NaN;1.0;0.0;0.0;3380;3554
io.netty.buffer.UnpooledHeapByteBuf.getByte(int);NaN;1.0;0.0;0.0;360;360
io.netty.buffer.PoolThreadCache$MemoryRegionCache.add(io.netty.buffer.PoolChunk,long);NaN;1.0;0.0;0.0;60;60
io.netty.channel.socket.oio.OioServerSocketChannel.config();NaN;1.0;0.0;0.0;1140;1198
io.netty.buffer.PooledUnsafeDirectByteBuf.recycler();NaN;1.0;0.0;0.0;60;60
io.netty.buffer.UnpooledUnsafeDirectByteBuf.freeDirect(java.nio.ByteBuffer);NaN;1.0;0.0;0.0;60;60
io.netty.channel.socket.nio.ProtocolFamilyConverter.convert(io.netty.channel.socket.InternetProtocolFamily);NaN;1.0;0.0;0.0;220;220
io.netty.buffer.PooledByteBufAllocator(boolean);NaN;1.0;0.0;0.0;160;180
io.netty.channel.AdaptiveRecvByteBufAllocator(int,int,int);NaN;1.0;0.0;0.0;160;180
io.netty.testsuite.transport.socket.DatagramUnicastTest$1(io.netty.testsuite.transport.socket.DatagramUnicastTest,java.util.concurrent.CountDownLatch);NaN;1.0;0.0;0.0;80;80
io.netty.buffer.AbstractByteBuf.equals(java.lang.Object);NaN;1.0;0.0;0.0;60;60
io.netty.testsuite.transport.socket.SocketSpdyEchoTest$SpdyEchoTestClientHandler(io.netty.buffer.ByteBuf,boolean);NaN;1.0;0.0;0.0;120;114
io.netty.channel.socket.oio.OioDatagramChannel.joinGroup(java.net.InetSocketAddress,java.net.NetworkInterface,io.netty.channel.ChannelPromise);NaN;1.0;0.0;0.0;20;20
io.netty.testsuite.transport.AbstractComboTestsuiteTest.newAllocators();0.9157353634835954;0.5418879837192718;15.612068965517242;15.801313628899836;580;609
io.netty.testsuite.util.TestUtils.testMethodName(org.junit.rules.TestName);NaN;1.0;0.0;0.0;3780;3954
io.netty.channel.ChannelMetadata(boolean);NaN;1.0;0.0;0.0;520;600
io.netty.channel.nio.NioEventLoop(io.netty.channel.nio.NioEventLoopGroup,java.util.concurrent.ThreadFactory,java.nio.channels.spi.SelectorProvider);0.8256527748985569;0.811949349513091;3.1925;3.26;800;900
