# Optimized methods (UTest P-Value)
26
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
io.netty.testsuite.transport.socket.SocketSpdyEchoTest.createFrames(int);1.3743106812080246E-4;0.0017476349661124102;28.583333333333332;8.975;60;120
io.netty.bootstrap.AbstractBootstrap.doBind(java.net.SocketAddress);2.9382775879709636E-19;3.47499806707674E-14;29.73972602739726;8.808715596330275;730;2180
io.netty.bootstrap.AbstractBootstrap.bind();2.7882039231799372E-19;2.986499936241671E-14;29.78082191780822;8.822935779816515;730;2180
io.netty.bootstrap.Bootstrap.doConnect(java.net.SocketAddress,java.net.SocketAddress);1.1254611143466962E-8;0.0;15.710344827586207;5.82;580;1900
io.netty.bootstrap.Bootstrap.connect(java.net.SocketAddress);0.006767139838032519;2.715583502154173E-4;68.73333333333333;21.075;30;80
io.netty.channel.DefaultChannelPipeline(io.netty.channel.AbstractChannel);5.747020376650512E-17;1.6663366041780314E-5;1.8548148148148147;0.596875;1350;4160
io.netty.channel.DefaultChannelPromise.await();2.0514062246517117E-36;8.760991931922035E-12;58.42440401505646;21.20350436710382;6376;37439
io.netty.bootstrap.AbstractBootstrap.initAndRegister();1.1178069533946447E-26;0.0;22.502962962962965;6.9810096153846155;1350;4160
io.netty.channel.AbstractChannel(io.netty.channel.Channel);1.4376439772151396E-16;1.2277328376164576E-8;9.928148148148148;3.55;1350;4160
io.netty.bootstrap.AbstractBootstrap$BootstrapChannelFactory.newChannel();4.0831521286428977E-25;0.0;20.121774193548386;5.825380710659899;1240;3940
io.netty.channel.socket.oio.OioServerSocketChannel(java.net.ServerSocket);1.9068895223454518E-8;6.717845474391027E-5;3.7157894736842105;0.7935483870967742;190;620
io.netty.bootstrap.Bootstrap.connect();2.349554452134609E-7;0.0;12.883636363636363;5.167032967032967;550;1820
io.netty.bootstrap.Bootstrap.connect(java.lang.String,int);0.006038596373826816;1.2019690412823358E-4;69.26666666666667;21.075;30;80
io.netty.channel.AbstractChannel$AbstractUnsafe(io.netty.channel.AbstractChannel);0.003636122183547014;0.003923358224438012;1.4074074074074074;0.8439903846153847;1350;4160
io.netty.testsuite.transport.socket.SocketTestPermutation$7.newInstance();1.4003529992916796E-5;0.02365971922997434;1.8210526315789475;0.6072580645161291;380;1240
io.netty.channel.DefaultChannelPromise.sync();2.00452638469211E-36;6.554201625874612E-12;58.43412797992472;21.208125217019685;6376;37439
io.netty.testsuite.transport.socket.SocketShutdownOutputByPeerTest.testShutdownOutputWithoutOption(io.netty.bootstrap.ServerBootstrap);0.012169002495401643;3.008948299100256E-4;253.55;192.25;20;40
io.netty.channel.nio.AbstractNioByteChannel.newUnsafe();0.5774642456450194;0.03701805907850997;1.7947368421052632;1.489516129032258;380;1240
io.netty.channel.socket.nio.NioServerSocketChannel();9.985227187509192E-22;2.0871915307196787E-10;12.113888888888889;0.9583333333333334;360;1200
io.netty.channel.socket.nio.NioSocketChannel(io.netty.channel.Channel,java.nio.channels.SocketChannel);2.1550995657529669E-10;3.375038530717411E-5;5.536842105263158;0.7548387096774194;380;1240
io.netty.testsuite.transport.socket.SocketTestPermutation$2$1.newChannel();0.0020210090826339572;8.483183413372508E-4;34.31818181818182;12.695454545454545;110;220
io.netty.channel.nio.AbstractNioMessageChannel.newUnsafe();2.1311160147694996E-14;2.2097999763381893E-8;3.980851063829787;1.3401408450704224;470;1420
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEcho(io.netty.bootstrap.ServerBootstrap,io.netty.bootstrap.Bootstrap);0.6707048028279987;0.04121391015796971;1185.0333333333333;1115.15;30;60
io.netty.buffer.AbstractByteBufAllocator(boolean);7.767959094442687E-20;2.9187763317395365E-13;17.286666666666665;9.64;150;300
io.netty.testsuite.transport.socket.WriteBeforeRegisteredTest.testWriteBeforeConnect(io.netty.bootstrap.Bootstrap);0.010288532260736193;3.4753250880537045E-5;121.65;51.475;20;40
io.netty.testsuite.transport.socket.SocketTestPermutation$5.newInstance();1.2451648444955007E-9;4.018068466349334E-5;3.113888888888889;0.7675;360;1200
0.0
0.05
