# Methods executed in both releases
3439
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.protocol.http.mock.Cookies$Key(javax.servlet.http.Cookie);NaN;1.0;0.0;0.0;100;100
org.apache.wicket.request.mapper.info.PageInfo();NaN;1.0;0.0;0.0;3610;4840
org.apache.wicket.velocity.Initializer.getVelocityProperties(org.apache.wicket.Application);0.213904109802873;0.5084016744204638;2.066666666666667;4.933333333333334;60;60
org.apache.wicket.util.io.FullyBufferedReader.getLineNumber();1.0;1.0;7.5E-4;7.5E-4;20000;20000
org.apache.wicket.Component.getMarkup();3.3805827185067094E-14;0.24683331925076868;0.42803114571746387;0.13506072123852786;107880;107870
org.apache.wicket.markup.html.form.RadioChoice.appendOptionHtml(org.apache.wicket.util.string.AppendingStringBuffer,java.lang.Object,int,java.lang.String);0.9637894753414502;0.9941019213254952;0.5333333333333333;0.5;30;30
org.apache.wicket.devutils.debugbar.DebugBar(java.lang.String);NaN;1.0;0.0;0.0;420;420
org.apache.wicket.util.collections.MicroMap.put(java.lang.Object,java.lang.Object);NaN;1.0;0.0;0.0;30;30
org.apache.wicket.examples.library.AuthenticatedWebPage();NaN;1.0;0.0;0.0;10;10
org.apache.wicket.util.license.CssLicenseHeaderHandler(java.util.List);NaN;1.0;0.0;0.0;10;10
org.apache.wicket.request.mapper.info.ComponentInfo.getRenderCount();NaN;1.0;0.0;0.0;180;180
org.apache.wicket.request.mapper.parameter.PageParameters$Entry.access$0(org.apache.wicket.request.mapper.parameter.PageParameters.Entry);0.31732361623530314;0.9931092825025516;0.0;8.66738894907909E-4;15660;18460
org.apache.wicket.request.resource.caching.version.LastModifiedResourceVersion.getVersion(org.apache.wicket.request.resource.caching.IStaticCacheableResource);0.8592410309392469;0.5301400733434031;1.0486166007905138;1.224110671936759;2530;2530
org.apache.wicket.Page.onRender();0.15833878503645604;0.43277736473494066;419.9888888888889;385.47037037037035;540;540
org.apache.wicket.authorization.Action(java.lang.String);NaN;1.0;0.0;0.0;100;100
org.apache.wicket.util.convert.converter.CalendarConverter();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.Component.setDefaultModel(org.apache.wicket.model.IModel);0.25886957496254537;0.6471589553653053;3.8521739130434782;2.7130434782608694;230;230
org.apache.wicket.MarkupContainer.getAssociatedMarkup();7.424013150412195E-20;0.0;5.1652534562211985;2.29892029215624;10850;31490
org.apache.wicket.protocol.http.servlet.ServletWebRequest.getHeader(java.lang.String);0.8861873086602228;0.9969871697068233;0.003721275018532246;0.003911514796366832;67450;68260
org.apache.wicket.session.HttpSessionStore.getBindListeners();NaN;1.0;0.0;0.0;90;90
org.apache.wicket.util.value.ValueMap();1.0;1.0;6.902502157031924E-4;6.902502157031924E-4;23180;23180
org.apache.wicket.util.collections.UrlExternalFormComparator();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.markup.html.form.FormComponent.onValid();NaN;1.0;0.0;0.0;190;190
org.apache.wicket.util.lang.Bytes.gigabytes();0.531153802058947;0.9789593016835798;0.014814814814814815;0.006944444444444444;2160;2160
org.apache.wicket.markup.html.image.Image.onComponentTag(org.apache.wicket.markup.ComponentTag);0.8171140696662513;0.30683796528136653;4.707964601769912;4.853982300884955;5650;5650
org.apache.wicket.UrlResourceReferenceMapper.mapHandler(org.apache.wicket.request.IRequestHandler);0.008853757914295645;0.8909346812084947;0.010997442455242966;0.030882352941176472;15640;15640
org.apache.wicket.request.cycle.RequestCycleContext(org.apache.wicket.request.Request,org.apache.wicket.request.Response,org.apache.wicket.request.IRequestMapper,org.apache.wicket.request.IExceptionMapper);NaN;1.0;0.0;0.0;910;910
org.apache.wicket.markup.MarkupCache$DefaultCacheImplementation.get(java.lang.Object);0.8705952380608343;0.9977859842726676;0.0014246323529411764;0.0012373096446700507;21760;63040
org.apache.wicket.session.HttpSessionStore();0.321394279769444;0.8748829885276901;0.26666666666666666;0.0;60;60
org.apache.wicket.markup.html.form.AbstractTextComponent.resolveType();0.22336225348004735;0.962699660818379;2.6777777777777776;2.0055555555555555;360;360
org.apache.wicket.page.PageAccessSynchronizer.lockPage(int);0.02084261500525922;0.3711645883807575;1.222429906542056;0.8168224299065421;1070;1070
org.apache.wicket.markup.html.panel.AbstractMarkupSourcingStrategy();NaN;1.0;0.0;0.0;2710;2710
org.apache.wicket.markup.html.list.ListView.removeLink(java.lang.String,org.apache.wicket.markup.html.list.ListItem);0.32347494517138287;0.8473896596867143;0.0;0.4;40;40
org.apache.wicket.util.collections.IntHashMap.indexFor(int,int);0.6547189564332727;0.9970541649388378;4.362050163576881E-4;2.908033442384587E-4;110040;110040
org.apache.wicket.RestartResponseAtInterceptPageException$1.mapRequest(org.apache.wicket.request.Request);0.5463058908018923;0.8900736336232729;0.1875;0.3875;80;80
org.apache.wicket.markup.html.form.FormComponent.hasRawInput();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.request.handler.render.PageRenderer.getPageProvider();NaN;1.0;0.0;0.0;1900;2270
org.apache.wicket.util.license.XmlLicenseHeaderHandler.checkLicenseHeader(java.io.File);0.15789328183895013;0.7258813934965814;11.930434782608696;9.563636363636364;230;220
org.apache.wicket.Component.detach();5.167118581911207E-6;0.056036884103893736;0.6864031907179116;1.1844331641285957;82740;82740
org.apache.wicket.Page$5(org.apache.wicket.Page);NaN;1.0;0.0;0.0;540;540
org.apache.wicket.Page.componentModelChanging(org.apache.wicket.Component);1.0;1.0;0.14545454545454545;0.14545454545454545;110;110
org.apache.wicket.util.file.Files.getLocalFileFromUrl(java.lang.String);NaN;1.0;0.0;0.0;2530;2530
