# Optimized methods (TTest P-Value)
140
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.Page.onRender();1.0316257249303726E-7;0.0;423.5148148148148;284.6203703703704;540;540
org.apache.wicket.Component.detach();0.004507040690604653;0.013486287504124173;0.8556321005559584;0.5891917742706839;82740;41820
org.apache.wicket.request.cycle.RequestCycleListenerCollection.onRequestHandlerScheduled(org.apache.wicket.request.cycle.RequestCycle,org.apache.wicket.request.IRequestHandler);0.04528806518518629;0.674328911418277;0.45;0.10952380952380952;420;420
org.apache.wicket.request.cycle.RequestCycle.processRequest();5.816575223803316E-5;5.755212634328544E-5;557.3364705882353;421.13882352941175;850;850
org.apache.wicket.Page.peekPageStateless();6.314572946775824E-13;4.418687638008123E-14;9.707142857142857;3.5035714285714286;280;280
org.apache.wicket.examples.niceurl.NiceUrlTest.testPage2PP();8.665866775279821E-20;1.5705228423079642E-4;1455.4;680.5;10;10
org.apache.wicket.util.tester.BaseWicketTester.clickLink(java.lang.String,boolean);7.670580950623716E-4;3.4638958368304884E-14;718.46875;522.653125;320;320
org.apache.wicket.MarkupContainer.visitChildren(java.lang.Class,org.apache.wicket.util.visit.IVisitor);1.2145158580775793E-9;1.4422740779451715E-10;4.1816216216216215;2.3863157894736844;1850;1900
org.apache.wicket.util.collections.ConcurrentHashSet.add(java.lang.Object);7.814328049745541E-6;0.9978253605488709;0.00541967270807672;0.0;56830;20
org.apache.wicket.markup.MarkupFactory.getMarkupResourceStreamProvider(org.apache.wicket.MarkupContainer);0.049433681913352276;0.8138670701364275;0.10091743119266056;0.022018348623853212;1090;2180
org.apache.wicket.markup.ComponentTag.closes(org.apache.wicket.markup.MarkupElement);0.007833524699425833;0.9610867169399513;0.005809267031714706;0.0023703785944265573;719540;540420
org.apache.wicket.Component.isAuto();0.013928495894279684;0.8604139167042196;0.05024630541871921;0.005951405951405951;154280;36630
org.apache.wicket.markup.Markup.find(java.lang.String);0.013677342714346747;0.7423923809842533;1.7974025974025973;0.6653679653679654;2310;2310
org.apache.wicket.util.tester.BaseWicketTester.processRequest(org.apache.wicket.protocol.http.mock.MockHttpServletRequest,org.apache.wicket.request.IRequestHandler,boolean);5.808082923252633E-5;4.8150528606516474E-5;615.4976470588235;474.23411764705884;850;850
org.apache.wicket.examples.helloworld.HelloWorldTest.testHelloWorld();5.6580737695691585E-5;1.5705228423079642E-4;1173.2;954.8;10;10
org.apache.wicket.markup.ComponentTag.getOpenTag();0.004697429533475251;0.9866641692283125;4.094735807645691E-4;0.0;305270;243980
org.apache.wicket.Component.internalRender();4.653871263532375E-16;0.0;34.52995839112344;24.885452695829095;28840;19660
org.apache.wicket.markup.html.border.Border.getMarkup(org.apache.wicket.Component);0.02410224364322646;0.4311087151029369;1.3166666666666667;0.0;60;60
org.apache.wicket.markup.resolver.AutoLinkResolver.resolveAutomaticLink(org.apache.wicket.markup.resolver.AutoLinkResolver.PathInfo,java.lang.String,org.apache.wicket.markup.ComponentTag);1.375341185938282E-15;3.0453417565468044E-13;17.373684210526317;9.91842105263158;380;380
org.apache.wicket.MarkupContainer.getMarkupType();0.0024020566579456577;0.9291167967082311;0.05675616318014605;0.008416363849490094;182130;85310
org.apache.wicket.util.tester.BaseWicketTester.startPage(java.lang.Class,org.apache.wicket.request.mapper.parameter.PageParameters);3.7475225365796573E-4;4.04254407726512E-12;809.6828571428572;614.0942857142857;350;350
org.apache.wicket.util.tester.BaseWicketTester.clearFeedbackMessages();0.015454853490199759;0.08113530324054596;4.98;1.86;50;50
org.apache.wicket.examples.hangman.HangManTest.clickLetter(org.apache.wicket.util.tester.WicketTester,char);0.012544002355906173;0.006827182847728985;1362.5727272727272;1072.7181818181818;110;110
org.apache.wicket.examples.library.LibraryTest.test_1();7.078957408091345E-4;0.0019397281129029942;4516.4;3954.4;10;10
org.apache.wicket.markup.html.list.ListView.onPopulate();3.8690388542842195E-4;0.0;137.53698630136986;87.44383561643835;730;730
org.apache.wicket.examples.hangman.Guess$2.populateItem(org.apache.wicket.markup.html.list.ListItem);0.013456548220517964;0.4095693745551946;10.662237762237762;7.075874125874126;2860;2860
org.apache.wicket.MarkupContainer.onBeforeRenderChildren();2.7109833917308964E-17;0.0;14.088363821138211;6.3249499666444295;19680;14990
org.apache.wicket.util.tester.BaseWicketTester.processRequest(org.apache.wicket.protocol.http.mock.MockHttpServletRequest,org.apache.wicket.request.IRequestHandler);4.148863956304675E-6;4.212186155427844E-13;865.0982142857143;655.5767857142857;560;560
org.apache.wicket.Component.internalBeforeRender();9.940804267682915E-12;0.0;13.735402219140083;8.28140435835351;28840;20650
org.apache.wicket.util.tester.BaseWicketTester.startPage(org.apache.wicket.core.request.handler.IPageProvider);4.599399669856296E-6;1.067005555688283E-6;487.2;213.26666666666668;30;30
org.apache.wicket.markup.html.list.Loop.onPopulate();0.03547995208165366;0.05878172135535886;196.7;21.8;10;10
org.apache.wicket.util.tester.BaseWicketTester.ifContains(java.lang.String);0.009704886402211631;0.12117798856670015;3.3363636363636364;1.8545454545454545;220;220
org.apache.wicket.Component.render();1.534223300971261E-11;0.0;39.26889736477115;29.422533062054935;28840;19660
org.apache.wicket.markup.html.panel.AssociatedMarkupSourcingStrategy.renderHead(org.apache.wicket.Component,org.apache.wicket.markup.html.internal.HtmlHeaderContainer);0.01350900533132048;0.6361843030218766;2.1666666666666665;0.34227642276422765;2850;1230
org.apache.wicket.examples.guestbook.GuestbookTest.test_1();3.7392224384019595E-5;1.5705228423079642E-4;2622.4;2009.4;10;10
org.apache.wicket.util.tester.WicketTester.assertContains(java.lang.String);0.009704886402211631;0.12117798856670015;3.3363636363636364;1.8545454545454545;220;220
org.apache.wicket.markup.html.form.Form.getActionUrl();7.430617735595413E-4;0.0016405456511221495;14.3;8.9;70;70
org.apache.wicket.markup.head.PriorityFirstComparator.getItemType(org.apache.wicket.markup.head.ResourceAggregator.RecordedHeaderItem);0.0212054371640936;0.8122711359698265;0.16574074074074074;0.05092592592592592;2160;2160
org.apache.wicket.request.RequestHandlerStack.execute(org.apache.wicket.request.IRequestHandler);5.329850874059725E-6;9.664321793945163E-6;594.5838095238096;449.88666666666666;1050;1050
org.apache.wicket.markup.resolver.AutoLinkResolver$AnchorResolverDelegate.newAutoComponent(java.lang.String,org.apache.wicket.markup.resolver.AutoLinkResolver.PathInfo);8.104185455481249E-17;1.942890293094024E-14;18.122222222222224;10.122222222222222;360;360
org.apache.wicket.Application.initializeComponents();1.2645325372516378E-23;0.0;348.18333333333334;5.75;60;60
org.apache.wicket.MarkupContainer.dequeue(org.apache.wicket.DequeueContext);0.0018535653783966978;0.48145460532637485;0.6991070978156687;0.5262447405329593;198230;171120
org.apache.wicket.markup.MarkupFragment.size();0.038101204138525885;0.9874758655810821;5.065249394914789E-4;1.5860428231562253E-4;400770;290030
org.apache.wicket.examples.niceurl.NiceUrlTest.testPage5();0.001569223538159909;0.008150971593502754;472.8;282.3;10;10
org.apache.wicket.examples.niceurl.NiceUrlTest.testPage2UP();3.649611066273873E-4;1.5705228423079642E-4;1035.8;393.1;10;10
org.apache.wicket.markup.renderStrategy.ChildFirstHeaderRenderStrategy.renderChildHeaders(org.apache.wicket.markup.html.internal.HtmlHeaderContainer,org.apache.wicket.Component);7.866995345374502E-5;0.0;63.59444444444444;23.553703703703704;540;540
