# Optimized methods (Rate method)
929
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.request.handler.render.WebPageRenderer.shouldPreserveClientUrl(org.apache.wicket.request.cycle.RequestCycle);0.3177510552291226;0.958369671497042;0.02727272727272727;0.0;550;550
org.apache.wicket.protocol.http.servlet.ServletWebResponse.getUrlRenderer();0.2994774909646264;0.9729539617608784;0.008543263964950712;0.0037267080745341614;9130;8050
org.apache.wicket.Page.onRender();1.0316257249303726E-7;0.0;423.5148148148148;284.6203703703704;540;540
org.apache.wicket.authorization.Action(java.lang.String);0.29803867729341005;0.8246229261069091;0.32;0.07272727272727272;100;220
org.apache.wicket.protocol.http.servlet.ServletWebRequest.getHeader(java.lang.String);0.37178402389695553;0.9817775738691641;0.017669560100044137;0.005291105632467286;67970;52730
org.apache.wicket.util.value.ValueMap();0.3173209469723254;0.9937226561855937;6.902502157031924E-4;0.0;23180;21250
org.apache.wicket.markup.MarkupCache$DefaultCacheImplementation.get(java.lang.Object);0.7090868187362549;0.9952650582347448;0.001475253807106599;0.0011627906976744186;63040;53320
org.apache.wicket.session.HttpSessionStore();0.15903677131158922;0.752823664896205;0.5333333333333333;0.0;60;60
org.apache.wicket.page.PageAccessSynchronizer.lockPage(int);0.523000509835183;0.8676348957465665;1.029906542056075;0.9233644859813084;1070;1070
org.apache.wicket.Component.detach();0.004507040690604653;0.013486287504124173;0.8556321005559584;0.5891917742706839;82740;41820
org.apache.wicket.Page.componentModelChanging(org.apache.wicket.Component);0.6446599281779581;0.9064087485517481;0.42727272727272725;0.2818181818181818;110;110
org.apache.wicket.request.cycle.RequestCycleListenerCollection.onRequestHandlerScheduled(org.apache.wicket.request.cycle.RequestCycle,org.apache.wicket.request.IRequestHandler);0.04528806518518629;0.674328911418277;0.45;0.10952380952380952;420;420
org.apache.wicket.markup.parser.XmlTag.getNamespace();0.15751587591721905;0.9951682538420805;2.229253559614555E-4;0.0;139060;102770
org.apache.wicket.request.cycle.RequestCycle.processRequest();5.816575223803316E-5;5.755212634328544E-5;557.3364705882353;421.13882352941175;850;850
org.apache.wicket.Session.getId();0.4117910806354854;0.954789212757087;0.03166666666666667;0.01804511278195489;3000;2660
org.apache.wicket.Component.onBeforeRenderChildren();0.31731892152866525;0.9947589269197148;5.563282336578582E-4;0.0;28760;20290
org.apache.wicket.devutils.debugbar.DebugBar.isVisible();0.7651391004058997;0.9889970796530638;0.017837291561394644;0.016228070175438595;39580;11400
org.apache.wicket.markup.MarkupCache.putIntoCache(java.lang.String,org.apache.wicket.MarkupContainer,org.apache.wicket.markup.Markup);0.576469361071283;0.9649803100196053;0.03734939759036145;0.02110091743119266;830;2180
org.apache.wicket.examples.hangman.Guess$2$1.onClick();0.30885024437286124;0.8980212621322816;17.836363636363636;9.909090909090908;110;110
org.apache.wicket.markup.html.form.FormComponent.getInput();0.8982466271223101;0.9830288538528235;0.15;0.125;100;120
org.apache.wicket.markup.html.form.TextArea.onComponentTagBody(org.apache.wicket.markup.MarkupStream,org.apache.wicket.markup.ComponentTag);0.6466206120716125;0.8361005722635142;5.075;4.25;40;40
org.apache.wicket.Page.peekPageStateless();6.314572946775824E-13;4.418687638008123E-14;9.707142857142857;3.5035714285714286;280;280
org.apache.wicket.core.request.handler.BookmarkablePageRequestHandler(org.apache.wicket.core.request.handler.IPageProvider);0.15733215513717513;0.9689990916259699;0.010158730158730159;0.0;3150;2070
org.apache.wicket.behavior.Behavior.getStatelessHint(org.apache.wicket.Component);0.31735050798264275;0.9882458445519441;0.002644628099173554;0.0;6050;4710
org.apache.wicket.session.HttpSessionStore.getSessionId(org.apache.wicket.request.Request,boolean);0.6821512007323893;0.9741963088347432;0.041233766233766234;0.03309859154929577;3080;2840
org.apache.wicket.markup.resolver.HtmlHeaderResolver.resolve(org.apache.wicket.MarkupContainer,org.apache.wicket.markup.MarkupStream,org.apache.wicket.markup.ComponentTag);0.5756670297373288;0.8897003083290564;0.20207612456747404;0.1739463601532567;2890;2610
org.apache.wicket.examples.signin2.Signin2Test.testSignIn2();0.27109338504943603;0.002496908915141538;3678.8;3152.7;10;10
org.apache.wicket.markup.parser.filter.WicketLinkTagHandler.onComponentTag(org.apache.wicket.markup.ComponentTag);0.07100338092722754;0.9546445504358747;0.008022483392948391;0.0026643990929705215;19570;17640
org.apache.wicket.resource.PropertiesFactory.load(java.lang.Class,java.lang.String);0.38665843797383037;0.872690385171544;0.3646322378716745;0.3001564945226917;19170;19170
org.apache.wicket.examples.niceurl.NiceUrlTest.testPage2PP();8.665866775279821E-20;1.5705228423079642E-4;1455.4;680.5;10;10
org.apache.wicket.util.tester.BaseWicketTester.getComponentFromLastRenderedPage(java.lang.String,boolean);0.8038723257068404;0.9614065893985875;0.1984126984126984;0.1746031746031746;630;630
org.apache.wicket.markup.parser.filter.HtmlHeaderSectionHandler(org.apache.wicket.markup.Markup);0.3180929507425697;0.9445878083185458;0.05161290322580645;0.0;310;310
org.apache.wicket.request.cycle.RequestCycle.detach();0.3473051208602156;0.110059648095855;8.49529411764706;7.196470588235294;850;850
org.apache.wicket.Component.getRenderBodyOnly();0.5293288059723698;0.9887228953992867;0.0028673084972791964;0.001997422680412371;47780;31040
org.apache.wicket.DequeueContext.nextTag();0.5895638653917764;0.9078707526045167;0.048786756521563154;0.043523119042790506;494130;394480
