# Degradated methods (TTest P-Value)
42
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.InvokerTest.testInvoker();5.931612464428521E-15;8.562994757710385E-11;172.16666666666666;189.76666666666668;30;30
org.eclipse.jetty.servlet.AsyncServletLongPollTest.testSuspendedRequestCompletedByAnotherRequest();2.1345366758149393E-13;2.953694488994074E-8;621.4;636.4333333333333;30;30
org.eclipse.jetty.servlet.AsyncServletTest.testFwdStartDispatch();0.03893668815271574;0.2197822608161405;31.133333333333333;33.233333333333334;30;30
org.eclipse.jetty.servlet.AsyncIOServletTest.testAsyncReadThrows(java.lang.Throwable);0.04054322916747164;0.3036050610903621;14.1;17.35;60;60
org.eclipse.jetty.util.IO.close(java.io.OutputStream);0.04548658478314952;0.8374895185557023;0.0;0.11052631578947368;570;570
org.eclipse.jetty.servlet.AsyncContextTest.testStartThrow();3.3181527522828115E-4;0.005569938587360546;2.1;8.8;30;30
org.eclipse.jetty.servlet.ServletContextHandler.startContext();0.023757780167248065;0.06978265841335185;5.703809523809523;6.611827956989247;1050;930
org.eclipse.jetty.servlet.RequestHeadersTest.testGetLowercaseHeader();1.2881341400279843E-5;1.204416246736173E-7;185.53333333333333;200.26666666666668;30;30
org.eclipse.jetty.server.LocalConnector$LocalEndPoint(org.eclipse.jetty.server.LocalConnector);0.026722664730619936;0.880689426219148;0.011267605633802818;0.04765258215962441;4260;4260
org.eclipse.jetty.servlet.ErrorPageTest.testErrorException();1.5162404918901428E-21;9.313468884997178E-10;186.23333333333332;201.8;30;30
org.eclipse.jetty.servlet.AsyncContextTest.testStartCompleteThrow();3.8429728345659654E-8;4.3530765728383436E-5;177.3;187.8;30;30
org.eclipse.jetty.servlet.AsyncContextListenersTest.testAsyncDispatchAsyncCompletePreservesListener();2.5031577439128574E-18;2.8719471245608474E-11;601.2333333333333;625.0333333333333;30;30
org.eclipse.jetty.servlet.AsyncServletTest.testSuspendTimeoutSuspendResume();5.5323940728131426E-8;3.3241530490446536E-6;202.83333333333334;214.16666666666666;30;30
org.eclipse.jetty.server.handler.ContextHandler(org.eclipse.jetty.server.handler.ContextHandler.Context);1.1680607851811847E-21;3.6316349537601766E-6;0.3;2.282142857142857;930;840
org.eclipse.jetty.servlet.SSLAsyncIOServletTest.testAsyncIOWritesWithAggregation();0.035990283578977156;3.6548862309659924E-4;549.8833333333333;592.5166666666667;60;60
org.eclipse.jetty.server.handler.AbstractHandler.doStart();0.019833991569699626;0.05855829317055816;6.8375;7.780666666666667;3360;3000
org.eclipse.jetty.servlet.AsyncContextTest.testBadExpire();0.00536439630926211;0.004032977591300946;113.86666666666666;120.13333333333334;30;30
org.eclipse.jetty.servlet.DispatcherTest.testInclude();0.00474340625694106;0.01146696794329527;9.3;17.7;30;30
org.eclipse.jetty.servlet.AsyncServletIOTest.testEmpty();4.910508153512083E-54;2.8719471245608474E-11;4.666666666666667;179.86666666666667;30;30
