# List of all commits from classes found during the repository mining phase (blamed or not)
52
revision,authorexpertise,daysbeforerelease,bug,author,date,packages,files,insertions,deletions,churns,deltalines,hunks,issues,listissues
0539b48b8a9311e56e99568758f798b83c2ff0f0,2733,99,false,Greg Wilkins,Ter 17-Jun-2014 15:28:40 +0200,3,4,15,41,56,-26,9,1,0
07ec47adfac619308f71047808380322c8b46352,2904,20,false,Greg Wilkins,Qui 04-Set-2014 19:09:39 +1000,3,3,52,21,73,31,13,1,0
0dbf684298b3702d22a92fe32e62ab1c11b09fce,2824,55,false,Greg Wilkins,Qui 31-Jul-2014 15:22:12 +1000,2,7,772,716,1488,56,17,1,0
14dc4fade0745899b06994ec2c934a9bf38e7d2e,1538,42,false,Simone Bordet,Ter 12-Ago-2014 22:32:17 +0200,1,1,10,5,15,5,3,1,0
1666f54b50f57fd354dce2462c5ff88bee85328c,2727,105,false,Greg Wilkins,Qua 11-Jun-2014 17:41:52 +0200,3,3,71,36,107,35,19,1,0
17f46665df2e0b066b40a3889dbf3f56173e0554,2843,49,false,Greg Wilkins,Qua 06-Ago-2014 21:09:26 +1000,7,25,449,147,596,302,51,1,0
1ee11138a7c40741195f1709a000569018e3b39c,1567,14,false,Simone Bordet,Qua 10-Set-2014 10:40:59 +0200,1,1,52,17,69,35,7,1,0
1fb07644a18cd6008f5d8f61f4423e11968a0ef1,2835,53,false,Greg Wilkins,Sáb 02-Ago-2014 16:37:43 +1000,2,6,72,61,133,11,19,1,0
22e57ef7b727f24e41cc0040bfe47889bf3d7705,2809,61,false,Greg Wilkins,Sex 25-Jul-2014 15:03:51 +1000,7,29,291,210,501,81,94,1,0
25295456aef95974be68c36a09c228309d8aa8ef,2731,99,false,Greg Wilkins,Ter 17-Jun-2014 00:12:57 +0200,4,9,27,27,54,0,24,1,0
272e1d8da590c40cb8caa27f1614e0b7e5c63d65,2730,99,false,Greg Wilkins,Ter 17-Jun-2014 00:02:50 +0200,15,56,819,815,1634,4,220,1,0
287e86b7aa787c9836fccbe2816dd08b4b6c599e,2846,48,false,Greg Wilkins,Qui 07-Ago-2014 12:58:12 +1000,4,20,249,304,553,-55,32,1,0
30123607c66627f74c8e8f7bed372f6e9b99ec31,2808,62,false,Greg Wilkins,Qui 24-Jul-2014 15:49:52 +1000,11,43,821,938,1759,-117,133,1,0
33435fad3d8e1e12ab85873d842f2f8d580b567a,1710,54,false,Joakim Erdfelt,Qui 31-Jul-2014 15:16:44 -0700,1,1,2,1,3,1,1,1,0
3832a8645d858de657a46859ca2ae841c8afb285,1442,99,false,Simone Bordet,Ter 17-Jun-2014 18:52:42 +0200,1,3,119,37,156,82,8,1,0
38501a9e978335c63ed52555f8b6d2d8e4f138f8,1713,53,false,Joakim Erdfelt,Sex 01-Ago-2014 14:34:21 -0700,1,1,5,0,5,5,2,1,0
3c321e9b8f049c96ecb7e9b35c1cddebef71673c,2709,107,false,Greg Wilkins,Seg 09-Jun-2014 15:34:09 +0200,4,10,157,53,210,104,26,1,0
3e4c9909e0b74f9abeb24398b8e9b1de11052bbf,1715,14,true,Joakim Erdfelt,Qua 10-Set-2014 10:04:23 -0700,4,5,164,8,172,156,11,1,443652
3fcb910c1aa40929da0de5b9c0fc4f2e0349aaa8,2734,99,false,Greg Wilkins,Ter 17-Jun-2014 19:02:44 +0200,2,6,154,77,231,77,9,1,0
40a7d5984e41be6033304b42a944efacfe5c76fc,2916,5,true,Greg Wilkins,Sex 19-Set-2014 09:49:09 +1000,1,3,84,4,88,80,3,1,444222
40d84ff1e37d1f562a030dae002a10b418882e1b,2906,14,true,Greg Wilkins,Qua 10-Set-2014 17:40:50 +1000,4,6,29,13,42,16,16,1,443662
49a32eb1b0da23229441cd2f199ec57caab46cbc,1026,6,true,Jan Bartel,Qui 18-Set-2014 18:02:18 +1000,1,1,67,9,76,58,8,1,444124
4d2a580c2c8ca054841697a9d8848bdceb1c97f9,2767,75,true,Greg Wilkins,Sex 11-Jul-2014 17:56:08 +1000,8,19,120,125,245,-5,44,1,439375
4d7ead76ce0e24c0a1f180a8fd218bc251068a29,2849,47,false,Greg Wilkins,Sex 08-Ago-2014 17:00:47 +1000,3,4,17,1,18,16,4,1,0
58ed30e7103f1c86d1da9702e918795b30b93a27,2700,108,false,Greg Wilkins,Dom 08-Jun-2014 11:09:56 +0200,3,7,516,125,641,391,13,1,0
6048343fee5f5fd9b845ccf12d285c69d5aae182,1708,55,false,Joakim Erdfelt,Qui 31-Jul-2014 10:09:53 -0700,1,3,148,36,184,112,11,1,0
6dfa452e29ca3ea5ee63552f9cefb0dd07899fa3,2849,48,false,Greg Wilkins,Qui 07-Ago-2014 19:00:31 +1000,4,6,14,10,24,4,14,1,0
85cb290e1c69c4ba5df04df8ee5ab433fe099719,2734,99,false,Greg Wilkins,Ter 17-Jun-2014 15:39:55 +0200,2,5,79,29,108,50,7,1,0
87cac64dffad79d1eb1fcc4964374bd774242384,1567,14,false,Simone Bordet,Qua 10-Set-2014 10:37:51 +0200,1,1,30,36,66,-6,2,1,0
8905b979ec3ed1ccd1a02374e44bb50b5aa36767,2816,58,false,Greg Wilkins,Seg 28-Jul-2014 15:27:17 +1000,1,1,73,58,131,15,58,1,0
97d723c516b4a98cd80ecef90b1fcd1bfaabdf08,2831,54,false,Greg Wilkins,Sex 01-Ago-2014 10:45:11 +1000,1,1,2,0,2,2,1,1,0
9c3eedfea8b49e6c9e0c4b249a415721a0ebd9e9,2822,55,false,Greg Wilkins,Qui 31-Jul-2014 13:26:23 +1000,3,9,198,182,380,16,22,1,0
9f844383cdb528d67ec69895dd8c6117b6e36e13,1674,90,false,Joakim Erdfelt,Qua 25-Jun-2014 14:11:44 -0700,3,11,536,415,951,121,25,1,0
a00e65cb1f14f048db93b594da7ed0de22a1d353,2840,50,false,Greg Wilkins,Ter 05-Ago-2014 17:43:31 +1000,1,1,8,3,11,5,1,1,0
a4d4b3ab571fa56b02d611f2b565d03ccccb1347,2845,48,false,Greg Wilkins,Qui 07-Ago-2014 09:22:22 +1000,2,2,14,1,15,13,2,1,0
aaa2e5c6c1d6d34f8068dc9a056a6b446fd05603,2833,53,false,Greg Wilkins,Sáb 02-Ago-2014 12:58:24 +1000,4,9,124,57,181,67,20,1,0
b5971484a57212a39af6f70267ea00a24fdbf100,2842,49,false,Greg Wilkins,Qua 06-Ago-2014 10:50:55 +1000,9,14,123,17,140,106,23,1,0
bbd61f8e192b0af9cf7c4aae51a65e5cd07c863c,2724,105,false,Greg Wilkins,Qua 11-Jun-2014 15:16:40 +0200,6,18,601,570,1171,31,55,1,0
bec34b460fc370d10b3bc92bee5a09a1787c6f8f,2839,50,false,Greg Wilkins,Ter 05-Ago-2014 17:26:27 +1000,5,37,265,157,422,108,78,1,0
c319c1912574f968107ec60d58f8bcabc6a7db2b,2725,105,false,Greg Wilkins,Qua 11-Jun-2014 16:53:17 +0200,2,5,216,119,335,97,29,1,0
c80f5561392d951c36ad922146228378ecb27e43,2904,15,false,Greg Wilkins,Ter 09-Set-2014 15:13:46 +0200,1,1,1,1,2,0,1,1,0
c8ee504291a6f1079039fa606e8ded6bd0fd7444,2756,83,false,Greg Wilkins,Qui 03-Jul-2014 15:53:12 +1000,1,1,4,0,4,4,1,1,0
