# Scenarios executed in both releases
128
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
Entry point for DefaultServletTest.testRangeRequests;0.4642717595125859;0.25495317799825334;28.7;27.5;30;30
Entry point for ServletHandlerTest.testAllNonProgrammaticFilterMappings;0.5357115075404506;0.3671365812484356;58.266666666666666;57.1;30;30
Entry point for AsyncContextTest.testDispatchWithContextAsyncContext;0.7658143902619046;0.8883028421533887;2.533333333333333;2.1;30;30
Entry point for DefaultServletTest.testListingXSS;0.3044204502914437;0.847587480259332;11.9;9.966666666666667;30;30
Entry point for DispatcherTest.testForwardWithParam;0.8201879906812357;0.9705160513002812;7.3;7.8;30;30
Entry point for AsyncServletTest.testNormal;0.32558198801619376;0.8244957516547711;0.0;0.5;30;30
Entry point for DispatcherTest.testForwardNonUTF8;0.40241765167843224;0.07727197592933943;15.5;16.266666666666666;30;30
Entry point for DispatcherForwardTest.testQueryAggregatesWithFormMergedByForwardWithQuery;0.6080377255325718;0.9410723491398268;11.9;10.966666666666667;30;30
Entry point for AsyncIOServletTest.testAsyncReadThrowsError;0.982770065839832;0.8533817367547931;13.033333333333333;13.066666666666666;30;30
Entry point for AsyncContextTest.testDispatch;0.5908380700508513;0.7787839689422887;4.1;3.1666666666666665;30;30
Entry point for AsyncServletTest.testSuspendTimeoutSuspend;0.9636800578221102;0.6734950528016032;46.266666666666666;46.3;30;30
Entry point for AsyncServletTest.testSuspendWaitComplete;0.19669452900981454;0.26750270341605387;62.333333333333336;62.5;30;30
Entry point for DispatcherTest.testInclude;0.6280316412067803;0.7787839689422887;7.866666666666667;8.866666666666667;30;30
Entry point for DispatcherForwardTest.testContentCanBeReadViaInputStreamAfterForwardWithoutQuery;0.8133072450530806;0.9823070530800848;10.433333333333334;9.966666666666667;30;30
Entry point for AsyncServletIOTest.testBigWrites;0.2163417575163823;0.21427650986147695;2433.6;2434.3;30;30
Entry point for DispatcherTest.testWorkingResourceHandler;0.3885774074692263;0.6467245773434842;1.0333333333333332;2.1;30;30
Entry point for AsyncServletTest.testSuspendOnTimeoutComplete;0.7909689560869242;0.8244957516547711;218.36666666666667;218.33333333333334;30;30
Entry point for AsyncContextTest.testStartDispatchThrow;0.772926906079379;0.678900536466896;34.86666666666667;34.333333333333336;30;30
Entry point for DispatcherTest.testWrappedIncludeToResourceHandler;0.5773188655805963;0.5058591780795983;5.733333333333333;6.866666666666667;30;30
Entry point for AsyncServletTest.testFwdWrapStartDispatchPath;0.5267594697939217;0.6573804271100814;31.233333333333334;31.166666666666668;30;30
Entry point for AsyncServletTest.testSuspendWaitResume;0.2998657164002356;0.3750436235586131;15.533333333333333;15.666666666666666;30;30
Entry point for AsyncServletIOTest.testWritesFlushWrites;0.44068104996915947;0.5058591780795983;249.63333333333333;249.53333333333333;30;30
Entry point for AsyncServletTest.testSuspendOnTimeoutDispatch;0.4342787432786359;0.5058591780795983;218.43333333333334;218.33333333333334;30;30
Entry point for AsyncIOServletTest.testAsyncWriteClosed;0.9703881167704839;0.8244957516547711;129.0;129.06666666666666;30;30
Entry point for DispatcherTest.testIncludeToResourceHandler;0.9638664017633412;0.8302552839111964;16.166666666666668;16.2;30;30
Entry point for DispatcherTest.testForwardThenInclude;0.6100488822274414;0.9175733096128048;11.966666666666667;11.033333333333333;30;30
Entry point for AsyncServletIOTest.testAsyncConsumeAll;0.9606125516725518;0.6204037206277525;166.83333333333334;166.93333333333334;30;30
Entry point for ResponseHeadersTest.testResponseHeaderFormat;0.256454713809368;0.2804704772772293;171.96666666666667;173.16666666666666;30;30
Entry point for DispatcherForwardTest.testQueryRetainedByForwardWithoutQuery;0.8698997473232684;0.7006856607005522;569.2666666666667;568.9333333333333;30;30
Entry point for DispatcherForwardTest.testQueryAggregatesWithFormReplacedByForwardWithQuery;0.43712660615641286;0.9764109078760824;14.6;13.633333333333333;30;30
Entry point for ServletHandlerTest.testMatchBeforeAndAfter;0.10014802918572441;0.27070533772451855;1.5666666666666667;4.166666666666667;30;30
Entry point for ServletHandlerTest.testAllBeforeFilterMappings;0.13132375309585065;0.3671365812484356;3.1333333333333333;1.0333333333333332;30;30
Entry point for AsyncContextTest.testSimpleAsyncContext;0.3363953947319426;0.3219021859861283;5.133333333333333;7.166666666666667;30;30
Entry point for AsyncIOServletTest.testAsyncReadThrowsException;0.34299400401189484;0.3219021859861283;29.066666666666666;30.233333333333334;30;30
Entry point for AsyncServletLongPollTest.testSuspendedRequestCompletedByAnotherRequest;0.6149759609810379;0.18332122622250846;620.3666666666667;624.5666666666667;30;30
Entry point for DefaultServletTest.testGzip;0.007862067252113601;0.3710770321265141;15.566666666666666;12.033333333333333;30;30
Entry point for DefaultServletTest.testWelcome;0.483489914157182;0.7505872315223066;28.6;26.466666666666665;30;30
Entry point for DispatcherTest.testForwardFilterToRogerServlet;0.9530640840230914;0.7006856607005522;27.166666666666668;27.033333333333335;30;30
Entry point for AsyncServletIOTest.testEmpty;0.7543668243951537;0.5894511694056184;6.8;6.166666666666667;30;30
Entry point for ErrorPageTest.testErrorException;0.9472280898385709;0.34782778297581163;186.63333333333333;186.73333333333332;30;30
Entry point for DispatcherTest.testWrappedForwardToResourceHandler;0.805892070647491;0.8708108045360416;6.766666666666667;6.266666666666667;30;30
Entry point for DispatcherForwardTest.testQueryReplacedByForwardWithQuery;0.547505326399141;0.4825169043645009;25.366666666666667;26.533333333333335;30;30
