# Unchanged methods (Rate method)
538
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.InvokerTest.testInvoker();0.6273150616484583;0.13537778532322642;173.1;172.3;30;30
org.eclipse.jetty.servlet.AsyncServletLongPollTest.prepare(javax.servlet.http.HttpServlet);0.425345517341696;0.8015549378818438;424.8666666666667;430.0;30;30
org.eclipse.jetty.servlet.DefaultServletTest.testFiltered();0.7728107077962735;0.6952153990669101;37.93333333333333;38.56666666666667;30;30
org.eclipse.jetty.util.thread.ScheduledExecutorScheduler.access$2(org.eclipse.jetty.util.thread.ScheduledExecutorScheduler);NaN;1.0;0.0;0.0;2220;2220
org.eclipse.jetty.util.ConcurrentArrayQueue.getBlockSize();NaN;1.0;0.0;0.0;900;900
org.eclipse.jetty.servlet.ServletContextHandlerTest$2(org.eclipse.jetty.servlet.ServletContextHandlerTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.io.WriteFlusher$WritingState();NaN;1.0;0.0;0.0;240;240
org.eclipse.jetty.server.handler.HandlerList();NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.AsyncServletTest.process(java.lang.String,java.lang.String);0.9857602471192323;0.9896541708549198;81.03725490196078;80.94117647058823;510;510
org.eclipse.jetty.servlet.FilterHolder$Config(org.eclipse.jetty.servlet.FilterHolder);NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.server.handler.ContextHandler$Context.getInitParameter(java.lang.String);NaN;1.0;0.0;0.0;720;720
org.eclipse.jetty.server.Server.doStart();0.9368003109416404;0.7985755375660425;50.075268817204304;49.784946236559136;930;930
org.eclipse.jetty.servlet.AsyncServletLongPollTest.testSuspendedRequestCompletedByAnotherRequest();0.6149759609810381;0.18332122622250846;620.3666666666667;624.5666666666667;30;30
org.eclipse.jetty.servlet.DispatcherForwardTest$16(org.eclipse.jetty.servlet.DispatcherForwardTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.FilterMapping();NaN;1.0;0.0;0.0;420;420
org.eclipse.jetty.io.WriteFlusher$State(org.eclipse.jetty.io.WriteFlusher.StateType);NaN;1.0;0.0;0.0;720;720
org.eclipse.jetty.io.ByteArrayEndPoint(org.eclipse.jetty.util.thread.Scheduler,long);NaN;1.0;0.0;0.0;4260;4260
org.eclipse.jetty.util.ConcurrentArrayQueue$1();NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.servlet.ServletHandler.updateMappings();0.7595238674301846;0.8899198037836024;1.168279569892473;1.139247311827957;3720;3720
org.eclipse.jetty.servlet.ServletHandler.addServletWithMapping(java.lang.String,java.lang.String);0.8295059353152838;0.930696726599096;2.824242424242424;2.8696969696969696;1650;1650
org.eclipse.jetty.server.session.AbstractSessionIdManager.doStart();0.9737722946551558;0.9985163185499514;0.25;0.25833333333333336;120;120
org.eclipse.jetty.server.Server.getSessionIdManager();NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.servlet.FilterHolder(org.eclipse.jetty.servlet.BaseHolder.Source);NaN;1.0;0.0;0.0;300;300
org.eclipse.jetty.server.handler.ContextHandler.getInitParameter(java.lang.String);NaN;1.0;0.0;0.0;720;720
org.eclipse.jetty.servlet.AsyncServletTest.testFwdStartDispatch();0.20343943705800982;0.3750436235586131;31.133333333333333;31.266666666666666;30;30
org.eclipse.jetty.servlet.AsyncServletTest.testSuspendWaitComplete();0.1966945290098142;0.26750270341605387;62.333333333333336;62.5;30;30
org.eclipse.jetty.servlet.AsyncIOServletTest.testAsyncReadThrows(java.lang.Throwable);0.7411525376976039;0.520251187953917;21.05;21.65;60;60
org.eclipse.jetty.server.LocalConnector$LocalEndPoint.waitUntilClosedOrIdleFor(long,java.util.concurrent.TimeUnit);0.9743196801265227;0.919056112587483;12.520892018779342;12.5462441314554;4260;4260
org.eclipse.jetty.io.IdleTimeout.checkIdleTimeout();1.0;1.0;0.05093896713615023;0.05093896713615023;4260;4260
org.eclipse.jetty.server.LocalConnector.getResponses(java.nio.ByteBuffer,long,java.util.concurrent.TimeUnit);0.9877028735362776;0.8737580061737592;15.14718309859155;15.132863849765258;4260;4260
org.eclipse.jetty.util.log.StdErrLog.debug(java.lang.String,java.lang.Object[]);NaN;1.0;0.0;0.0;4920;4920
org.eclipse.jetty.servlet.SSLAsyncIOServletTest$1(org.eclipse.jetty.servlet.SSLAsyncIOServletTest,byte[]);NaN;1.0;0.0;0.0;60;60
org.eclipse.jetty.util.statistic.SampleStatistic();NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.servlet.ServletContextHandler.getSecurityHandler();NaN;1.0;0.0;0.0;990;990
org.eclipse.jetty.util.security.Password.toString();NaN;1.0;0.0;0.0;90;90
org.eclipse.jetty.servlet.ServletContextHandler(org.eclipse.jetty.server.HandlerContainer,java.lang.String,org.eclipse.jetty.server.session.SessionHandler,org.eclipse.jetty.security.SecurityHandler,org.eclipse.jetty.servlet.ServletHandler,org.eclipse.jetty.server.handler.ErrorHandler);NaN;1.0;0.0;0.0;420;420
org.eclipse.jetty.io.SelectorManager$ManagedSelector$Stop.await(long);NaN;1.0;0.0;0.0;60;60
org.eclipse.jetty.servlet.ServletHolder.destroyInstance(java.lang.Object);1.0;1.0;0.05333333333333334;0.05333333333333334;300;300
org.eclipse.jetty.server.AbstractConnector.getServer();NaN;1.0;0.0;0.0;660;660
org.eclipse.jetty.servlet.ServletContextHandler.addFilter(java.lang.Class,java.lang.String,java.util.EnumSet);0.7680964118526414;0.8034367245423328;7.955555555555556;8.3;90;90
org.eclipse.jetty.servlet.AsyncIOServletTest$2(org.eclipse.jetty.servlet.AsyncIOServletTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.util.ArrayTernaryTrie(int);NaN;1.0;0.0;0.0;180;180
org.eclipse.jetty.servlet.ServletContextHandlerTest.testReplaceHandler();0.7115558562263387;0.717188813606376;29.066666666666666;29.633333333333333;30;30
org.eclipse.jetty.util.IO.close(java.io.InputStream);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.util.ssl.SslContextFactory.selectProtocols(java.lang.String[],java.lang.String[]);NaN;1.0;0.0;0.0;60;60
org.eclipse.jetty.util.ArrayUtil.asMutableList(java.lang.Object[]);NaN;1.0;0.0;0.0;360;360
org.eclipse.jetty.server.handler.ContextHandler.doStop();0.9844350071210497;0.9797978228132521;2.1666666666666665;2.1555555555555554;180;180
org.eclipse.jetty.server.LocalConnector.executeRequest(java.nio.ByteBuffer);0.7464425524525914;0.9824858542337209;2.1967136150234743;2.1462441314553993;4260;4260
org.eclipse.jetty.servlet.AsyncIOServletTest$4(org.eclipse.jetty.servlet.AsyncIOServletTest,java.lang.Throwable,java.util.concurrent.CountDownLatch);NaN;1.0;0.0;0.0;60;60
org.eclipse.jetty.servlet.ServletMapping.setDefault(boolean);NaN;1.0;0.0;0.0;900;900
org.eclipse.jetty.servlet.ServletHolder.doStop();1.0;1.0;0.06666666666666667;0.06666666666666667;480;480
org.eclipse.jetty.http.HttpHeader.getBytesColonSpace();NaN;1.0;0.0;0.0;6480;6480
