# Unchanged methods (TTest P-Value)
848
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.InvokerTest.testInvoker();0.6273150616484583;0.13537778532322642;173.1;172.3;30;30
org.eclipse.jetty.servlet.AsyncServletLongPollTest.prepare(javax.servlet.http.HttpServlet);0.425345517341696;0.8015549378818438;424.8666666666667;430.0;30;30
org.eclipse.jetty.servlet.DefaultServletTest.testFiltered();0.7728107077962735;0.6952153990669101;37.93333333333333;38.56666666666667;30;30
org.eclipse.jetty.util.thread.ScheduledExecutorScheduler.access$2(org.eclipse.jetty.util.thread.ScheduledExecutorScheduler);NaN;1.0;0.0;0.0;2220;2220
org.eclipse.jetty.util.ConcurrentArrayQueue.getBlockSize();NaN;1.0;0.0;0.0;900;900
org.eclipse.jetty.servlet.ServletContextHandler.callContextInitialized(javax.servlet.ServletContextListener,javax.servlet.ServletContextEvent);0.5785997560120404;0.8302552839111964;1.0333333333333332;0.5333333333333333;30;30
org.eclipse.jetty.servlet.ServletContextHandlerTest$2(org.eclipse.jetty.servlet.ServletContextHandlerTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.io.WriteFlusher$WritingState();NaN;1.0;0.0;0.0;240;240
org.eclipse.jetty.server.handler.HandlerList();NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.AsyncServletTest.process(java.lang.String,java.lang.String);0.9857602471192323;0.9896541708549198;81.03725490196078;80.94117647058823;510;510
org.eclipse.jetty.util.component.AbstractLifeCycle.stop();0.5508605737643308;0.8045466897463056;0.9914285714285714;0.9223809523809524;2100;2100
org.eclipse.jetty.servlet.FilterHolder$Config(org.eclipse.jetty.servlet.FilterHolder);NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.server.handler.ContextHandler$Context.getInitParameter(java.lang.String);NaN;1.0;0.0;0.0;720;720
org.eclipse.jetty.util.ArrayTernaryTrie(boolean,int);0.15752951925078007;0.9770188657106349;0.0;0.004287690179806363;7230;7230
org.eclipse.jetty.util.BufferUtil.toBuffer(java.lang.String);0.2532974479076643;0.9495814627217044;0.020833333333333332;0.0105;6000;6000
org.eclipse.jetty.util.component.ContainerLifeCycle.unmanage(org.eclipse.jetty.util.component.ContainerLifeCycle.Bean);0.316858770037613;0.9323345171163906;0.06546546546546547;0.042042042042042045;3330;3330
org.eclipse.jetty.server.Server.doStart();0.9368003109416404;0.7985755375660425;50.075268817204304;49.784946236559136;930;930
org.eclipse.jetty.servlet.AsyncServletLongPollTest.testSuspendedRequestCompletedByAnotherRequest();0.6149759609810381;0.18332122622250846;620.3666666666667;624.5666666666667;30;30
org.eclipse.jetty.server.handler.ContextHandler.getAttribute(java.lang.String);0.5465623035394833;0.9104262082097934;0.125;0.25833333333333336;120;120
org.eclipse.jetty.servlet.DispatcherForwardTest$16(org.eclipse.jetty.servlet.DispatcherForwardTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.util.thread.QueuedThreadPool.newThread(java.lang.Runnable);0.38944227129346054;0.8871938162171875;0.06075268817204301;0.07970430107526882;7440;7440
org.eclipse.jetty.servlet.FilterMapping();NaN;1.0;0.0;0.0;420;420
org.eclipse.jetty.io.WriteFlusher$State(org.eclipse.jetty.io.WriteFlusher.StateType);NaN;1.0;0.0;0.0;720;720
org.eclipse.jetty.server.AbstractConnector.doStop();0.4441305143756731;0.6648199652115283;2.225;1.7083333333333333;120;120
org.eclipse.jetty.io.ByteArrayEndPoint(org.eclipse.jetty.util.thread.Scheduler,long);NaN;1.0;0.0;0.0;4260;4260
org.eclipse.jetty.util.thread.QueuedThreadPool.doStop();0.7534669602464074;0.9096890854361388;0.7833333333333333;0.65;120;120
org.eclipse.jetty.util.ConcurrentArrayQueue$1();NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.servlet.ServletHandler.updateMappings();0.7595238674301846;0.8899198037836024;1.168279569892473;1.139247311827957;3720;3720
org.eclipse.jetty.servlet.ServletHandler.addServletWithMapping(java.lang.String,java.lang.String);0.8295059353152838;0.930696726599096;2.824242424242424;2.8696969696969696;1650;1650
org.eclipse.jetty.server.session.AbstractSessionIdManager.doStart();0.9737722946551558;0.9985163185499514;0.25;0.25833333333333336;120;120
org.eclipse.jetty.server.Server.getSessionIdManager();NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.servlet.FilterHolder(org.eclipse.jetty.servlet.BaseHolder.Source);NaN;1.0;0.0;0.0;300;300
org.eclipse.jetty.server.handler.ContextHandler.getInitParameter(java.lang.String);NaN;1.0;0.0;0.0;720;720
org.eclipse.jetty.util.thread.QueuedThreadPool.startThreads(int);0.4811100794777917;0.6842729696223918;2.5;2.761290322580645;930;930
org.eclipse.jetty.servlet.AsyncServletTest.testFwdStartDispatch();0.20343943705800982;0.3750436235586131;31.133333333333333;31.266666666666666;30;30
org.eclipse.jetty.servlet.DispatcherForwardTest.testQueryAggregatesWithFormBeforeAndAfterForward();0.1782848112636889;0.6151959787448549;13.533333333333333;15.066666666666666;30;30
org.eclipse.jetty.util.component.ContainerLifeCycle.unmanage(java.lang.Object);0.3549491644826659;0.886032510750616;0.09242424242424242;0.16363636363636364;660;660
org.eclipse.jetty.servlet.AsyncServletTest.testSuspendWaitComplete();0.1966945290098142;0.26750270341605387;62.333333333333336;62.5;30;30
org.eclipse.jetty.servlet.AsyncIOServletTest.testAsyncReadThrows(java.lang.Throwable);0.7411525376976039;0.520251187953917;21.05;21.65;60;60
org.eclipse.jetty.server.LocalConnector$LocalEndPoint.waitUntilClosedOrIdleFor(long,java.util.concurrent.TimeUnit);0.9743196801265227;0.919056112587483;12.520892018779342;12.5462441314554;4260;4260
org.eclipse.jetty.io.IdleTimeout.checkIdleTimeout();1.0;1.0;0.05093896713615023;0.05093896713615023;4260;4260
org.eclipse.jetty.server.LocalConnector.getResponses(java.nio.ByteBuffer,long,java.util.concurrent.TimeUnit);0.9877028735362776;0.8737580061737592;15.14718309859155;15.132863849765258;4260;4260
org.eclipse.jetty.security.SecurityHandler.doStart();0.4877054268480595;0.5642147051457861;3.6666666666666665;2.533333333333333;30;30
org.eclipse.jetty.util.log.StdErrLog.debug(java.lang.String,java.lang.Object[]);NaN;1.0;0.0;0.0;4920;4920
org.eclipse.jetty.servlet.DispatcherTest.testForwardToResourceHandler();0.7986287422784258;0.8591839142744377;5.7;5.2;30;30
org.eclipse.jetty.servlet.SSLAsyncIOServletTest$1(org.eclipse.jetty.servlet.SSLAsyncIOServletTest,byte[]);NaN;1.0;0.0;0.0;60;60
org.eclipse.jetty.util.statistic.SampleStatistic();NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.servlet.ServletContextHandler.getSecurityHandler();NaN;1.0;0.0;0.0;990;990
org.eclipse.jetty.util.security.Password.toString();NaN;1.0;0.0;0.0;90;90
