# Optimized methods (Rate method)
197
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.util.component.AbstractLifeCycle.stop();0.6745480942620365;0.8660641254537881;0.9223809523809524;0.8752380952380953;2100;2100
org.eclipse.jetty.util.ArrayTernaryTrie(boolean,int);0.5718323615903702;0.9882742389046367;0.004287690179806363;0.0021768707482993197;7230;7350
org.eclipse.jetty.server.handler.ContextHandler.getAttribute(java.lang.String);0.15838425897568176;0.8234246789710753;0.25833333333333336;0.0;120;120
org.eclipse.jetty.server.AbstractConnector.doStop();0.49586847450704985;0.7224634953522757;1.7083333333333333;1.3;120;120
org.eclipse.jetty.server.session.AbstractSessionIdManager.doStart();0.15838425897568176;0.8234246789710753;0.25833333333333336;0.0;120;120
org.eclipse.jetty.util.component.ContainerLifeCycle.unmanage(java.lang.Object);0.712077134932851;0.9513348131451125;0.16363636363636364;0.13333333333333333;660;690
org.eclipse.jetty.io.IdleTimeout.checkIdleTimeout();0.7248588320840452;0.9702122091316644;0.05093896713615023;0.044366197183098595;4260;4260
org.eclipse.jetty.security.SecurityHandler.doStart();0.7658143902619043;0.8883028421533887;2.533333333333333;2.1;30;30
org.eclipse.jetty.servlet.ServletHandlerTest.testMatchAfterAndBefore();0.02007914727376118;0.11881734448329706;4.666666666666667;1.0333333333333332;30;30
org.eclipse.jetty.servlet.Holder.$SWITCH_TABLE$org$eclipse$jetty$servlet$BaseHolder$Source();0.31737256357183985;0.9842945988917241;0.003846153846153846;0.0;3900;3960
org.eclipse.jetty.io.FillInterest.fillable();0.31736731850398137;0.9850297200113107;0.003755868544600939;0.0;4260;4260
org.eclipse.jetty.util.component.ContainerLifeCycle.addBean(java.lang.Object,org.eclipse.jetty.util.component.ContainerLifeCycle.Managed);0.2550645147834171;0.8036872388019458;0.22548101924076963;0.20435002529084473;19230;19770
org.eclipse.jetty.server.handler.ContextHandler.doStop();0.7735309899965397;0.8756449804504042;2.1555555555555554;1.9944444444444445;180;180
org.eclipse.jetty.util.component.AbstractLifeCycle.isStarted();0.30357936797526663;0.9905879247939953;0.00103954802259887;3.3311125916055963E-4;44250;45030
org.eclipse.jetty.util.component.ContainerLifeCycle.contains(java.lang.Object);0.08497840142591762;0.8621749294416952;0.05985439417576703;0.04415781487101669;19230;19770
org.eclipse.jetty.servlet.DispatcherTest.testServletForward();0.42874661485731436;0.38305504584585626;8.4;6.766666666666667;30;30
org.eclipse.jetty.util.MemoryUtils$1.run();0.3189317446414355;0.9204763141807307;0.10666666666666667;0.0;150;150
