# Unchanged methods (UTest P-Value)
851
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.InvokerTest.testInvoker();0.7644103629553857;0.18576685629821588;172.3;172.56666666666666;30;30
org.eclipse.jetty.servlet.AsyncServletLongPollTest.prepare(javax.servlet.http.HttpServlet);0.5621763457190055;0.43328979562188996;430.0;426.26666666666665;30;30
org.eclipse.jetty.servlet.DefaultServletTest.testFiltered();0.9759537948388274;0.9293151249146342;38.56666666666667;38.5;30;30
org.eclipse.jetty.util.thread.ScheduledExecutorScheduler.access$2(org.eclipse.jetty.util.thread.ScheduledExecutorScheduler);NaN;1.0;0.0;0.0;2220;2220
org.eclipse.jetty.util.ConcurrentArrayQueue.getBlockSize();NaN;1.0;0.0;0.0;900;960
org.eclipse.jetty.servlet.ServletContextHandler.callContextInitialized(javax.servlet.ServletContextListener,javax.servlet.ServletContextEvent);1.0;1.0;0.5333333333333333;0.5333333333333333;30;30
org.eclipse.jetty.servlet.ServletContextHandlerTest$2(org.eclipse.jetty.servlet.ServletContextHandlerTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.io.WriteFlusher$WritingState();NaN;1.0;0.0;0.0;240;240
org.eclipse.jetty.server.handler.HandlerList();NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.AsyncServletTest.process(java.lang.String,java.lang.String);0.9918666550940551;0.8191627357550983;80.94117647058823;80.99607843137255;510;510
org.eclipse.jetty.util.component.AbstractLifeCycle.stop();0.6745480942620365;0.8660641254537881;0.9223809523809524;0.8752380952380953;2100;2100
org.eclipse.jetty.servlet.FilterHolder$Config(org.eclipse.jetty.servlet.FilterHolder);NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.server.handler.ContextHandler$Context.getInitParameter(java.lang.String);0.15744339973279342;0.9272896457670525;0.0;0.044444444444444446;720;720
org.eclipse.jetty.util.ArrayTernaryTrie(boolean,int);0.5718323615903702;0.9882742389046367;0.004287690179806363;0.0021768707482993197;7230;7350
org.eclipse.jetty.util.BufferUtil.toBuffer(java.lang.String);0.5324093764250926;0.9747781330282008;0.0105;0.015666666666666666;6000;6000
