# Methods executed in both releases
863
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.InvokerTest.testInvoker();0.048579624178987334;0.23984999119107975;175.26666666666668;172.16666666666666;30;30
org.eclipse.jetty.servlet.AsyncServletLongPollTest.prepare(javax.servlet.http.HttpServlet);0.17489414996910158;0.5105979366056448;428.03333333333336;424.43333333333334;30;30
org.eclipse.jetty.servlet.DefaultServletTest.testFiltered();0.3313003733418153;0.6573804271100814;36.36666666666667;38.93333333333333;30;30
org.eclipse.jetty.util.thread.ScheduledExecutorScheduler.access$2(org.eclipse.jetty.util.thread.ScheduledExecutorScheduler);NaN;1.0;0.0;0.0;2220;2220
org.eclipse.jetty.util.ConcurrentArrayQueue.getBlockSize();0.3175479085989902;0.969884448238796;0.0;0.014705882352941176;960;1020
org.eclipse.jetty.servlet.ServletContextHandler.callContextInitialized(javax.servlet.ServletContextListener,javax.servlet.ServletContextEvent);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.ServletContextHandlerTest$2(org.eclipse.jetty.servlet.ServletContextHandlerTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.io.WriteFlusher$WritingState();NaN;1.0;0.0;0.0;240;240
org.eclipse.jetty.server.handler.HandlerList();NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.AsyncServletTest.process(java.lang.String,java.lang.String);0.771970907699004;0.2987294687528599;80.81960784313725;82.37843137254902;510;510
org.eclipse.jetty.util.component.AbstractLifeCycle.stop();0.49341508924172217;0.7841340997285399;0.8204761904761905;0.8957142857142857;2100;2100
org.eclipse.jetty.servlet.FilterHolder$Config(org.eclipse.jetty.servlet.FilterHolder);NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.server.handler.ContextHandler$Context.getInitParameter(java.lang.String);0.3176469286842739;0.9636069857664397;0.0;0.022222222222222223;720;720
org.eclipse.jetty.util.ArrayTernaryTrie(boolean,int);0.3173434324095705;0.9885563734604961;0.0020408163265306124;0.0;7350;7470
org.eclipse.jetty.util.BufferUtil.toBuffer(java.lang.String);0.17123980984346743;0.9495898560194479;0.005333333333333333;0.015333333333333332;6000;6000
org.eclipse.jetty.util.component.ContainerLifeCycle.unmanage(org.eclipse.jetty.util.component.ContainerLifeCycle.Bean);0.9139310213880226;0.971717416195489;0.07817109144542773;0.08115942028985507;3390;3450
org.eclipse.jetty.util.log.StdErrLog.getLevelId(java.lang.String,java.lang.String);0.558913003492837;0.9754132150604184;0.015595716198125836;0.012441783100465734;14940;15030
org.eclipse.jetty.server.Server.doStart();0.6054855666818891;0.09551870591327494;48.74375;46.93939393939394;960;990
org.eclipse.jetty.servlet.AsyncServletLongPollTest.testSuspendedRequestCompletedByAnotherRequest();0.9858240469924682;0.29385872905412214;621.4666666666667;621.4;30;30
org.eclipse.jetty.server.handler.ContextHandler.getAttribute(java.lang.String);0.5465623035394833;0.9104262082097934;0.25833333333333336;0.125;120;120
org.eclipse.jetty.servlet.DispatcherForwardTest$16(org.eclipse.jetty.servlet.DispatcherForwardTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.util.thread.QueuedThreadPool.newThread(java.lang.Runnable);0.5443603627234166;0.9421477835598862;0.0671875;0.05517676767676768;7680;7920
org.eclipse.jetty.servlet.FilterMapping();NaN;1.0;0.0;0.0;420;420
org.eclipse.jetty.io.WriteFlusher$State(org.eclipse.jetty.io.WriteFlusher.StateType);NaN;1.0;0.0;0.0;720;720
org.eclipse.jetty.server.AbstractConnector.doStop();0.20943529422702656;0.4949583407405532;1.3;2.091666666666667;120;120
org.eclipse.jetty.io.ByteArrayEndPoint(org.eclipse.jetty.util.thread.Scheduler,long);NaN;1.0;0.0;0.0;4260;4260
org.eclipse.jetty.util.thread.QueuedThreadPool.doStop();0.783244545580342;0.913375464073202;0.775;0.9;120;120
org.eclipse.jetty.util.ConcurrentArrayQueue$1();NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.servlet.ServletHandler.updateMappings();0.14055831505102856;0.5371528993478467;1.1592592592592592;1.02421875;3780;3840
org.eclipse.jetty.servlet.ServletHandler.addServletWithMapping(java.lang.String,java.lang.String);0.8719370668644992;0.7883524853402606;2.850909090909091;2.8854545454545457;1650;1650
org.eclipse.jetty.server.session.AbstractSessionIdManager.doStart();0.3193395975454466;0.9111634080897014;0.0;0.125;120;120
org.eclipse.jetty.server.Server.getSessionIdManager();NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.servlet.FilterHolder(org.eclipse.jetty.servlet.BaseHolder.Source);NaN;1.0;0.0;0.0;300;300
org.eclipse.jetty.server.handler.ContextHandler.getInitParameter(java.lang.String);NaN;1.0;0.0;0.0;720;720
org.eclipse.jetty.util.thread.QueuedThreadPool.startThreads(int);0.6780140333083571;0.4420658438430004;2.221875;2.3545454545454545;960;990
org.eclipse.jetty.servlet.AsyncServletTest.testFwdStartDispatch();0.037849379751184624;0.12057499226022927;31.366666666666667;31.133333333333333;30;30
org.eclipse.jetty.servlet.DispatcherForwardTest.testQueryAggregatesWithFormBeforeAndAfterForward();0.5004750767973969;0.43328979562188996;15.166666666666666;15.533333333333333;30;30
org.eclipse.jetty.util.component.ContainerLifeCycle.unmanage(java.lang.Object);0.362860431388246;0.8798304503432347;0.18115942028985507;0.10833333333333334;690;720
org.eclipse.jetty.servlet.AsyncServletTest.testSuspendWaitComplete();0.29986571640023585;0.3750436235586131;62.46666666666667;62.333333333333336;30;30
org.eclipse.jetty.servlet.AsyncIOServletTest.testAsyncReadThrows(java.lang.Throwable);3.9838322634639495E-4;0.010270563374566;20.95;14.1;60;60
org.eclipse.jetty.server.LocalConnector$LocalEndPoint.waitUntilClosedOrIdleFor(long,java.util.concurrent.TimeUnit);0.9311040431639397;0.9836453305365735;12.437323943661971;12.369483568075118;4260;4260
org.eclipse.jetty.io.IdleTimeout.checkIdleTimeout();0.27551489296813736;0.9252573727056793;0.04765258215962441;0.029342723004694836;4260;4260
org.eclipse.jetty.util.thread.ScheduledExecutorScheduler.access$1(org.eclipse.jetty.util.thread.ScheduledExecutorScheduler,java.lang.Thread);NaN;1.0;0.0;0.0;2220;2220
org.eclipse.jetty.server.LocalConnector.getResponses(java.nio.ByteBuffer,long,java.util.concurrent.TimeUnit);0.7491411449657919;0.4365036223428803;15.25962441314554;14.961971830985915;4260;4260
org.eclipse.jetty.security.SecurityHandler.doStart();0.5424536891658123;0.6361406857702461;4.2;3.1333333333333333;30;30
org.eclipse.jetty.servlet.ServletHandlerTest.testMatchAfterAndBefore();0.10512253197349797;0.2904721494938347;1.5666666666666667;4.1;30;30
org.eclipse.jetty.util.log.StdErrLog.debug(java.lang.String,java.lang.Object[]);NaN;1.0;0.0;0.0;4920;4920
org.eclipse.jetty.servlet.DispatcherTest.testForwardToResourceHandler();0.4489569072174596;0.5542678363243183;5.733333333333333;7.266666666666667;30;30
org.eclipse.jetty.servlet.SSLAsyncIOServletTest$1(org.eclipse.jetty.servlet.SSLAsyncIOServletTest,byte[]);NaN;1.0;0.0;0.0;60;60
org.eclipse.jetty.util.statistic.SampleStatistic();NaN;1.0;0.0;0.0;120;120
org.eclipse.jetty.servlet.ServletContextHandler.getSecurityHandler();NaN;1.0;0.0;0.0;1020;1050
org.eclipse.jetty.server.ShutdownMonitor$ShutdownMonitorRunnable(org.eclipse.jetty.server.ShutdownMonitor);0.28972644003329684;0.9098809955173568;0.03333333333333333;0.07777777777777778;960;990
org.eclipse.jetty.util.security.Password.toString();NaN;1.0;0.0;0.0;90;90
org.eclipse.jetty.servlet.ServletContextHandler(org.eclipse.jetty.server.HandlerContainer,java.lang.String,org.eclipse.jetty.server.session.SessionHandler,org.eclipse.jetty.security.SecurityHandler,org.eclipse.jetty.servlet.ServletHandler,org.eclipse.jetty.server.handler.ErrorHandler);NaN;1.0;0.0;0.0;420;420
org.eclipse.jetty.servlet.Holder.$SWITCH_TABLE$org$eclipse$jetty$servlet$BaseHolder$Source();0.08341029011828797;0.953268448899439;0.011616161616161616;0.0;3960;4020
org.eclipse.jetty.io.SelectorManager$ManagedSelector$Stop.await(long);NaN;1.0;0.0;0.0;60;60
org.eclipse.jetty.io.FillInterest.fillable();NaN;1.0;0.0;0.0;4260;4260
org.eclipse.jetty.servlet.ServletHolder.destroyInstance(java.lang.Object);0.3181190974788869;0.943674862164647;0.05;0.0;300;300
org.eclipse.jetty.server.ShutdownMonitor.getInstance();0.7613934508911284;0.9704356191629095;0.1;0.08857142857142856;2040;2100
org.eclipse.jetty.server.AbstractConnector.getServer();0.31766157158641084;0.9624319787016224;0.021739130434782608;0.0;690;720
org.eclipse.jetty.util.IO.close(java.io.OutputStream);0.317735577070935;0.9591052472396117;0.02631578947368421;0.0;570;570
org.eclipse.jetty.servlet.ServletContextHandler.addFilter(java.lang.Class,java.lang.String,java.util.EnumSet);0.9018352366078332;0.9612093891764831;8.166666666666666;8.311111111111112;90;90
