# Unchanged methods (Rate method)
495
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.InvokerTest.testInvoker();0.28449110985900816;0.3671365812484356;189.76666666666668;188.13333333333333;30;30
org.eclipse.jetty.servlet.AsyncServletLongPollTest.prepare(javax.servlet.http.HttpServlet);0.7857997960024556;0.7393988193114495;426.3666666666667;426.9;30;30
org.eclipse.jetty.servlet.ServletContextHandlerTest$2(org.eclipse.jetty.servlet.ServletContextHandlerTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.io.WriteFlusher$WritingState();NaN;1.0;0.0;0.0;240;240
org.eclipse.jetty.server.handler.HandlerList();NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.AsyncServletTest.process(java.lang.String,java.lang.String);0.8904139667150863;0.6543087435700257;81.66470588235295;82.41568627450981;510;510
org.eclipse.jetty.servlet.FilterHolder$Config(org.eclipse.jetty.servlet.FilterHolder);NaN;1.0;0.0;0.0;120;90
org.eclipse.jetty.servlet.AsyncServletLongPollTest.testSuspendedRequestCompletedByAnotherRequest();0.31565757296679275;0.7006856607005522;636.4333333333333;634.6;30;30
org.eclipse.jetty.server.handler.ContextHandler.getAttribute(java.lang.String);NaN;1.0;0.0;0.0;120;150
org.eclipse.jetty.servlet.DispatcherForwardTest$16(org.eclipse.jetty.servlet.DispatcherForwardTest);NaN;1.0;0.0;0.0;30;30
org.eclipse.jetty.servlet.FilterMapping();NaN;1.0;0.0;0.0;420;420
org.eclipse.jetty.io.WriteFlusher$State(org.eclipse.jetty.io.WriteFlusher.StateType);NaN;1.0;0.0;0.0;720;720
org.eclipse.jetty.io.ByteArrayEndPoint(org.eclipse.jetty.util.thread.Scheduler,long);NaN;1.0;0.0;0.0;4260;4290
org.eclipse.jetty.servlet.ServletHandler.updateMappings();0.9716035875812573;0.9718010243089263;1.0269972451790634;1.0237704918032786;3630;3660
org.eclipse.jetty.server.Server.getSessionIdManager();NaN;1.0;0.0;0.0;120;150
org.eclipse.jetty.servlet.FilterHolder(org.eclipse.jetty.servlet.BaseHolder.Source);NaN;1.0;0.0;0.0;300;300
org.eclipse.jetty.server.handler.ContextHandler.getInitParameter(java.lang.String);NaN;1.0;0.0;0.0;720;900
org.eclipse.jetty.servlet.DispatcherForwardTest.testQueryAggregatesWithFormBeforeAndAfterForward();0.6878319008752967;0.7674679739607243;14.066666666666666;13.533333333333333;30;30
