# Optimized methods (Rate method)
83
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
io.netty.channel.DefaultChannelHandlerContext.write(java.lang.Object,io.netty.channel.ChannelPromise);0.00496188883920461;0.6149338457241733;0.08177127709930891;0.04814319397841661;84504;88216
io.netty.buffer.AbstractByteBuf.writeMedium(int);0.31788765892062965;0.9523739513675092;0.0380952380952381;0.0;420;420
io.netty.buffer.UnpooledHeapByteBuf.setByte(int,int);0.317459941684049;0.9757286363393736;0.019135802469135803;0.0;1620;1620
io.netty.bootstrap.AbstractBootstrap();0.15760739170386429;0.9413446214147057;0.0274822695035461;0.0;1128;1170
io.netty.channel.DefaultChannelPipeline.writeAndFlush(java.lang.Object,io.netty.channel.ChannelPromise);0.4899877275253154;0.899377873001516;0.2064597846738442;0.16330645161290322;1579;1984
io.netty.channel.DefaultChannelHandlerContext.findContextOutbound();8.214222179070876E-5;0.7801631561820228;0.01505212156805168;9.000798820895354E-5;170275;177762
io.netty.channel.ChannelHandlerAdapter();0.08340417265551901;0.9370651119959338;0.021218961625282168;0.0;2215;2320
io.netty.bootstrap.ServerBootstrap.toString();0.5328951920589249;0.9072605138410909;0.06823027718550106;0.0326530612244898;469;490
io.netty.channel.group.DefaultChannelGroup(java.lang.String,io.netty.util.concurrent.EventExecutor);0.5397370940780843;0.6775849579524755;3.1;1.5;10;10
io.netty.channel.DefaultChannelPipeline.addLast0(java.lang.String,io.netty.channel.DefaultChannelHandlerContext);0.7079414158453117;0.8332768951995548;0.3981164383561644;0.3611570247933884;1168;1210
io.netty.bootstrap.Bootstrap.doConnect(java.net.SocketAddress,java.net.SocketAddress);0.5611152544557081;0.5118669185535861;15.773547094188377;14.648076923076923;499;520
io.netty.bootstrap.Bootstrap.doConnect0(io.netty.channel.ChannelFuture,io.netty.channel.Channel,java.net.SocketAddress,java.net.SocketAddress,io.netty.channel.ChannelPromise);0.3190115235009199;0.9184246497830695;0.11188811188811189;0.0;143;144
io.netty.channel.socket.nio.NioSocketChannel.shutdownOutput();0.5916802210372705;0.7623688184698398;3.0;1.6;10;10
io.netty.channel.AbstractChannel$AbstractUnsafe.register(io.netty.channel.EventLoop,io.netty.channel.ChannelPromise);0.6523704304122557;0.8292564319771927;0.35379061371841153;0.31130434782608696;1108;1150
