# List of all commits from changed methods found during the repository mining phase (blamed or not)
43
revision,authorexpertise,daysbeforerelease,bug,author,date,packages,files,insertions,deletions,churns,deltalines,hunks,issues,listissues
0f6cc0cc7bcc546c124ed875d197f0333bca2da9,853,0,true,Norman Maurer,Seg 22-Jul-2013 10:44:33 +0200,1,1,7,2,9,5,2,1,1630
15279b2525f694d1789ce06d74cf2d55a9a64e01,872,5,true,Norman Maurer,Sex 26-Jul-2013 14:21:11 +0200,1,1,30,27,57,3,1,1,1654
19c92ceb59b8f2c77511b49cb3e0e9f70c50a711,3547,4,false,Trustin Lee,Sex 19-Jul-2013 14:09:08 +0900,1,2,59,31,90,28,19,1,0
241f856cc721dbf786321a94c987c5026eea5412,41,5,false,Jeff Pinner,Qui 25-Jul-2013 23:21:40 -0700,2,3,32,53,85,-21,8,1,0
25f96b164498988439c38baf6ff4c57763464824,855,0,false,Norman Maurer,Seg 22-Jul-2013 11:28:02 +0200,1,2,29,4,33,25,4,1,1606
2b3ac3d446c9cc9a0f080fd4aabb9bbe3906d212,867,6,false,Norman Maurer,Qui 25-Jul-2013 12:36:24 +0200,3,3,127,89,216,38,19,1,0
3922c518cdbeb0d8091ce06698e569bc37b54acf,44,2,false,Jeff Pinner,Dom 28-Jul-2013 13:05:34 -0700,2,2,40,33,73,7,3,1,0
3b1881b523e61496d9bc50e44927f7b58fa449e6,3557,0,true,Trustin Lee,Qua 31-Jul-2013 20:35:51 +0900,1,2,114,26,140,88,22,1,1664
46ea0d4e7b8380cfc8c3f5508ac2a3896262e08e,3533,4,false,Trustin Lee,Qui 18-Jul-2013 23:14:39 +0900,2,2,110,81,191,29,7,1,0
4cd7e625556f86eb25a4a4cfae20ed0d34aaf5ed,3534,4,false,Trustin Lee,Qui 18-Jul-2013 23:26:45 +0900,1,2,45,7,52,38,11,1,0
568166d55454a079e558c66c35c867ac5ff7fcd7,3522,0,false,Trustin Lee,Qui 18-Jul-2013 10:29:34 +0900,1,1,8,15,23,-7,3,1,0
5e4169802f407114aa18d1b4265bf5231673b20b,3554,7,false,Trustin Lee,Qua 24-Jul-2013 11:26:03 +0900,1,1,4,2,6,2,4,1,0
5e5df6bd09b30b11deb2d8ee7b12b949636cbdb2,3535,4,false,Trustin Lee,Qui 18-Jul-2013 23:29:13 +0900,1,1,6,1,7,5,2,1,0
5f363e8adeef9ddd118e6906e2848ce0a0b049c7,869,5,false,Norman Maurer,Sex 26-Jul-2013 11:23:11 +0200,2,3,53,32,85,21,8,1,0
67919841467360415308ceb64e0b6d88ed5168bc,3541,4,true,Trustin Lee,Sex 19-Jul-2013 09:24:19 +0900,1,1,7,28,35,-21,8,1,1608
6ff87cc20d5b728ebe6be2d6f4a2cb0092f6abf6,866,6,false,Norman Maurer,Qui 25-Jul-2013 09:28:54 +0200,1,1,10,2,12,8,3,1,0
7903697c36bbd79e729695e3ca35e24f7674a5bb,3553,0,false,Trustin Lee,Ter 23-Jul-2013 15:09:14 +0900,1,1,2,3,5,-1,3,1,0
7f86550ef83316352d0d52c0f31836c7b3fb1506,849,3,true,Norman Maurer,Sáb 20-Jul-2013 10:03:53 +0200,1,1,4,2,6,2,1,1,1619
81612f8e9bc02bdb1bac6f1d6bd4d221668bb559,854,0,true,Norman Maurer,Seg 22-Jul-2013 10:59:06 +0200,1,1,3,0,3,3,2,1,1624
81de2275e482c8954c85e67be0d2799b53ba6e6e,3558,0,false,Trustin Lee,Qua 31-Jul-2013 20:45:37 +0900,1,2,13,35,48,-22,2,1,0
8828d5327a6a7ddb71dcd0a66ca5f262b1a26e60,3536,4,false,Trustin Lee,Qui 18-Jul-2013 23:33:39 +0900,1,2,19,8,27,11,7,1,0
9c8d980a74d7cf786aabaa233c692e247767aaac,3519,0,true,Trustin Lee,Qui 18-Jul-2013 10:14:55 +0900,2,2,105,0,105,105,2,1,1600
a06295fe0ad72358f980d09feb8c971613793527,886,0,true,Norman Maurer,Qui 01-Ago-2013 09:54:07 +0200,2,4,48,113,161,-65,23,1,1664
a89b17fa944504a00107d40ecf6043de197f34df,3551,0,false,Trustin Lee,Ter 23-Jul-2013 14:33:37 +0900,1,2,46,42,88,4,6,1,0
a8d67b02825d6fbb1d145c7aaee8382f5f648035,3511,0,false,Trustin Lee,Qua 17-Jul-2013 21:02:20 +0900,1,2,76,49,125,27,9,1,0
bcef796dc7cfa340ff1c26231ffbdf5eef397192,3531,4,false,Trustin Lee,Qui 18-Jul-2013 20:59:14 +0900,10,23,408,560,968,-152,56,1,0
bf2430d255956ff32307aea3a5e725ee2be16dc2,43,3,false,Jeff Pinner,Sáb 27-Jul-2013 11:08:45 -0700,4,5,39,58,97,-19,8,1,0
c79a3cdefe4ced7f7effc94a6862a0d1d5af0dae,3555,0,true,Trustin Lee,Qua 31-Jul-2013 19:07:38 +0900,2,3,125,82,207,43,8,1,1679
ca59c1201e2ee2abe0c1548b371dcd056cbe2b56,42,5,false,Jeff Pinner,Sex 26-Jul-2013 09:13:56 -0700,4,5,6,22,28,-16,8,1,0
cc9b9567b990ad3fa6cdf0bf42b7dd04fd0cb108,3513,0,false,Trustin Lee,Qua 17-Jul-2013 21:14:07 +0900,1,1,23,10,33,13,7,1,0
cffbba94ee476b87a3932d2d5a975e55714657f9,871,5,true,Norman Maurer,Sex 26-Jul-2013 14:10:31 +0200,2,3,17,43,60,-26,6,1,1654
d4aa5b53d6410d543834f3d54841bd5eaf95dbee,3549,0,false,Trustin Lee,Ter 23-Jul-2013 13:47:43 +0900,1,2,8,25,33,-17,4,1,0
d5e202d7554f79a7a7d670e371486d66a9f75c9d,3542,4,false,Trustin Lee,Sex 19-Jul-2013 09:37:56 +0900,1,1,6,3,9,3,2,1,0
dcf78961724abf97fea9e768cca02ba65146b324,3510,1,true,Trustin Lee,Ter 16-Jul-2013 18:39:29 +0900,1,1,4,1,5,3,2,1,1578
e28594952b7e9e0c7eeced17142484ceb0d5d84b,3520,0,true,Trustin Lee,Qui 18-Jul-2013 10:23:26 +0900,1,1,19,2,21,17,4,1,1601
