# Methods executed in the first release, but not in the second
22
Name;Average
io.netty.testsuite.transport.socket.SocketSslEchoTest.testSslEchoComposite(io.netty.bootstrap.ServerBootstrap,io.netty.bootstrap.Bootstrap);1329.6333333333334
io.netty.testsuite.transport.socket.SocketSslEchoTest$2(io.netty.testsuite.transport.socket.SocketSslEchoTest,javax.net.ssl.SSLEngine,boolean,io.netty.testsuite.transport.socket.SocketSslEchoTest.EchoHandler);0.0
io.netty.bootstrap.AbstractBootstrap$1(io.netty.bootstrap.AbstractBootstrap,io.netty.channel.Channel,java.net.SocketAddress,io.netty.channel.ChannelPromise);0.0
io.netty.testsuite.transport.socket.SocketTestPermutation$1.getValue();0.0
io.netty.testsuite.transport.socket.SocketSslEchoTest.testSslEchoWithChunkHandler(io.netty.bootstrap.ServerBootstrap,io.netty.bootstrap.Bootstrap);1298.4666666666667
io.netty.testsuite.transport.socket.SocketSslEchoTest.testSslEchoWithChunkHandlerComposite(io.netty.bootstrap.ServerBootstrap,io.netty.bootstrap.Bootstrap);1265.6666666666667
io.netty.testsuite.transport.socket.AbstractSocketTest.run();3506.141176470588
io.netty.handler.ssl.SslHandler(javax.net.ssl.SSLEngine,java.util.concurrent.Executor);0.0
io.netty.testsuite.transport.socket.SocketTestPermutation$4.getKey();0.0
io.netty.channel.MultithreadEventLoopGroup.register(io.netty.channel.Channel,io.netty.channel.ChannelPromise);0.5882352941176471
io.netty.testsuite.transport.socket.SocketSslEchoTest.testSslEcho0(io.netty.bootstrap.ServerBootstrap,io.netty.bootstrap.Bootstrap,boolean,boolean);1195.3583333333333
io.netty.testsuite.transport.socket.SocketSslEchoTest$1(io.netty.testsuite.transport.socket.SocketSslEchoTest,javax.net.ssl.SSLEngine,boolean,io.netty.testsuite.transport.socket.SocketSslEchoTest.EchoHandler);0.0
io.netty.channel.ThreadPerChannelEventLoopGroup.register(io.netty.channel.Channel,io.netty.channel.ChannelPromise);0.71
io.netty.testsuite.transport.socket.AbstractServerSocketTest.run();403.3
io.netty.testsuite.transport.socket.AbstractDatagramTest.run();5774.7
io.netty.testsuite.transport.socket.SocketSslEchoTest.testSslEchoWithChunkHandlerComposite();3797.0
io.netty.testsuite.transport.socket.SocketTestPermutation$4.getValue();0.0
io.netty.testsuite.transport.socket.SocketTestPermutation$1.getKey();0.0
io.netty.testsuite.transport.socket.SocketSslEchoTest.testSslEchoComposite();4066.9
io.netty.channel.AbstractChannel.access$3(io.netty.channel.AbstractChannel,io.netty.channel.EventLoop);0.0
io.netty.testsuite.transport.socket.SocketSslEchoTest.testSslEchoWithChunkHandler();3895.4
io.netty.testsuite.transport.socket.AbstractClientSocketTest.run();911.4333333333333
