# List of all commits from classes found during the repository mining phase (blamed or not)
55
Revision,Bug Fixing,Author,Date,Number of Packages,Number of Files,Number of Insertions,Number of Deletions,Number of Churns,Delta of Lines,Number of Hunks,Number of Issues,Issues
df442b9b6ade46dedbc4b44ec1f085b6d4958c9b,false,Norman Maurer,Ter 15-Out-2013 15:21:42 +0200,1,1,21,15,36,6,7,1,1924
13d65d7ccfcaa90f8e905e9b6c46aa0f246d8109,false,Norman Maurer,Qui 09-Jan-2014 18:27:56 +0100,1,1,18,0,18,18,3,1,2104
dd8f4bc0c4f46ec5f6dea23023cfa5fde8fb5448,false,Veebs,Seg 30-Dez-2013 03:03:13 -0800,1,1,1,1,2,0,1,1,0
7dddbbb2bdc1a2ab5648e7d4b4b24d6f328eac6a,false,Norman Maurer,Qui 07-Nov-2013 10:24:15 +0100,1,1,16,9,25,7,9,1,0
fd776274c91e338af1364b75fae48547c8214c45,true,Trustin Lee,Seg 18-Nov-2013 17:00:23 +0900,1,1,18,8,26,10,3,1,1986
e9967e55ad768165b8d360c646156483a427e06a,false,Norman Maurer,Sáb 02-Nov-2013 15:59:33 +0100,1,1,3,0,3,3,1,1,1940
393f7b2306f282df852bb487173c725396607ea7,false,milenkovicm,Sex 03-Jan-2014 16:16:12 +0000,1,1,4,0,4,4,1,1,0
53fcff2eab7836bcf2be262e1fd12712117c4797,false,Norman Maurer,Qua 16-Out-2013 09:53:26 +0200,2,2,7,7,14,0,2,1,1920
bab227213ef30a414f3ec3db41c1a28646120a6c,false,Trustin Lee,Sáb 21-Dez-2013 20:08:15 +0900,1,1,6,2,8,4,2,1,2079
b00f8c63901369babae2009e48f6c4d12b9f4097,false,Norman Maurer,Sáb 09-Nov-2013 20:13:24 +0100,1,2,21,2,23,19,2,1,1976
053c512f6de708f1bb3f402cf6d911f88b1d38aa,false,Norman Maurer,Seg 02-Dez-2013 08:23:57 +0100,1,1,1,1,2,0,1,1,0
e4f391f626f1ce358b3037e38ecfec82eb9a4e30,false,Alex Petrov,Sex 08-Nov-2013 12:02:33 +0100,1,1,6,4,10,2,2,1,0
39b8cc348ab1e3fefbd56751e949ab930db86853,false,William Kemper,Qui 16-Jan-2014 14:59:29 -0800,1,1,3,2,5,1,1,1,0
54db9ec725d2b2f74436b15e6c7aef196f098a81,false,Trustin Lee,Seg 04-Nov-2013 19:42:33 +0900,14,34,64,44,108,20,61,1,0
d7f9b1ee76320dd9fc1e9992b4b75773718614bb,true,Trustin Lee,Ter 08-Out-2013 12:24:16 +0900,4,4,7,9,16,-2,8,1,1897
c0936fc8e70ec17f9248b139947cd2e85c793b6f,true,Norman Maurer,Dom 06-Out-2013 15:29:35 +0200,1,2,227,7,234,220,3,1,1890
4116de8360f90f6709b750cb8cdc403a12072850,false,Trustin Lee,Sáb 07-Dez-2013 11:03:55 +0900,1,1,6,8,14,-2,1,1,0
d946659520bd95a757a843bec63a93ba80272751,false,Norman Maurer,Qua 09-Out-2013 21:18:08 +0200,2,4,61,13,74,48,5,1,1906
1fcd19a28fbab687eb2be65ad3535d1564d656cc,false,Trustin Lee,Sáb 21-Dez-2013 19:56:36 +0900,1,1,15,3,18,12,2,1,0
65b522a2a75c78c977a65e15663509509b5f12e0,false,Trustin Lee,Qua 04-Dez-2013 19:03:32 +0900,2,17,1009,933,1942,76,51,1,0
89a7cb8e710952e76a3a09b113fcb6ebe17acb12,true,Trustin Lee,Sáb 21-Dez-2013 18:08:58 +0900,4,6,155,20,175,135,13,1,2060
02703e8fc1cf1560fccc7ebd804b274d24acb1b3,false,Trustin Lee,Sáb 07-Dez-2013 10:57:13 +0900,1,1,6,3,9,3,1,1,0
d2032254b7b29aca620223c672ffa244171898b5,true,Trustin Lee,Ter 05-Nov-2013 17:40:23 +0900,1,3,13,2,15,11,6,1,1952
c7b66545b4a4b4a903f4393e08b9ba9498c19fc5,true,Trustin Lee,Ter 05-Nov-2013 17:23:22 +0900,7,23,119,3,122,116,28,1,1952
e4358ae6b8a8028de980f4fd41f0c93d3dbb40b2,false,Norman Maurer,Qui 24-Out-2013 15:10:32 +0200,1,1,20,12,32,8,9,1,1947
f7a38815363fbf67de0ddd819119808aee386543,true,Trustin Lee,Seg 16-Dez-2013 16:30:24 +0900,1,2,25,1,26,24,3,1,1828
8930cefab8640fa1bef3d1d49f93a23184b1bafe,false,Norman Maurer,Qua 23-Out-2013 13:55:53 +0200,1,1,38,44,82,-6,2,1,1812
ceaebd37edc2a2ee388d41b997c37e51f4d60d34,true,Trustin Lee,Seg 16-Dez-2013 15:02:13 +0900,1,2,29,0,29,29,7,1,2066
544d68b396c4b7d42a4b07bac0ed101fa8d7d12e,false,Norman Maurer,Qua 23-Out-2013 11:10:12 +0200,1,1,52,60,112,-8,1,1,1812
fc2e6916d996f6f1b16f9478c1c9213007fcbd20,true,Norman Maurer,Sáb 21-Dez-2013 21:39:51 +0100,1,1,3,1,4,2,1,1,2060
e1baa3f9b49fe171cb404f0dfea15cc2ec99f3d5,false,Trustin Lee,Sáb 02-Nov-2013 20:03:41 +0900,1,1,1,1,2,0,1,1,0
ba3bc0c0205ed37f0541e43dd747ebcc103f8ed8,false,Trustin Lee,Sex 08-Nov-2013 17:53:57 +0900,1,2,24,17,41,7,4,1,0
68b616728a08b78f3af77f288f103c1cb0ba2c9c,true,Norman Maurer,Qua 16-Out-2013 10:34:33 +0200,1,8,30,6,36,24,8,1,1925
b53fa5dd709ec00546efc4d606d978b0c64edbf2,false,Norman Maurer,Sáb 26-Out-2013 17:43:10 +0200,1,1,9,6,15,3,1,1,1812
72c78ebe75cbe238787ffe900f1d8a0c41667a9d,true,Trustin Lee,Sáb 02-Nov-2013 20:03:15 +0900,1,1,8,0,8,8,2,1,1590
c9b7f1f1b570eab9eb6b61df0e94cd4dbcc5e2ec,true,Trustin Lee,Sex 11-Out-2013 12:07:46 +0900,1,1,6,1,7,5,1,1,1908
11f95c78e203084ad367c7fcb546f5374e073d3b,false,Trustin Lee,Sex 08-Nov-2013 14:21:19 +0900,1,1,136,77,213,59,21,1,1905
4ce49a6195ea872569d316798d71bdde11810ab6,false,Norman Maurer,Ter 22-Out-2013 20:20:04 +0200,1,1,10,2,12,8,1,1,1943
237ba27499e102c6ad43d6111590a6c43570a660,false,Trustin Lee,Seg 13-Jan-2014 23:29:41 +0900,1,1,1,1,2,0,1,1,0
14600167d6ddc3829831a5470d73f091fc4b9aa7,false,Norman Maurer,Sáb 30-Nov-2013 19:48:40 +0100,1,1,4,2,6,2,1,1,2021
77054d7ecbaec09f52afb03823ad24b555946a10,false,Norman Maurer,Qui 07-Nov-2013 07:12:19 +0100,1,1,2,0,2,2,1,1,1812
bc21443ea904ba37f46c1fb3b9ab99322e3bbb0d,true,Trustin Lee,Qui 09-Jan-2014 18:07:36 +0900,2,3,123,62,185,61,11,1,2098
751943ed00e864f1104806c7e03a1207797cf1b6,true,Trustin Lee,Qui 09-Jan-2014 19:24:44 +0900,1,1,17,10,27,7,3,1,2086
bcdb3e88d872c5c6c48de5d9d1953e489640a88a,false,Norman Maurer,Sex 18-Out-2013 17:39:04 +0200,1,1,1,1,2,0,1,1,1934
82b6e75b96c4cd3ae4b51039adcfd21bc83fa983,true,Trustin Lee,Seg 16-Dez-2013 14:58:14 +0900,1,2,5,5,10,0,3,1,2066
9fd8bf329d6c5b8e0305e5b75ee43f1ea3b9ef93,false,Norman Maurer,Sex 13-Set-2013 21:05:08 +0200,2,2,31,5,36,26,10,1,0
7231be592aa65ac1e91d0a319761f7e3df2225e9,false,Norman Maurer,Ter 12-Nov-2013 12:40:41 +0100,1,2,18,4,22,14,4,1,0
b889d3f559ce9cb8ed715ed6ad9721efa6614b42,false,Norman Maurer,Sáb 21-Dez-2013 10:37:19 +0100,1,1,5,0,5,5,2,1,2079
8986245b47e738c004e9aa9bba56b8f973dd3dc4,false,Trustin Lee,Sex 25-Out-2013 20:53:47 +0900,5,7,70,62,132,8,8,1,0
0bbc3facec1fa6c83b0bec04bdfbefc424230a3f,true,Norman Maurer,Qui 09-Jan-2014 08:22:34 +0100,1,1,7,2,9,5,2,1,2086
51ca4f3e91599d6879f14608c83f02a079ea9dac,false,Trustin Lee,Seg 04-Nov-2013 16:52:07 +0900,1,1,20,18,38,2,6,1,1964
b65b4199dc8ce2032a6b20a2712caa6aa0c7d2f2,false,Trustin Lee,Qui 14-Nov-2013 15:08:10 +0900,1,1,15,18,33,-3,1,1,0
e83fb821d512456113a5e16b21ddb5c5458d9e79,false,Norman Maurer,Ter 12-Nov-2013 12:13:38 +0100,1,2,20,6,26,14,8,1,0
e136227ee6446777a94dfa3fc75159c8cf2ffd02,true,Norman Maurer,Dom 15-Dez-2013 11:41:04 +0100,1,1,4,1,5,3,1,1,2065
77b4ec7e1bc0b8c6111728cc074226dd9cfe1b73,true,Norman Maurer,Seg 04-Nov-2013 15:18:21 +0100,1,5,18,7,25,11,5,2,1802:1800
