# Degradated methods (Rate method)
116
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
io.netty.channel.DefaultChannelHandlerContext.write(java.lang.Object,io.netty.channel.ChannelPromise);0.4321574504623227;0.8569207081996617;0.17777777777777778;0.34444444444444444;180;180
io.netty.channel.DefaultChannelHandlerContext$WriteAndFlushTask.access$1(io.netty.channel.DefaultChannelHandlerContext,java.lang.Object,int,io.netty.channel.ChannelPromise);0.048270613027696904;0.8759634809249078;0.06997804407448752;0.09138818430319895;405813;406070
io.netty.channel.ChannelInitializer();0.31733845147520445;0.9894997008658323;0.0;0.0018475750577367205;8660;8660
io.netty.channel.socket.DefaultDatagramChannelConfig(io.netty.channel.socket.DatagramChannel,java.net.DatagramSocket);0.425140224958485;0.9069859165414879;0.03409090909090909;0.08409090909090909;440;440
io.netty.channel.DefaultChannelPromise.setSuccess();0.15860095656486117;0.7848459489828636;0.0;0.375;80;80
io.netty.channel.ChannelHandlerAdapter();0.3173252090629707;0.9923834625206732;0.0;9.113001215066828E-4;16460;16460
io.netty.buffer.AbstractDerivedByteBuf.refCnt();0.3598338526297826;0.9945280933914115;0.0030169337572179327;0.007021744757960135;30826;30904
io.netty.testsuite.transport.socket.SocketTestPermutation$2$1.toString();0.22796984700059553;0.6977996843135282;0.26666666666666666;0.5375;240;240
io.netty.testsuite.transport.socket.SocketBufReleaseTest$BufWriterHandler();0.3193395975454466;0.9111634080897014;0.0;0.125;120;120
io.netty.testsuite.transport.socket.SocketBufReleaseTest$BufWriterHandler.release();0.0014575820759979577;0.3558760603413349;0.375;28.2;120;120
io.netty.testsuite.transport.socket.SocketTestPermutation.datagram();0.014756504114688075;0.07727197592933943;1.0333333333333332;4.833333333333333;30;30
io.netty.channel.group.DefaultChannelGroup(java.lang.String,io.netty.util.concurrent.EventExecutor);0.34343639613791377;0.7054569861112734;0.0;1.5;10;10
io.netty.channel.DefaultChannelPipeline.addLast0(java.lang.String,io.netty.channel.DefaultChannelHandlerContext);0.29787750821075476;0.9321538828543837;0.07659574468085106;0.09800531914893618;7520;7520
