# Unchanged methods (Rate method)
309
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
io.netty.testsuite.transport.AbstractTestsuiteTest.newAllocators();0.8766964897152689;0.6996633470276692;49.15;50.166666666666664;60;60
io.netty.testsuite.util.BogusKeyStore.asInputStream();NaN;1.0;0.0;0.0;20;20
io.netty.testsuite.util.BogusKeyStore.getCertificatePassword();NaN;1.0;0.0;0.0;20;20
io.netty.testsuite.transport.udt.UDTClientServerConnectionTest.connection();0.2715048824803773;0.5205228832757729;6655.0;6712.6;10;10
io.netty.buffer.AbstractByteBuf.writeMedium(int);NaN;1.0;0.0;0.0;840;840
io.netty.buffer.AbstractByteBufAllocator.toString();1.0;1.0;0.0030828516377649326;0.0030828516377649326;10380;10380
io.netty.testsuite.transport.socket.DatagramUnicastTest$3(io.netty.testsuite.transport.socket.DatagramUnicastTest,java.util.concurrent.CountDownLatch);NaN;1.0;0.0;0.0;80;80
io.netty.bootstrap.AbstractBootstrap();NaN;1.0;0.0;0.0;7320;7320
io.netty.bootstrap.AbstractBootstrap.localAddress();NaN;1.0;0.0;0.0;3460;3460
io.netty.bootstrap.ServerBootstrap.newAttrArray(int);NaN;1.0;0.0;0.0;3380;3380
io.netty.buffer.UnpooledHeapByteBuf.getByte(int);NaN;1.0;0.0;0.0;360;360
io.netty.channel.socket.oio.OioServerSocketChannel.config();NaN;1.0;0.0;0.0;1140;1140
io.netty.buffer.PooledUnsafeDirectByteBuf.recycler();NaN;1.0;0.0;0.0;60;60
io.netty.testsuite.transport.socket.SocketSslEchoTest$1(io.netty.testsuite.transport.socket.SocketSslEchoTest,javax.net.ssl.SSLEngine,java.util.concurrent.ExecutorService,io.netty.testsuite.transport.socket.SocketSslEchoTest.EchoHandler);NaN;1.0;0.0;0.0;1920;1920
io.netty.buffer.UnpooledUnsafeDirectByteBuf.freeDirect(java.nio.ByteBuffer);NaN;1.0;0.0;0.0;60;60
io.netty.buffer.PooledByteBufAllocator(boolean);NaN;1.0;0.0;0.0;160;160
