# List of all commits from changed methods found during the repository mining phase (blamed or not)
37
Revision,Bug Fixing,Author,Date,Number of Packages,Number of Files,Number of Insertions,Number of Deletions,Number of Churns,Delta of Lines,Number of Hunks,Number of Issues,Issues
9b468bc2758ead86690f633ee071e396c482c489,false,Norman Maurer,Ter 10-Jun-2014 12:45:37 +0200,1,4,153,1105,1258,-952,80,1,0
800853049814e751d9194bcb7d1a5947a870215a,true,Trustin Lee,Sex 18-Abr-2014 17:59:48 +0900,1,1,22,0,22,22,4,1,1823
c58f28dfdd4a75708d6ffa909d7d1ab1e6a3fadc,true,Trustin Lee,Dom 18-Mai-2014 02:26:01 +0900,11,52,3858,1119,4977,2739,98,2,2216:8
3e7dbe072e838adde0b1ac51ca0500165439eb19,false,Trustin Lee,Sex 30-Mai-2014 10:45:28 +0900,1,2,96,42,138,54,6,1,0
d4f074186dcc86f258bc4af10b6d816bda9fee3b,true,Norman Maurer,Dom 04-Mai-2014 21:09:58 +0200,1,2,25,1,26,24,2,1,2454
012166803a08eb825ae90495f2728e06c45b9811,false,Norman Maurer,Ter 08-Abr-2014 13:56:14 +0200,10,14,110,28,138,82,30,1,2353
bf5c928796712740ceba42384f0dfe4b45a94fb5,false,Norman Maurer,Sex 25-Abr-2014 20:38:44 +0200,1,1,14,1,15,13,1,1,0
4ad3984c8b725ef59856d174d09d1209d65933fc,false,Norman Maurer,Qua 04-Jun-2014 07:04:19 +0200,2,7,288,4,292,284,8,1,2436
e8b5c9ccae21bb48f536f44232df0a2a7fe4e0e5,false,Norman Maurer,Ter 15-Abr-2014 06:40:15 +0200,1,1,7,3,10,4,2,1,2390
bdab831ba5deae6871bcb571d91207848b762744,false,Trustin Lee,Sex 25-Abr-2014 16:40:42 +0900,3,11,138,28,166,110,20,1,2250
2aa35922b47f6c65a5f6114965d33cdd8078e197,true,Norman Maurer,Sáb 05-Abr-2014 19:27:09 +0200,1,1,13,0,13,13,2,1,2363
795507aa7bd091914bde8b48f739b0e186387543,false,Jake Luciani,Sex 09-Mai-2014 16:32:43 -0400,1,3,5,2,7,3,4,1,0
76355a28b04423662f97c56834ba2e2fd1e2eb9e,false,Norman Maurer,Qua 30-Abr-2014 12:31:41 +0200,2,2,170,3,173,167,6,1,2437
6c47cc97111146396d2daf1a97051135d2eaf69e,true,Norman Maurer,Seg 30-Jun-2014 07:10:12 +0200,1,7,566,13,579,553,24,1,2622
1278467fec2900bfb578f912218e746596b968ca,true,Norman Maurer,Sex 20-Jun-2014 16:51:28 +0200,1,2,72,1,73,71,5,1,2586
b627824b186212ce09e3ad81c2dbd1a6ac64e10a,false,Norman Maurer,Ter 17-Jun-2014 09:26:04 +0200,1,1,17,11,28,6,1,1,2577
fde13d96f92e9388869edb3ba80afe212d082fd4,false,ian,Seg 14-Abr-2014 16:57:24 -0400,1,2,36,0,36,36,2,1,0
3cdfe95608c99a6108149c92e7148d8adf9de088,false,Norman Maurer,Sex 27-Jun-2014 21:35:54 +0200,1,1,2,2,4,0,2,1,0
