# Unchanged methods (TTest P-Value)
440
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
io.netty.channel.DefaultChannelHandlerContext.write(java.lang.Object,io.netty.channel.ChannelPromise);0.3719198207428265;1.2058132270453825E-12;0.08177127709930891;0.04814319397841661;357;249
io.netty.channel.DefaultChannelPromise.channel();1.0;1.0;0.0;0.0;0;0
io.netty.testsuite.util.BogusKeyStore.asInputStream();1.0;1.0;0.0;0.0;0;0
io.netty.testsuite.util.BogusKeyStore.getCertificatePassword();1.0;1.0;0.0;0.0;0;0
io.netty.testsuite.transport.udt.UDTClientServerConnectionTest.connection();0.9848727023810069;0.7913367801006603;6419.6;6417.9;10;10
io.netty.buffer.AbstractByteBuf.writeMedium(int);1.0;1.0;0.0380952380952381;0.0;1;0
io.netty.channel.oio.AbstractOioMessageChannel(io.netty.channel.Channel);1.0;1.0;0.0;0.0;0;0
io.netty.channel.socket.nio.NioSocketChannel.config();1.0;1.0;0.0;0.0;0;0
io.netty.buffer.AbstractByteBuf.writableBytes();0.8580794934609778;0.5918424927189485;0.016830149716055755;0.026639132679401135;18;29
io.netty.channel.ChannelInitializer();1.0;1.0;0.0;0.0;0;0
io.netty.buffer.UnpooledHeapByteBuf.setByte(int,int);1.0;1.0;0.019135802469135803;0.0;1;0
io.netty.testsuite.transport.socket.SocketEchoTest.testSimpleEcho();0.12706561763340463;0.11241058465536369;3527.1;3596.1;10;10
io.netty.bootstrap.AbstractBootstrap();1.0;1.0;0.0274822695035461;0.0;2;0
io.netty.bootstrap.AbstractBootstrap.localAddress();1.0;1.0;0.0;0.0;0;0
io.netty.bootstrap.ServerBootstrap.newAttrArray(int);1.0;1.0;0.0;0.0;0;0
io.netty.channel.socket.DefaultDatagramChannelConfig(io.netty.channel.socket.DatagramChannel,java.net.DatagramSocket);1.0;1.0;0.0;0.0;0;0
io.netty.channel.DefaultChannelPipeline.writeAndFlush(java.lang.Object,io.netty.channel.ChannelPromise);0.9487207272903496;0.7815112949987135;0.2064597846738442;0.16330645161290322;19;19
io.netty.channel.socket.oio.OioServerSocketChannel.config();1.0;1.0;0.0;0.0;0;0
io.netty.channel.socket.nio.ProtocolFamilyConverter.convert(io.netty.channel.socket.InternetProtocolFamily);1.0;1.0;0.0;0.0;0;0
io.netty.channel.AdaptiveRecvByteBufAllocator(int,int,int);0.8087684441414508;0.7728299926844475;0.2080536912751678;0.30666666666666664;2;3
io.netty.testsuite.transport.socket.DatagramUnicastTest$1(io.netty.testsuite.transport.socket.DatagramUnicastTest,java.util.concurrent.CountDownLatch);1.0;1.0;0.0;0.0;0;0
io.netty.channel.DefaultChannelHandlerContext.findContextOutbound();1.0;1.0;0.01505212156805168;9.000798820895354E-5;94;1
io.netty.testsuite.transport.socket.SocketObjectEchoTest$2(io.netty.testsuite.transport.socket.SocketObjectEchoTest,io.netty.testsuite.transport.socket.SocketObjectEchoTest.EchoHandler);1.0;1.0;0.0;0.0;0;0
io.netty.testsuite.transport.socket.SocketSpdyEchoTest.createFrames(int);0.7342687019334118;0.4244047230336746;28.566666666666666;28.9;29;31
io.netty.channel.DefaultChannelPromise.setSuccess();1.0;1.0;0.0;0.0;0;0
io.netty.channel.ChannelHandlerAdapter();1.0;1.0;0.021218961625282168;0.0;3;0
io.netty.testsuite.transport.socket.SocketObjectEchoTest.testObjectEcho();0.8626231277852205;0.9349253116421172;3813.4444444444443;3811.0;9;10
io.netty.channel.socket.oio.OioDatagramChannel.joinGroup(java.net.InetSocketAddress,java.net.NetworkInterface,io.netty.channel.ChannelPromise);1.0;1.0;0.0;0.0;0;0
