# Degradated methods (TTest P-Value)
20
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
io.netty.testsuite.transport.udt.UDTClientServerConnectionTest.connection();0.03707392121441175;0.0019397281129029942;6417.9;6754.8;10;10
io.netty.testsuite.transport.socket.SocketObjectEchoTest.testObjectEcho();1.8924423829746448E-4;0.0013149446697132694;3811.0;3883.0;10;10
io.netty.channel.DefaultChannelPipeline.writeAndFlush(java.lang.Object);8.975978701458418E-5;0.6324440990915552;0.11683597736339178;0.16061435074296482;86232;88093
io.netty.channel.ChannelOutboundBuffer(io.netty.util.Recycler.Handle);3.513361796667442E-12;0.11727253620074918;0.0;0.5688888888888889;1150;1350
io.netty.testsuite.transport.socket.SocketShutdownOutputByPeerTest.testShutdownOutputWithoutOption();4.7328727655509546E-7;1.5705228423079642E-4;541.3;577.2;10;10
io.netty.channel.DefaultChannelHandlerContext.writeAndFlush(java.lang.Object,io.netty.channel.ChannelPromise);9.443711301428687E-7;0.5365721775318891;0.08015552734197878;0.12276104072046462;88216;90053
io.netty.channel.AbstractChannel(io.netty.channel.Channel);9.165514945501569E-4;0.43116889163849437;7.014782608695652;9.928148148148148;1150;1350
io.netty.testsuite.transport.udt.UDTClientServerConnectionTest$Client.waitForShutdown();0.03634615109115273;0.06964240479832817;109.2;153.0;10;10
io.netty.channel.AbstractChannel$AbstractUnsafe(io.netty.channel.AbstractChannel);0.024211399041848065;0.29110261326397835;1.0295652173913044;1.4074074074074074;1150;1350
io.netty.testsuite.transport.udt.UDTClientServerConnectionTest$Client.access$0(io.netty.testsuite.transport.udt.UDTClientServerConnectionTest.Client);0.03634615109115273;0.06964240479832817;109.2;153.0;10;10
io.netty.channel.ChannelOutboundBuffer$1.newObject(io.netty.util.Recycler.Handle);1.705662171017099E-8;0.1447096129785146;0.10782608695652174;0.6370370370370371;1150;1350
io.netty.channel.nio.AbstractNioChannel.eventLoop();0.037183762651356825;0.9578812949770921;0.0025332024418040465;0.00448426803580832;177246;121536
io.netty.testsuite.transport.udt.UDTClientServerConnectionTest$Client.waitForRunning(boolean);8.316457378605872E-6;4.396387526265366E-4;120.1;218.3;10;10
io.netty.channel.oio.AbstractOioChannel.newUnsafe();0.020898173275721667;0.5126446149788246;0.26666666666666666;0.682;420;500
io.netty.channel.ChannelOutboundBuffer.newInstance(io.netty.channel.AbstractChannel);8.515292460105195E-7;0.13400288953603168;0.23217391304347826;0.7674074074074074;1150;1350
io.netty.testsuite.transport.socket.SocketShutdownOutputBySelfTest.testShutdownOutput();5.3071627599146543E-11;1.5705228423079642E-4;2329.4;2372.7;10;10
io.netty.channel.DefaultChannelHandlerContext.writeAndFlush(java.lang.Object);3.29028825846182E-5;0.5904629197547475;0.11085211986269598;0.15492717923103994;86232;88093
io.netty.buffer.AbstractByteBuf.checkIndex(int,int);0.03438942156255039;0.9734458103217491;0.0;0.04634760705289673;60;1985
io.netty.channel.AbstractChannel.writeAndFlush(java.lang.Object);1.374637328022827E-4;0.6425279889247149;0.12131227386585026;0.16420146890218293;86232;88093
io.netty.testsuite.transport.socket.WriteBeforeRegisteredTest.testWriteBeforeConnect();2.5549136394449005E-11;1.5705228423079642E-4;280.5;326.1;10;10
0.0
0.05
