# Unchanged methods (UTest P-Value)
445
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
io.netty.channel.DefaultChannelPromise.channel();0.15729961681363835;0.9970780964990862;0.0;1.263523651583353E-4;99979;253260
io.netty.testsuite.util.BogusKeyStore.asInputStream();NaN;1.0;0.0;0.0;20;20
io.netty.testsuite.util.BogusKeyStore.getCertificatePassword();NaN;1.0;0.0;0.0;20;20
io.netty.testsuite.transport.udt.UDTClientServerConnectionTest.connection();0.514511830994123;0.05878172135535886;6754.8;6665.2;10;10
io.netty.buffer.AbstractByteBuf.writeMedium(int);NaN;1.0;0.0;0.0;420;840
io.netty.channel.oio.AbstractOioMessageChannel(io.netty.channel.Channel);NaN;1.0;0.0;0.0;300;840
io.netty.channel.socket.nio.NioSocketChannel.config();NaN;1.0;0.0;0.0;19230;56205
io.netty.buffer.CompositeByteBuf.capacity();0.47018006520645006;0.9776839177747815;0.007792207792207792;0.0020657155767865214;1925;15491
io.netty.buffer.AbstractByteBuf.writableBytes();0.12385869187227361;0.9636510855500688;0.01287995878413189;0.005675954592363261;19410;38760
io.netty.testsuite.transport.socket.DatagramUnicastTest$3(io.netty.testsuite.transport.socket.DatagramUnicastTest,java.util.concurrent.CountDownLatch);NaN;1.0;0.0;0.0;40;80
io.netty.channel.ChannelInitializer();NaN;1.0;0.0;0.0;1210;4580
io.netty.buffer.UnpooledHeapByteBuf.setByte(int,int);NaN;1.0;0.0;0.0;1620;3240
io.netty.bootstrap.AbstractBootstrap();0.5218761756468323;0.9781585550647773;0.010948905109489052;0.0035714285714285713;1370;4200
io.netty.bootstrap.AbstractBootstrap.localAddress();NaN;1.0;0.0;0.0;580;1900
io.netty.bootstrap.ServerBootstrap.newAttrArray(int);NaN;1.0;0.0;0.0;550;1820
io.netty.channel.ChannelOutboundBuffer$Entry();0.3173161091339124;0.9942227035264323;3.7037037037037035E-4;0.0;43200;133120
io.netty.channel.socket.DefaultDatagramChannelConfig(io.netty.channel.socket.DatagramChannel,java.net.DatagramSocket);0.30398806287281477;0.8860183280004943;0.14545454545454545;0.03409090909090909;220;440
io.netty.channel.DefaultChannelPipeline.writeAndFlush(java.lang.Object,io.netty.channel.ChannelPromise);0.7724673303909135;0.9364252208450425;0.27091836734693875;0.2936905358037056;1960;3994
io.netty.channel.socket.oio.OioServerSocketChannel.config();NaN;1.0;0.0;0.0;190;620
io.netty.channel.socket.nio.ProtocolFamilyConverter.convert(io.netty.channel.socket.InternetProtocolFamily);0.6810219939730154;0.9468156908439403;0.13636363636363635;0.07272727272727272;110;220
io.netty.channel.AdaptiveRecvByteBufAllocator(int,int,int);0.5466636622392271;0.9199479328510998;0.1;0.20666666666666667;150;150
io.netty.testsuite.transport.socket.DatagramUnicastTest$1(io.netty.testsuite.transport.socket.DatagramUnicastTest,java.util.concurrent.CountDownLatch);NaN;1.0;0.0;0.0;40;80
io.netty.channel.DefaultChannelHandlerContext.findContextOutbound();0.45319689696034193;0.9957169338119348;3.491810612921882E-4;1.4800951080469428E-4;91643;209446
io.netty.testsuite.transport.socket.SocketObjectEchoTest$2(io.netty.testsuite.transport.socket.SocketObjectEchoTest,io.netty.testsuite.transport.socket.SocketObjectEchoTest.EchoHandler);NaN;1.0;0.0;0.0;30;60
io.netty.channel.DefaultChannelPromise.setSuccess();NaN;1.0;0.0;0.0;40;80
io.netty.channel.ChannelHandlerAdapter();0.15733764707689468;0.9533638996784577;0.011851851851851851;0.0;2700;9020
io.netty.channel.socket.oio.OioDatagramChannel.joinGroup(java.net.InetSocketAddress,java.net.NetworkInterface,io.netty.channel.ChannelPromise);NaN;1.0;0.0;0.0;10;20
io.netty.buffer.AbstractDerivedByteBuf.refCnt();0.9610456359987491;0.9998389212680263;0.007792207792207792;0.008198308695371507;1925;15491
io.netty.channel.ChannelMetadata(boolean);NaN;1.0;0.0;0.0;480;480
io.netty.channel.socket.oio.DefaultOioSocketChannelConfig.setTcpNoDelay(boolean);NaN;1.0;0.0;0.0;200;660
io.netty.testsuite.transport.socket.SocketTestPermutation$2$1.toString();0.15460295734660068;0.6989327534904786;0.5333333333333333;0.13333333333333333;120;240
io.netty.channel.AbstractChannel.newPromise();0.2276913156182946;0.9489834539982263;0.0055147058823529415;0.022617901828681425;2720;2078
io.netty.testsuite.transport.socket.SocketBufReleaseTest$BufWriterHandler();NaN;1.0;0.0;0.0;60;120
io.netty.bootstrap.ServerBootstrap.toString();0.32140547835492217;0.9376409209303738;0.02727272727272727;0.06321839080459771;550;1740
io.netty.channel.DefaultAddressedEnvelope(java.lang.Object,java.net.SocketAddress);NaN;1.0;0.0;0.0;120;240
io.netty.channel.ChannelInboundHandlerAdapter();NaN;1.0;0.0;0.0;2700;9020
io.netty.testsuite.transport.socket.SocketSpdyEchoTest$SpdyEchoTestServerHandler();NaN;1.0;0.0;0.0;60;120
io.netty.channel.socket.nio.NioSocketChannel.isActive();NaN;1.0;0.0;0.0;534;945
io.netty.channel.DefaultMessageSizeEstimator$HandleImpl(int,io.netty.channel.DefaultMessageSizeEstimator.HandleImpl);NaN;1.0;0.0;0.0;150;150
io.netty.testsuite.transport.socket.SocketEchoTest$EchoHandler();NaN;1.0;0.0;0.0;240;480
io.netty.testsuite.transport.socket.SocketEchoTest$2(io.netty.testsuite.transport.socket.SocketEchoTest.EchoHandler);NaN;1.0;0.0;0.0;60;120
io.netty.buffer.AbstractByteBuf.ensureAccessible();0.1257182614716864;0.9645581058960069;0.0054931640625;0.0036163441738568097;81920;235044
io.netty.testsuite.transport.socket.SocketShutdownOutputBySelfTest.testShutdownOutput(io.netty.bootstrap.Bootstrap);0.8269116232744491;0.06425769885539323;1146.6;1090.0;20;40
io.netty.channel.SingleThreadEventLoop(io.netty.channel.EventLoopGroup,java.util.concurrent.ThreadFactory,boolean);NaN;1.0;0.0;0.0;360;1110
io.netty.channel.AbstractChannel$AbstractUnsafe.localAddress();NaN;1.0;0.0;0.0;60;120
io.netty.channel.DefaultChannelHandlerContext.fireChannelWritabilityChanged();0.375377498885222;0.8734201485430095;0.22507122507122507;1.235864297253635;351;619
io.netty.testsuite.transport.socket.DatagramMulticastTest$MulticastTestHandler(io.netty.testsuite.transport.socket.DatagramMulticastTest.MulticastTestHandler);NaN;1.0;0.0;0.0;40;80
io.netty.channel.socket.oio.OioDatagramChannel.leaveGroup(java.net.InetSocketAddress,java.net.NetworkInterface,io.netty.channel.ChannelPromise);NaN;1.0;0.0;0.0;10;20
io.netty.bootstrap.ServerBootstrap();NaN;1.0;0.0;0.0;550;1820
io.netty.channel.group.DefaultChannelGroup(java.lang.String,io.netty.util.concurrent.EventExecutor);0.34343639613791377;0.7054569861112734;1.5;0.0;10;10
io.netty.channel.nio.AbstractNioMessageChannel$NioMessageUnsafe(io.netty.channel.nio.AbstractNioMessageChannel);NaN;1.0;0.0;0.0;470;1420
io.netty.channel.DefaultChannelPipeline.addLast0(java.lang.String,io.netty.channel.DefaultChannelHandlerContext);0.0020629885920795095;0.4364005471429344;0.32978723404255317;0.13551401869158877;1410;4280
io.netty.buffer.SlicedByteBuf(io.netty.buffer.ByteBuf,int,int);0.5388854052799937;0.9345265221580208;0.017556620929079187;0.02186804269574083;30245;96122
io.netty.channel.nio.AbstractNioChannel(io.netty.channel.Channel,java.nio.channels.SelectableChannel,int);NaN;1.0;0.0;0.0;850;2660
io.netty.channel.group.CombinedIterator(java.util.Iterator,java.util.Iterator);NaN;1.0;0.0;0.0;10;10
io.netty.testsuite.transport.socket.SocketBufReleaseTest.access$0();NaN;1.0;0.0;0.0;60;120
io.netty.channel.socket.oio.OioServerSocketChannel.newServerSocket();NaN;1.0;0.0;0.0;190;620
io.netty.channel.ChannelOption(java.lang.String);NaN;1.0;0.0;0.0;540;4200
io.netty.channel.socket.nio.NioDatagramChannelConfig.setOption0(java.lang.Object,java.lang.Object);0.32558198801619376;0.7973514701113644;0.5333333333333333;0.0;30;60
io.netty.channel.socket.nio.NioDatagramChannel.joinGroup(java.net.InetAddress,java.net.NetworkInterface,java.net.InetAddress,io.netty.channel.ChannelPromise);0.7511124291977115;0.9824502949659324;1.6;2.35;10;20
io.netty.channel.socket.DefaultDatagramChannelConfig.setReuseAddress(boolean);NaN;1.0;0.0;0.0;60;120
io.netty.channel.socket.DefaultDatagramChannelConfig.getOption(io.netty.channel.ChannelOption);NaN;1.0;0.0;0.0;10;20
io.netty.testsuite.transport.socket.SocketTestPermutation$2$1(null);0.31832187790784927;0.948603752073481;0.0;0.0625;120;240
io.netty.channel.DefaultChannelHandlerContext$WriteTask.newInstance(io.netty.channel.DefaultChannelHandlerContext,java.lang.Object,int,boolean,io.netty.channel.ChannelPromise);0.03328916736676223;0.9628089678022814;0.031292683197672484;0.044432249149868194;90053;204086
io.netty.bootstrap.Bootstrap.doConnect0(io.netty.channel.ChannelFuture,io.netty.channel.Channel,java.net.SocketAddress,java.net.SocketAddress,io.netty.channel.ChannelPromise);0.598932104807615;0.9441097829293915;0.0967741935483871;0.041343669250646;155;387
io.netty.channel.socket.nio.NioSocketChannel.isInputShutdown();NaN;1.0;0.0;0.0;60;120
io.netty.bootstrap.AbstractBootstrap.channelFactory();NaN;1.0;0.0;0.0;1350;4160
io.netty.buffer.CompositeByteBuf.addComponent(io.netty.buffer.ByteBuf);7.920162901721455E-4;0.504070991270231;0.23636363636363636;0.08191853334194048;1925;15491
io.netty.channel.ThreadPerChannelEventLoop$1(io.netty.channel.ThreadPerChannelEventLoop);NaN;1.0;0.0;0.0;500;1500
