264
Degradation,Revision,Bug Fixing,Number of Packages,Number of Files,Number of Issues,Number of Insertions,Number of Deletions,Number of Churns,Delta of Lines,Number of Hunks,Hour of Day,Day of Week
false,17727,false,4,6,1,272,7,279,265,13,22,7
false,17738,false,1,1,1,3,2,5,1,2,14,4
false,17739,false,2,5,1,105,183,288,-78,16,8,7
false,17741,false,3,10,1,127,269,396,-142,25,3,1
false,17744,false,1,1,1,5,5,10,0,3,5,1
false,17832,false,1,39,1,587,41,628,546,41,19,3
false,17857,false,1,18,1,273,21,294,252,21,19,3
false,17865,false,1,104,1,1548,106,1654,1442,106,20,3
false,17917,false,1,1,1,1,1,2,0,1,17,4
false,17921,false,1,1,1,5,3,8,2,2,5,4
false,17923,false,1,1,1,22,35,57,-13,6,5,4
false,17926,false,1,1,1,1,3,4,-2,1,10,5
false,17927,false,1,1,1,3,1,4,2,1,13,5
false,17928,false,1,1,1,57,48,105,9,2,13,5
false,17931,false,1,12,1,52,353,405,-301,28,11,7
false,17935,true,7,10,1,169,30,199,139,21,12,7
false,17939,true,1,1,1,17,2,19,15,3,15,7
false,17959,true,1,1,1,6,0,6,6,2,12,5
false,17960,true,1,1,1,13,1,14,12,2,12,5
false,17961,false,1,1,1,180,185,365,-5,29,12,5
false,17962,false,1,1,1,121,145,266,-24,30,12,5
false,17963,true,1,1,1,125,29,154,96,11,18,5
false,17965,true,1,1,1,7,3,10,4,2,23,5
false,17994,true,3,6,1,136,64,200,72,21,23,5
false,17996,false,2,3,1,18,5,23,13,6,19,7
false,18021,false,1,1,1,6,0,6,6,3,22,2
false,18022,false,4,7,1,15,17,32,-2,12,8,3
false,18026,false,1,1,1,18,10,28,8,5,11,7
false,18043,true,1,3,1,69,66,135,3,18,21,7
false,18093,false,1,1,1,6,1,7,5,1,16,1
false,18095,false,1,2,1,32,3,35,29,7,17,1
false,18099,false,1,1,1,4,2,6,2,1,10,2
false,18103,false,1,1,1,1,4,5,-3,1,20,3
false,18108,false,1,1,1,4,0,4,4,1,8,4
false,18112,false,1,1,1,9,13,22,-4,2,12,4
false,18113,false,1,1,1,2,1,3,1,1,12,7
false,18116,false,1,2,1,7,3,10,4,4,16,1
false,18120,false,1,1,1,12,2,14,10,5,20,1
false,18123,false,1,1,1,4,3,7,1,2,20,1
false,18125,false,1,1,1,1,0,1,1,1,11,2
false,18129,false,1,1,1,11,0,11,11,2,12,2
false,18132,false,1,2,1,48,0,48,48,4,14,2
false,18135,false,1,2,1,17,6,23,11,2,18,2
false,18146,false,1,1,1,52,1,53,51,4,14,4
false,18151,false,1,1,1,17,4,21,13,2,17,4
false,18174,false,1,1,1,1,1,2,0,1,11,7
false,18177,false,1,1,1,9,9,18,0,1,16,7
false,18199,false,4,7,1,117,150,267,-33,100,21,2
false,18200,false,1,1,1,1,1,2,0,1,2,3
false,18205,false,3,7,1,201,80,281,121,16,21,4
false,18206,false,3,6,1,59,159,218,-100,14,0,5
false,18210,false,1,1,1,7,2,9,5,2,8,3
false,18212,false,1,1,1,16,9,25,7,1,14,3
false,18213,false,2,6,1,32,293,325,-261,14,14,3
false,18216,true,4,13,2,296,254,550,42,30,17,4
false,18218,false,3,5,1,42,82,124,-40,13,17,5
false,18242,false,1,1,1,4,0,4,4,1,16,2
false,18252,false,1,1,1,9,1,10,8,3,17,3
false,18253,false,2,2,1,22,4,26,18,3,17,3
false,18258,false,1,2,1,32,10,42,22,5,17,3
false,18265,false,1,1,1,1,0,1,1,1,5,5
false,18280,true,2,3,1,67,65,132,2,11,20,7
false,18283,true,2,2,1,6,5,11,1,3,14,1
false,18316,true,1,1,1,11,2,13,9,3,21,3
false,18319,true,1,1,1,2,5,7,-3,4,23,3
false,18326,false,1,1,1,21,9,30,12,1,20,5
false,18335,false,1,1,1,1,1,2,0,1,11,3
false,18336,true,1,2,1,20,21,41,-1,2,12,3
false,18337,false,1,1,1,4,3,7,1,1,12,3
false,18360,false,1,1,1,1,38,39,-37,4,21,2
false,18382,false,1,2,1,10,9,19,1,2,8,6
false,18389,true,1,1,1,3,2,5,1,1,17,4
false,18404,true,1,1,1,1,1,2,0,1,7,4
false,18436,false,1,3,1,18,2,20,16,8,7,2
false,18437,false,1,3,1,37,1,38,36,8,7,2
false,18442,false,1,1,1,24,16,40,8,2,20,5
false,18443,true,1,1,1,23,39,62,-16,5,19,6
false,18444,true,1,2,1,14,7,21,7,2,21,6
false,18445,true,1,3,1,11,8,19,3,6,6,7
false,18449,true,1,2,1,173,16,189,157,10,7,4
false,18451,true,5,9,1,278,54,332,224,35,11,2
false,18455,false,1,1,1,3,2,5,1,1,16,4
false,18505,false,3,3,1,26,0,26,26,5,17,1
false,18509,false,1,1,1,1,1,2,0,1,8,2
false,18515,false,4,7,1,24,15,39,9,10,16,4
false,18524,false,4,6,1,153,13,166,140,19,11,7
false,18525,false,3,4,1,97,8,105,89,24,12,7
false,18526,false,3,3,1,36,6,42,30,5,16,7
false,18531,false,1,1,1,2,1,3,1,1,21,1
