degradation,revision,authorexpertise,daysbeforerelease,bug,packages,files,issues,insertions,deletions,churns,deltalines,hunks,hour,day
false,17727,2460,16,false,4,6,1,272,7,279,265,13,22,7
false,17738,3737,13,false,1,1,1,3,2,5,1,2,14,4
false,17739,2359,10,false,2,5,1,105,183,288,-78,16,8,7
false,17741,2361,9,false,3,10,1,127,269,396,-142,25,3,1
false,17744,2364,9,false,1,1,1,5,5,10,0,3,5,1
false,17832,3824,7,false,1,39,1,587,41,628,546,41,19,3
false,17857,3849,7,false,1,18,1,273,21,294,252,21,19,3
false,17865,3857,7,false,1,104,1,1563,107,1670,1456,107,20,3
false,17917,3908,11,false,1,1,1,1,1,2,0,1,17,4
false,17921,2366,4,false,1,1,1,5,3,8,2,2,5,4
false,17923,2368,4,false,1,1,1,22,35,57,-13,6,5,4
false,17926,2369,3,false,1,1,1,1,3,4,-2,1,10,5
false,17927,2370,3,false,1,1,1,3,1,4,2,1,13,5
false,17928,2371,3,false,1,1,1,57,48,105,9,2,13,5
false,17931,2374,1,false,1,12,1,52,353,405,-301,28,11,7
false,17935,101,1,true,7,10,1,169,30,199,139,21,12,7
false,17939,2378,1,true,1,1,1,17,2,19,15,3,15,7
false,17959,356,2,true,1,1,1,6,0,6,6,2,12,5
false,17960,357,2,true,1,1,1,13,1,14,12,2,12,5
false,17961,358,2,false,1,1,1,180,185,365,-5,29,12,5
false,17962,359,2,false,1,1,1,121,145,266,-24,30,12,5
false,17963,2383,1,true,1,1,1,125,29,154,96,11,18,5
false,17965,2385,1,true,1,1,1,7,3,10,4,2,23,5
false,17994,104,2,true,3,6,1,136,64,200,72,21,23,5
false,17996,2463,1,false,2,3,1,18,5,23,13,6,19,7
false,18021,2395,4,false,1,1,1,6,0,6,6,3,22,2
false,18022,2396,4,false,4,7,1,15,17,32,-2,12,8,3
false,18026,3973,0,false,1,1,1,18,10,28,8,5,11,7
false,18043,106,1,true,1,3,1,69,66,135,3,18,21,7
false,18093,2409,14,false,1,1,1,6,1,7,5,1,16,1
false,18095,2411,14,false,1,2,1,32,3,35,29,7,17,1
