degradation,revision,authorexpertise,daysbeforerelease,bug,packages,files,issues,insertions,deletions,churns,deltalines,hunks,hour,day
2,0539b48b8a9311e56e99568758f798b83c2ff0f0,2733,99,false,3,4,1,15,41,56,-26,9,15,3
2,07ec47adfac619308f71047808380322c8b46352,2904,20,false,3,3,1,52,21,73,31,13,19,5
2,0dbf684298b3702d22a92fe32e62ab1c11b09fce,2824,55,false,2,7,1,772,716,1488,56,17,15,5
2,149ee0104705200eaa3a2bfe240c8dabbe921788,1031,33,true,2,3,1,24,7,31,17,12,13,4
2,14dc4fade0745899b06994ec2c934a9bf38e7d2e,1538,42,false,1,1,1,10,5,15,5,3,22,3
2,1666f54b50f57fd354dce2462c5ff88bee85328c,2727,105,false,3,3,1,71,36,107,35,19,17,4
2,171f7b535280cfe1388f20cb72e998a28a376a92,2974,4,false,1,1,1,2,2,4,0,1,17,5
2,17f46665df2e0b066b40a3889dbf3f56173e0554,2843,49,false,7,25,1,449,147,596,302,51,21,4
2,1ee11138a7c40741195f1709a000569018e3b39c,1567,14,false,1,1,1,52,17,69,35,7,10,4
2,1fb07644a18cd6008f5d8f61f4423e11968a0ef1,2835,53,false,2,6,1,72,61,133,11,19,16,7
2,22e57ef7b727f24e41cc0040bfe47889bf3d7705,2809,61,false,7,29,1,291,210,501,81,94,15,6
2,272e1d8da590c40cb8caa27f1614e0b7e5c63d65,2730,99,false,15,56,1,819,815,1634,4,220,0,3
2,287e86b7aa787c9836fccbe2816dd08b4b6c599e,2846,48,false,4,20,1,249,304,553,-55,32,12,5
2,2c3a4869abdf7d0f0d135f38e9bbbb4a50211a3c,2840,4,false,2,4,1,90,9,99,81,11,11,6
2,30123607c66627f74c8e8f7bed372f6e9b99ec31,2808,62,false,11,43,1,821,938,1759,-117,133,15,5
2,31e448ffd677d9360c4132a63b08fe53c860cf7c,2961,10,false,8,23,1,279,253,532,26,117,15,6
2,3270af81e88a356d1e5330d9117fa86378cda6c2,2810,9,true,5,6,1,8,18,26,-10,9,19,4
2,33435fad3d8e1e12ab85873d842f2f8d580b567a,1710,54,false,1,1,1,2,1,3,1,1,15,5
2,3832a8645d858de657a46859ca2ae841c8afb285,1442,99,false,1,3,1,119,37,156,82,8,18,3
2,38501a9e978335c63ed52555f8b6d2d8e4f138f8,1713,53,false,1,1,1,5,0,5,5,2,14,6
2,395ecd2b70fcbc4719441bdf9ff521b7ef5c7a61,1610,20,false,1,2,1,38,59,97,-21,11,20,3
2,3abfbe26b391a7486fd3eb68586dad981bf77de8,1449,10,false,1,1,1,2,2,4,0,2,17,3
2,3c321e9b8f049c96ecb7e9b35c1cddebef71673c,2709,107,false,4,10,1,157,53,210,104,26,15,2
2,3e4c9909e0b74f9abeb24398b8e9b1de11052bbf,1715,14,true,4,5,1,164,8,172,156,11,10,4
2,3f08e54a23a575d0a113ae4777ec842a3644368d,1789,0,true,3,3,1,17,23,40,-6,5,15,6
2,3fcb910c1aa40929da0de5b9c0fc4f2e0349aaa8,2734,99,false,2,6,1,154,77,231,77,9,19,3
2,40a7d5984e41be6033304b42a944efacfe5c76fc,2916,5,true,1,3,1,84,4,88,80,3,9,6
2,40d84ff1e37d1f562a030dae002a10b418882e1b,2906,14,true,4,6,1,29,13,42,16,16,17,4
2,44bb8cefa56dda18f603a7cea733edcdb6a548ed,2841,4,false,1,1,1,4,1,5,3,2,12,6
2,451e27e7369e6d75088926ab753aa7d53e3d18b7,2809,16,false,1,1,1,9,0,9,9,1,16,4
2,49a32eb1b0da23229441cd2f199ec57caab46cbc,1026,6,true,1,1,1,67,9,76,58,8,18,5
2,4d2a580c2c8ca054841697a9d8848bdceb1c97f9,2767,75,true,8,19,1,120,125,245,-5,44,17,6
2,4d7ead76ce0e24c0a1f180a8fd218bc251068a29,2849,47,false,3,4,1,17,1,18,16,4,17,6
2,58ed30e7103f1c86d1da9702e918795b30b93a27,2700,108,false,3,7,1,516,125,641,391,13,11,1
2,5da7c29787e901a96388c5695a9595932f0e3a58,2947,12,false,1,1,1,35,16,51,19,5,10,4
2,6048343fee5f5fd9b845ccf12d285c69d5aae182,1708,55,false,1,3,1,148,36,184,112,11,10,5
2,6097123af68784a0186337b2e01a8025d7d13d25,1073,6,true,1,1,1,2,2,4,0,2,11,4
2,6268421dd039a2c272113427852b4d81c383c7c2,1616,18,false,70,631,1,159489,10930,170419,148559,1595,18,5
2,649eb7f3dc7ca8035fda8c1b33b62c3af19113be,1600,25,false,1,1,1,6,1,7,5,1,10,5
2,6a6c8bacda1e64b1be2bf561db92b99e50148126,1043,18,false,1,1,1,17,14,31,3,1,19,5
2,6dfa452e29ca3ea5ee63552f9cefb0dd07899fa3,2849,48,false,4,6,1,14,10,24,4,14,19,5
2,738c47bc553d7e90a0d074b99aff5e666d26a7c2,2957,10,false,8,63,1,3907,4453,8360,-546,78,8,6
2,85cb290e1c69c4ba5df04df8ee5ab433fe099719,2734,99,false,2,5,1,79,29,108,50,7,15,3
2,87cac64dffad79d1eb1fcc4964374bd774242384,1567,14,false,1,1,1,30,36,66,-6,2,10,4
2,8a555e669a593bf073dc59e81090818c3be6895d,2934,19,true,1,2,1,42,10,52,32,7,11,4
2,8bf6b2c62c814c5d8e160bc41a5a0089e4a4c9d9,2944,17,true,1,1,1,9,1,10,8,4,14,6
2,8d2efaf7eb3c8cb901d83bb19041f35ea770d6f6,1591,38,true,16,27,1,120,121,241,-1,62,9,6
2,8eab088a3538fc043c404ed9ed4dc2b1ce6a771b,2968,4,true,3,3,1,44,5,49,39,6,14,5
2,90e9cfc535dc992b00cb4af21eb7a1ef34da433b,1617,18,true,1,1,1,1,1,2,0,1,19,5
2,9189c934d926209855cfc8a50f129de68f43f818,2965,4,true,1,1,1,1,1,2,0,1,11,5
2,9c3eedfea8b49e6c9e0c4b249a415721a0ebd9e9,2822,55,false,3,9,1,198,182,380,16,22,13,5
