# Scenarios executed in the second release, but not in the first
24
Name;Average
Entry point for TestProfileMother.testCreateProfilePairWith2ndDependingOn1stViaXmi;735.0
Entry point for TestProfileManagerImpl.testXmiProfileDependencyResolutionWithProfilesHandedInReverseOrderOfDependencyInTwoCalls;2956.2
Entry point for TestTransitionNotationUml.testParseEventsReuse;82.5
Entry point for TestAttributeAndOperationNotationUml.testAttributeDerived;57.7
Entry point for TestDependencyResolver.testResolveWithResolvableItemsButHandedInInvertedOrder;7.9
Entry point for TestDependencyResolver.testDependentStringEquals;0.0
Entry point for TestProfileMother.testXmiDependentProfile;265.2
Entry point for TestDependencyResolver.testResolveNoArgs;18.8
Entry point for TestProfileMother.testCreateXmiDependentProfile;800.4
Entry point for TestUMLTagDefinitionComboBoxModel.testGetApplicableTagDefinitionsIssue6008;4330.7
Entry point for TestDependencyResolver.testResolveWithSolutionInjectedByThirdParty;20.2
Entry point for TestDependencyResolver.testResolveWithResolvableItemsButInTwoCalls;23.3
Entry point for TestTransitionNotationUml.testParseTriggerCallEventOperation5;18.7
Entry point for TestTransitionNotationUml.testParseTriggerCallEventOperation4;11.0
Entry point for TestTransitionNotationUml.testParseTriggerCallEventOperation3;1.6
Entry point for TestTransitionNotationUml.testParseTriggerCallEventOperation2;15.4
Entry point for TestProfileManagerImpl.testXmiProfileDependencyResolutionWithProfilesHandedInReverseOrderOfDependencyInOneCall;2064.0
Entry point for TestTransitionNotationUml.testParseTriggerCallEventOperation7;9.4
Entry point for TestTransitionNotationUml.testParseTriggerCallEventOperation6;10.9
Entry point for TestTransitionNotationUml.testParseTriggerCallEventOperation1;18.9
Entry point for TestFileHelper.testCreateTempDirectory;54.8
Entry point for TestDependencyResolver.testResolveWithAllResolvableDependencies;29.5
Entry point for TestProfileMother.testCreateUnloadedSimpleProfile;672.4
Entry point for TestStereotypeUtility.testGetAvailableStereotypesForAModelElementIssue5969;1599.1
