# Degradated methods (Rate method)
304
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.argouml.uml.ui.ActionActivityDiagram.createDiagram(java.lang.Object,org.argouml.uml.diagram.DiagramSettings);0.027510910498132483;0.19876460637323523;43.8;51.4;10;10
org.argouml.ui.LookAndFeelMgr();0.0404002543847122;0.22647606604348647;31.3;37.4;10;10
org.argouml.model.TestCoreFactory.testBuildRealization();0.27294138353862174;0.254751162990438;15.166666666666666;17.0;6;10
org.argouml.profile.TestUserDefinedProfile.testLoadingConstructor();2.7795228063146827E-13;1.5705228423079642E-4;594.3;684.8;10;10
org.argouml.kernel.TestProject.testDeletePackageWithPackageWithActivityDiagram();0.14304176824079104;0.10734653699381091;34.3;122.71428571428571;10;7
org.argouml.uml.cognitive.critics.CrOperNameConflict();1.0;1.0;15.0;16.0;2;1
org.argouml.cognitive.checklist.ui.TestTabChecklist.testIcon();0.5585817605861594;0.0019397281129029942;201.1;229.4;10;10
org.argouml.model.TestModelEventPump.testRemoved();0.07069438974128037;0.17971249487899987;68.6;78.0;5;3
org.argouml.uml.diagram.ui.ArgoFigText(java.lang.Object,java.awt.Rectangle,org.argouml.uml.diagram.DiagramSettings,boolean);0.6864776911966193;0.39592222326257775;25.212962962962962;27.048192771084338;108;83
org.argouml.uml.cognitive.critics.TestCrUnconventionalOperName.testPredicate2();0.036787497879786045;0.13057001811573632;78.0;84.0;10;10
org.argouml.model.CheckUMLModelHelper.createAndRelease(java.lang.Object,java.lang.Iterable,java.lang.Object[]);0.16890716997926702;0.09292403427811002;145.96666666666667;164.13636363636363;90;88
org.argouml.profile.TestCoreProfileReference.testCtorHappyPath();0.5307106449519405;1.0;429.0;1731.3333333333333;2;3
org.argouml.persistence.PGMLStackParser.getOwner(java.lang.String,java.lang.String);1.0;1.0;16.0;31.0;1;2
org.argouml.kernel.TestProject.testDeleteStateDiagram();0.26916045423657786;0.2570742986848298;41.55555555555556;53.4;9;5
org.argouml.persistence.TestProfileConfigurationFilePersister.testProfileConfigurationParser();0.3611616217177587;0.8205958397554409;15.6;17.1;10;10
org.argouml.notation.providers.uml.NotationUtilityUml$10.found(java.lang.Object,java.lang.String);0.3654532990378997;0.24715997321190708;15.5;23.75;2;4
org.argouml.persistence.PGMLStackParser.constructFig(java.lang.String,java.lang.String,java.awt.Rectangle,org.xml.sax.Attributes);0.7850735174551374;0.7719044319909227;26.5625;28.085714285714285;208;210
org.argouml.persistence.TestXmiFilePersister.testCreateSaveAndLoadYieldsCorrectModel();0.10254550518695545;0.028365505605209895;983.0;1324.4;10;10
org.argouml.model.mdr.UndoCoreHelperDecorator.setSpecification(java.lang.Object,boolean);0.423399815151151;0.5637028616507731;15.5;20.666666666666668;2;3
org.argouml.notation.providers.uml.NotationUtilityUml$PropertySpecialString.invoke(java.lang.Object,java.lang.String,java.lang.String);0.14987802751575385;0.00841804406535207;15.333333333333334;20.6;15;10
org.argouml.profile.URLModelLoader.loadModel(org.argouml.profile.ProfileReference);1.5065924668015558E-6;1.5705228423079642E-4;213.5;260.7;10;10
org.argouml.kernel.ProjectManager.setCurrentProject(org.argouml.kernel.Project);1.0;1.0;15.0;16.0;1;1
org.argouml.persistence.TestXmiFilePersister.testLoadProject();0.019643131027341172;0.010165201891956244;350.9;706.7;10;10
org.argouml.cognitive.checklist.ui.TabChecklist();0.5180213458219665;0.053324691055879225;56.857142857142854;81.2;14;10
org.argouml.persistence.TestProfileConfigurationFilePersister.testWritePreviouslyLoadedProfile();2.9077339449235597E-4;0.0014988733371517071;789.2;883.1;10;10
