# Degradated scenarios (Rate method)
171
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
Entry point for TestExtensionMechanismsHelper.testGetMetaModelName;0.2940289076274999;0.5453496680111235;28.0;43.5;10;10
Entry point for TestMessageNotationUml.testGenerateSequenceNumbers;0.18829117125719863;0.9097218891455553;32.6;54.7;10;10
Entry point for TestProjectManager.testMakeEmptyProject;1.440218325863852E-21;1.5705228423079642E-4;404.1;719.1;10;10
Entry point for TestTargetManager.testSetTargets;0.18448818487662877;0.3257513544787165;7.8;12.4;10;10
Entry point for TestActivityGraphStateMachine.testDeleteStateMachineTop;0.004587445649352254;0.005158957570721268;165.2;176.3;10;10
Entry point for TestItemUID.testConstructors;0.0591598122957216;0.14046504815835548;1.6;7.9;10;10
Entry point for TestProject.testDeleteOperationWithStateDiagram;0.42534097007155325;0.9397429895770734;25.0;32.6;10;10
Entry point for TestOsUtil.testTesters;0.6456778869533886;0.7623688184698398;3.2;4.7;10;10
Entry point for TestXmiFilePersister.testLoadProject;0.019643131027341127;0.010165201891956244;350.9;706.7;10;10
Entry point for TestUseCasesHelper.testIsValidStereoType;0.13567177446445053;0.09630369202868827;43.4;46.8;10;10
Entry point for TestNotationSettings.testShowMultiplicities;0.34343639613791377;0.7054569861112734;0.0;1.6;10;10
Entry point for TestModelFacade2.testSetName;0.644369125324275;0.9397429895770734;21.9;29.6;10;10
Entry point for TestStringNamespace.testToString;0.4411706917274174;0.5453496680111235;31.2;45.2;10;10
Entry point for TestUmlGeneralization.testDeleteClass;0.21948047454897124;0.49629170223109276;67.1;71.6;10;10
Entry point for TestDefaultOclEvaluator.testSequenceConstructors;0.34343639613791377;0.7054569861112734;0.0;1.5;10;10
Entry point for TestMyTokenizer.testLineSeparator;0.34343639613791377;0.7054569861112734;0.0;1.5;10;10
Entry point for TestModelManagementHelper.testGetAllModelElementsOfKindForTagDefinitionInStereotype;0.896686382956658;0.9698499769931556;32.7;35.8;10;10
