# Optimized methods (Rate method)
1122
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.argouml.kernel.ProjectSettings.setShowAssociationNames(boolean);1.0;1.0;0.8;0.75;1;1
org.argouml.uml.diagram.use_case.ui.FigUseCase.setExtensionPointsVisible(boolean);1.0;1.0;1.5333333333333332;0.5;1;1
org.argouml.model.AbstractCoreHelperDecorator.getFirstSharedNamespace(java.lang.Object,java.lang.Object);1.0;1.0;0.16666666666666666;0.0;1;1
org.argouml.uml.util.namespace.StringNamespace(java.lang.String[],java.lang.String);1.0;1.0;0.8;0.0;1;1
org.argouml.notation.providers.uml.OperationNotationUml.toString(java.lang.Object,boolean,boolean,boolean,boolean);1.0;1.0;0.42;0.29523809523809524;1;1
org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl.createCallAction();1.0;1.0;0.6731707317073171;0.4935185185185185;1;1
org.argouml.uml.diagram.ui.ArgoFigText(java.lang.Object,java.awt.Rectangle,org.argouml.uml.diagram.DiagramSettings,boolean);1.0;1.0;1.2377272727272728;0.9977777777777778;1;1
org.argouml.application.events.ArgoEventPump.handleFireProfileEvent(org.argouml.application.events.ArgoProfileEvent,org.argouml.application.events.ArgoProfileEventListener);1.0;1.0;0.8;0.0;1;1
org.argouml.ui.DetailsPane.setTarget(java.lang.Object,boolean);1.0;1.0;0.9935064935064936;0.675;1;1
org.argouml.uml.diagram.ui.FigNodeModelElement.setBoundsImpl(int,int,int,int);1.0;1.0;1.357303370786517;0.38716216216216215;1;1
org.argouml.cognitive.ToDoItem.equals(java.lang.Object);1.0;1.0;1.6;0.0;1;1
org.argouml.uml.cognitive.critics.CrNoOutgoingTransitions();1.0;1.0;0.8;0.0;1;1
org.argouml.model.mdr.StateMachinesHelperMDRImpl.addTransition(java.lang.Object,java.lang.Object);1.0;1.0;0.2558139534883721;0.10697674418604651;1;1
org.argouml.uml.diagram.collaboration.ui.FigAssociationRole(org.argouml.uml.diagram.DiagramEdgeSettings,org.argouml.uml.diagram.DiagramSettings);1.0;1.0;1.55;0.0;1;1
org.argouml.profile.TestProfileFacade.testRegister();1.0;1.0;1.6;0.0;1;1
org.argouml.ui.targetmanager.TestTargetManager.testGetTarget();1.0;1.0;4.8;4.5;1;1
org.argouml.model.mdr.StateMachinesFactoryMDRImpl.deleteCompositeState(java.lang.Object);1.0;1.0;0.9615384615384616;0.5923076923076923;1;1
org.argouml.kernel.TestProject.testTrashcanClassContent();1.0;1.0;62.6;29.7;1;1
org.argouml.model.mdr.CommonBehaviorHelperMDRImpl.addActualArgument(java.lang.Object,java.lang.Object);1.0;1.0;1.6;1.5;1;1
org.argouml.model.mdr.StateMachinesFactoryMDRImpl.buildCompositeState(java.lang.Object);1.0;1.0;1.5;0.75;1;1
org.argouml.model.mdr.ExtensionMechanismsHelperMDRImpl.setValueOfTag(java.lang.Object,java.lang.String);1.0;1.0;0.575;0.3875;1;1
org.argouml.util.TestMyTokenizer.checkConstr(java.lang.String,java.lang.String,java.lang.String[],org.argouml.util.CustomSeparator);1.0;1.0;4.042857142857143;3.742857142857143;1;1
org.argouml.model.mdr.CoreHelperMDRImpl$2.execute();1.0;1.0;0.33361774744027306;0.1550632911392405;1;1
org.argouml.uml.ui.AbstractTestActionAddDiagram.testValidNamespaces();1.0;1.0;14.033333333333333;11.933333333333334;1;1
org.argouml.uml.diagram.static_structure.ui.FigClassifierBox(java.lang.Object,java.awt.Rectangle,org.argouml.uml.diagram.DiagramSettings);1.0;1.0;2.8333333333333335;2.5714285714285716;1;1
org.argouml.cognitive.TestStandardCM.testCurDecisionCM();1.0;1.0;3.2;1.6;1;1
org.argouml.cognitive.critics.SnoozeOrder.getSnoozed();1.0;1.0;0.21428571428571427;0.0;1;1
org.argouml.model.mdr.CoreFactoryMDRImpl.doCopyDataType(java.lang.Object,java.lang.Object);1.0;1.0;5.05;3.95;1;1
org.argouml.uml.cognitive.critics.CrUnnavigableAssoc.getCriticizedDesignMaterials();1.0;1.0;0.5333333333333333;0.0;1;1
org.argouml.uml.diagram.ui.CompartmentFigText(java.lang.Object,java.awt.Rectangle,org.argouml.uml.diagram.DiagramSettings);1.0;1.0;0.35555555555555557;0.0;1;1
org.argouml.model.mdr.ModelEventPumpMDRImpl.mapPropertyName(java.util.Map,javax.jmi.model.ModelElement,java.lang.String);1.0;1.0;0.11382716049382716;0.09893004115226338;1;1
org.argouml.model.mdr.CoreFactoryMDRImpl.createAbstraction();1.0;1.0;1.7625;1.5625;1;1
org.argouml.model.mdr.CoreFactoryMDRImpl.createUsage();1.0;1.0;1.54;0.62;1;1
org.argouml.uml.diagram.ui.FigDependency.constructFigs();1.0;1.0;1.0;0.5333333333333333;1;1
org.argouml.uml.util.PathComparator.compare(java.lang.Object,java.lang.Object);1.0;1.0;0.1043956043956044;0.06576200417536535;1;1
org.argouml.uml.StereotypeUtility.getStereotype(java.lang.Object,java.lang.String);1.0;1.0;2.37;1.8217391304347825;1;1
org.argouml.profile.ProfileMother.createSimpleProfileModel();1.0;1.0;36.2125;26.525;1;1
org.argouml.uml.diagram.ui.FigCompartment.populate();1.0;1.0;1.1883720930232557;0.7603174603174603;1;1
org.argouml.model.mdr.CollaborationsFactoryMDRImpl.buildAssociationEndRole(java.lang.Object);1.0;1.0;1.0925;0.78;1;1
org.argouml.notation.providers.uml.TestActionStateNotationUml.testStringGenerationNoScript();1.0;1.0;6.2;3.2;1;1
org.argouml.uml.cognitive.critics.CrInvalidJoinTriggerOrGuard();1.0;1.0;0.5333333333333333;0.0;1;1
org.argouml.profile.internal.ocl.TestDefaultOclEvaluator.testSetConstructors();1.0;1.0;6.1;1.6;1;1
org.argouml.model.mdr.CoreFactoryMDRImpl.doCopyModelElement(java.lang.Object,java.lang.Object);1.0;1.0;1.753125;1.65625;1;1
org.argouml.model.AbstractCoreHelperDecorator.setDefaultValue(java.lang.Object,java.lang.Object);1.0;1.0;0.36538461538461536;0.196875;1;1
org.argouml.uml.diagram.ui.PathItemPlacement.stuffPoint(java.awt.Point);1.0;1.0;0.11267605633802817;0.09859154929577464;1;1
org.argouml.model.mdr.ModelEventPumpMDRImpl.mapAssociationEnd(java.util.Map,javax.jmi.model.AssociationEnd);1.0;1.0;0.16787878787878788;0.13555555555555557;1;1
org.argouml.ui.targetmanager.TargetManager$HistoryManager.access$6(org.argouml.ui.targetmanager.TargetManager.HistoryManager);1.0;1.0;3.0;1.5;1;1
org.argouml.notation.providers.uml.TransitionNotationUml.delete(java.lang.Object);1.0;1.0;40.7;32.7;1;1
org.argouml.profile.internal.ocl.TestDefaultOclEvaluator.testRejectOperation();1.0;1.0;3.0;1.5;1;1
org.argouml.ui.targetmanager.TargetManager.fireTargetRemoved(org.argouml.ui.targetmanager.TargetEvent);1.0;1.0;0.11428571428571428;0.0;1;1
org.argouml.ui.targetmanager.TargetEvent.getAddedTargets();1.0;1.0;0.1;0.0;1;1
org.argouml.uml.diagram.use_case.ui.UMLUseCaseDiagram(java.lang.Object);1.0;1.0;1.1045454545454545;0.8620689655172413;1;1
org.argouml.notation.providers.uml.StateBodyNotationUml.parseStateDoAction(java.lang.Object,java.lang.String);1.0;1.0;2.5142857142857142;2.0;1;1
org.argouml.model.mdr.CoreFactoryMDRImpl.buildClass();1.0;1.0;3.154004106776181;2.4973509933774833;1;1
org.argouml.uml.diagram.use_case.ui.FigUseCase.initialize(java.awt.Rectangle);1.0;1.0;5.966666666666667;5.466666666666667;1;1
org.argouml.notation.providers.uml.AbstractMessageNotationUml.insertSuccessor(java.lang.Object,java.lang.Object,int);1.0;1.0;2.033333333333333;0.0;1;1
org.argouml.profile.internal.ModelUtils.findTypeInModel(java.lang.String,java.lang.Object);1.0;1.0;0.32;0.14545454545454545;1;1
org.argouml.notation.providers.uml.TestAttributeAndOperationNotationUml.checkParameters(java.lang.Object,java.lang.String,java.lang.String[]);1.0;1.0;9.68;7.033333333333333;1;1
org.argouml.uml.cognitive.critics.CrAssocNameConflict.computeOffenders(java.lang.Object);1.0;1.0;1.7555555555555555;1.3777777777777778;1;1
org.argouml.model.TestUmlGeneralization.testClasshasGeneralizations();1.0;1.0;7.7;4.7;1;1
org.argouml.notation.providers.uml.TransitionNotationUml.parse(java.lang.Object,java.lang.String);1.0;1.0;49.8;35.9;1;1
