# Degradated methods (TTest P-Value)
99
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.argouml.uml.ui.ActionActivityDiagram.createDiagram(java.lang.Object,org.argouml.uml.diagram.DiagramSettings);0.027510910498132483;0.19876460637323523;43.8;51.4;10;10
org.argouml.ui.LookAndFeelMgr();0.0404002543847122;0.22647606604348647;31.3;37.4;10;10
org.argouml.profile.TestUserDefinedProfile.testLoadingConstructor();2.7795228063146827E-13;1.5705228423079642E-4;594.3;684.8;10;10
org.argouml.model.TestCommonBehaviorFactory.testCreates();7.887349308645442E-4;0.005158957570721268;318.2;332.3;10;10
org.argouml.uml.cognitive.critics.TestCrUnconventionalOperName.testPredicate2();0.036787497879786045;0.13057001811573632;78.0;84.0;10;10
org.argouml.profile.URLModelLoader.loadModel(org.argouml.profile.ProfileReference);1.5065924668015558E-6;1.5705228423079642E-4;213.5;260.7;10;10
org.argouml.cognitive.TestToDoItemList.testBasics();0.03398655352488309;0.06964240479832817;196.4;202.8;10;10
org.argouml.persistence.TestXmiFilePersister.testLoadProject();0.019643131027341172;0.010165201891956244;350.9;706.7;10;10
org.argouml.persistence.TestProfileConfigurationFilePersister.testWritePreviouslyLoadedProfile();2.9077339449235597E-4;0.0014988733371517071;789.2;883.1;10;10
org.argouml.model.mdr.StateMachinesFactoryMDRImpl.buildStateMachine(java.lang.Object);0.04934109759307925;0.5523288371551565;15.636363636363637;17.046511627906977;44;43
org.argouml.uml.diagram.state.ui.TestFigClonable.testCompositeStateClonable();0.04493891462558318;0.4056788952850532;31.3;37.2;10;10
org.argouml.kernel.ProfileConfiguration.addProfile(org.argouml.profile.Profile,java.lang.Object);7.57158345463868E-67;0.0;15.927083333333334;213.47533632286996;192;223
org.argouml.model.TestStateMachinesHelper.testGetMetaModelName();0.004695335715162074;0.012611144099313965;131.0;140.4;10;10
org.argouml.ui.targetmanager.TestTargetManager.testGetModelTarget();0.0016178141735990862;0.0274863361115103;15.666666666666666;26.5;9;10
org.argouml.model.TestActivityGraphStateMachine.testDeleteStateMachineTop();0.004587445649352257;0.005158957570721268;165.2;176.3;10;10
org.argouml.uml.diagram.DiagramSettings.setDefaultStereotypeView(org.argouml.uml.diagram.DiagramSettings.StereotypeStyle);0.018635566715349345;0.21602058095545895;15.642857142857142;16.0;14;6
org.argouml.uml.diagram.ui.FigSingleLineTextWithNotation(java.lang.Object,java.awt.Rectangle,org.argouml.uml.diagram.DiagramSettings,boolean);0.03314550026377366;0.12133525035848225;15.0;15.5;6;8
org.argouml.model.mdr.MDRModelImplementation.getFacade();1.5852581647050403E-18;6.722796763725114E-10;57.79654510556622;61.812734082397;521;534
org.argouml.persistence.TestXmiFilePersister.testLoadBadHref();5.573513771467564E-4;0.0019397281129029942;310.4;692.5;10;10
org.argouml.uml.ui.TabStereotype();9.601708312460584E-4;0.009441110155716692;43.8;68.8;20;10
org.argouml.uml.cognitive.critics.AbstractTestMissingName.testHasNoName();1.416278332757619E-6;0.09307828021831333;15.666666666666666;48.84375;3;32
org.argouml.model.TestUseCasesHelper.testGetMetaModelName();4.597182156541242E-6;8.807431907417174E-4;90.4;107.8;10;10
org.argouml.model.mdr.ExtensionMechanismsFactoryMDRImpl.buildTagDefinition(java.lang.String,java.lang.Object,java.lang.Object);0.03075069406663534;0.5177591236012786;16.216666666666665;18.20754716981132;60;159
org.argouml.persistence.TestProfileConfigurationFilePersister.testSaveLoadDefaultConfiguration();2.219656871242276E-11;1.5705228423079642E-4;486.9;744.1;10;10
