# Degradated methods (UTest P-Value)
72
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.argouml.profile.TestUserDefinedProfile.testLoadingConstructor();2.7795228063146827E-13;1.5705228423079642E-4;594.3;684.8;10;10
org.argouml.model.TestCommonBehaviorFactory.testCreates();7.887349308645442E-4;0.005158957570721268;318.2;332.3;10;10
org.argouml.cognitive.checklist.ui.TestTabChecklist.testIcon();0.5585817605861594;0.0019397281129029942;201.1;229.4;10;10
org.argouml.persistence.TestXmiFilePersister.testCreateSaveAndLoadYieldsCorrectModel();0.10254550518695545;0.028365505605209895;983.0;1324.4;10;10
org.argouml.notation.providers.uml.NotationUtilityUml$PropertySpecialString.invoke(java.lang.Object,java.lang.String,java.lang.String);0.14987802751575385;0.00841804406535207;15.333333333333334;20.6;15;10
org.argouml.profile.URLModelLoader.loadModel(org.argouml.profile.ProfileReference);1.5065924668015558E-6;1.5705228423079642E-4;213.5;260.7;10;10
org.argouml.persistence.TestXmiFilePersister.testLoadProject();0.019643131027341172;0.010165201891956244;350.9;706.7;10;10
org.argouml.persistence.TestProfileConfigurationFilePersister.testWritePreviouslyLoadedProfile();2.9077339449235597E-4;0.0014988733371517071;789.2;883.1;10;10
org.argouml.kernel.ProfileConfiguration.addProfile(org.argouml.profile.Profile,java.lang.Object);7.57158345463868E-67;0.0;15.927083333333334;213.47533632286996;192;223
org.argouml.profile.internal.ocl.ContextApplicable.caseAClassifierContext(tudresden.ocl.parser.node.AClassifierContext);0.2021908667950414;0.027529179906742307;59.9;63.95238095238095;20;21
org.argouml.model.TestStateMachinesHelper.testGetMetaModelName();0.004695335715162074;0.012611144099313965;131.0;140.4;10;10
org.argouml.ui.targetmanager.TestTargetManager.testGetModelTarget();0.0016178141735990862;0.0274863361115103;15.666666666666666;26.5;9;10
org.argouml.model.TestActivityGraphStateMachine.testDeleteStateMachineTop();0.004587445649352257;0.005158957570721268;165.2;176.3;10;10
org.argouml.model.mdr.MDRModelImplementation.getFacade();1.5852581647050403E-18;6.722796763725114E-10;57.79654510556622;61.812734082397;521;534
org.argouml.persistence.TestXmiFilePersister.testLoadBadHref();5.573513771467564E-4;0.0019397281129029942;310.4;692.5;10;10
org.argouml.uml.ui.TabStereotype();9.601708312460584E-4;0.009441110155716692;43.8;68.8;20;10
org.argouml.model.TestUseCasesHelper.testGetMetaModelName();4.597182156541242E-6;8.807431907417174E-4;90.4;107.8;10;10
org.argouml.persistence.TestProfileConfigurationFilePersister.testSaveLoadDefaultConfiguration();2.219656871242276E-11;1.5705228423079642E-4;486.9;744.1;10;10
