# Optimized methods (UTest P-Value)
75
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.argouml.ui.targetmanager.TestTargetManager.testGetTarget();NaN;0.049534613435626706;16.0;15.0;3;3
org.argouml.uml.diagram.TestDiagramFactory.testCreateDefaultDiagram();5.374940467242564E-19;1.5705228423079642E-4;452.6;60.8;10;10
org.argouml.model.mdr.MDRModelImplementation.getDefaultRepository();0.009529404389442225;0.013715642034794473;59.2;46.72727272727273;10;11
org.argouml.notation.providers.uml.OperationNotationUml.parseOperation(java.lang.String,java.lang.Object);0.021329535491328083;0.0015784911987121175;21.972027972027973;17.513698630136986;143;146
org.argouml.profile.init.InitProfileSubsystem.init();7.310110299052811E-14;4.5632371492576596E-7;932.3;328.675;30;40
org.argouml.notation.providers.uml.TransitionNotationUml.delete(java.lang.Object);0.014694609034943731;0.00728455700947972;40.7;32.7;10;10
org.argouml.uml.ui.TestActionCollaborationDiagram.testValidNamespaces();3.426395823880234E-5;0.005795358544334661;29.4;17.3;10;10
org.argouml.notation.providers.uml.TransitionNotationUml.parse(java.lang.Object,java.lang.String);0.0032627384585396766;0.008150971593502754;49.8;35.9;10;10
org.argouml.notation.providers.uml.TestTransitionNotationUml.testParseTriggerTimeEvent();0.014891341668279786;0.006501702373081786;60.7;40.6;10;10
org.argouml.ui.TestStylePanel.testTargetSet();3.310247377633895E-19;1.5705228423079642E-4;444.6;219.9;10;10
org.argouml.uml.diagram.ArgoDiagramImpl.constructorInit();1.3152135301853783E-28;5.0770720960713334E-11;184.4016393442623;19.98780487804878;122;82
org.argouml.ui.UndoableAction.actionPerformed(java.awt.event.ActionEvent);1.3988942460149838E-5;0.008711912962379609;328.5833333333333;16.5;12;8
org.argouml.uml.diagram.ArgoDiagramImpl();5.546387311265505E-18;1.0315805987204385E-9;262.8181818181818;21.78787878787879;33;33
org.argouml.notation.providers.uml.TestAttributeAndOperationNotationUml.testAttributeStereotype();4.111560985375524E-6;1.5705228423079642E-4;59.3;21.7;10;10
org.argouml.notation.providers.uml.TestMessageNotationUml.testGenerateIssue5150();0.008219167340097148;0.010165201891956244;142.1;76.4;10;10
org.argouml.ui.targetmanager.TargetManager.internalOnSetTarget(java.lang.String,java.lang.Object[]);2.5396018199523213E-5;1.1110125234248258E-6;97.24;15.666666666666666;75;60
org.argouml.model.mdr.MDRModelImplementation.isReadOnly(java.lang.Object);0.103423477867287;0.024788345335055362;18.956043956043956;15.44186046511628;273;43
org.argouml.profile.internal.ProfileUML();4.02926193339704E-14;4.972895317756354E-9;523.2;72.26315789473684;30;19
org.argouml.profile.internal.ocl.TestCrOCL2.testOclOK(java.lang.Object,java.lang.String);0.022066258786815344;0.023342202012890834;291.7;282.1;10;10
org.argouml.notation.providers.uml.TestClassifierRoleNotationUml.testClassifierRoleName();2.9121426690415304E-24;1.5705228423079642E-4;469.6;87.4;10;10
org.argouml.uml.ui.AbstractTestActionAddDiagram.testCreateDiagram();1.2599456304105315E-8;9.440457215958986E-8;254.76666666666668;23.6;30;30
org.argouml.notation.providers.uml.TestMessageNotationUml.trySomeErrors(java.lang.Object);0.005341207084173355;0.03376297755340352;25.0;15.555555555555555;10;9
org.argouml.uml.diagram.activity.ui.TestUMLActivityDiagram.testUMLActivityDiagram();5.086929790469634E-22;1.5705228423079642E-4;419.8;165.3;10;10
org.argouml.profile.ResourceModelLoader.loadModel(org.argouml.profile.ProfileReference);0.09408785297915156;8.776971137690603E-4;258.51428571428573;247.17676767676767;70;198
org.argouml.profile.TestProfileMother.testSaveProfileModel();4.7110212413826536E-4;3.8105845205071986E-4;382.2;128.0;10;10
org.argouml.notation.providers.uml.TestAttributeAndOperationNotationUml.testAttributeMultiplicity();3.603866053454187E-5;0.0011520450981421515;51.4;23.5;10;10
org.argouml.uml.diagram.collaboration.ui.TestUMLCollaborationDiagram.testUMLCollaborationDiagram();3.3460996249555484E-24;1.5705228423079642E-4;408.7;151.3;10;10
org.argouml.notation.providers.uml.TestClassifierRoleNotationUml.testGetHelp();0.025196406145262498;0.04722090400357715;24.428571428571427;15.25;7;4
org.argouml.profile.internal.ProfileManagerImpl();6.250160299647256E-15;1.1814882405758453E-11;904.7666666666667;308.775;30;40
org.argouml.profile.internal.ProfileMeta();3.8066117131368843E-36;0.019517481182177776;263.03333333333336;15.5;30;2
org.argouml.notation.providers.uml.TestAttributeAndOperationNotationUml.testOperationParameters();0.00958641530375373;0.017257456083119793;74.9;53.1;10;10
org.argouml.uml.diagram.DiagramFactory.createDiagram(org.argouml.uml.diagram.DiagramFactory.DiagramType,java.lang.Object,java.lang.Object);1.3970900204431505E-10;3.618254021953149E-7;190.5084745762712;17.536585365853657;59;41
org.argouml.ui.targetmanager.TargetManager.fireTargetSet(org.argouml.ui.targetmanager.TargetEvent);0.013157302450026448;1.9844698004634065E-4;71.60975609756098;15.678571428571429;41;28
org.argouml.uml.diagram.static_structure.ui.TestUMLClassDiagram.testUMLClassDiagram();1.4001885461950415E-17;0.004677734981047288;377.6;15.25;10;4
