# Unchanged scenarios (UTest P-Value)
466
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
Entry point for TestTransitionNotationUml.testParseTriggerTimeEvent;1.0;1.0;60.7;40.6;1;1
Entry point for TestActionCollaborationDiagram.testValidNamespaces;1.0;1.0;29.4;17.3;1;1
Entry point for TestExtensionMechanismsHelper.testGetMetaModelName;1.0;1.0;28.0;43.5;1;1
Entry point for TestCoreFactory.testDeleteModelelementDependencySupplier;1.0;1.0;7.8;6.3;1;1
Entry point for TestUMLClassDiagram.testUMLClassDiagram;1.0;1.0;377.6;6.1;1;1
Entry point for TestMessageNotationUml.testGetHelp;1.0;1.0;11.0;6.2;1;1
Entry point for TestMessageNotationUml.testGenerateSequenceNumbers;1.0;1.0;32.6;54.7;1;1
Entry point for TestTransitionNotationUml.testGetHelp;1.0;1.0;7.7;0.0;1;1
Entry point for TestModelElementNameNotationJava.testParsingPath;1.0;1.0;50.1;48.1;1;1
Entry point for TestUmlGeneralization.testClasshasSpecializations;1.0;1.0;0.0;0.0;1;1
Entry point for TestTranslator.testGetLocales;1.0;1.0;37.3;21.9;1;1
Entry point for TestProjectManager.testMakeEmptyProject;1.0;1.0;404.1;719.1;1;1
Entry point for TestStateBodyNotationUml.testParseStateBodyCreateCombined;1.0;1.0;246.7;204.5;1;1
Entry point for TestTargetManager.testSetTargets;1.0;1.0;7.8;12.4;1;1
Entry point for TestNotationSettings.testAssociationNames;1.0;1.0;1.6;0.0;1;1
Entry point for TestActivityGraphStateMachine.testDeleteStateMachineTop;1.0;1.0;165.2;176.3;1;1
Entry point for TestCrUnconventionalPackName.testPredicate2;1.0;1.0;78.0;81.2;1;1
Entry point for TestCrUnconventionalOperName.testComputeSuggestion;1.0;1.0;0.0;0.0;1;1
Entry point for TestTabs.testTabStereotypeIcon;1.0;1.0;149.7;149.6;1;1
Entry point for TestProfileMother.testSaveProfileModel;1.0;1.0;382.2;128.0;1;1
Entry point for TestItemUID.testConstructors;1.0;1.0;1.6;7.9;1;1
Entry point for TestProject.testDeleteOperationWithStateDiagram;1.0;1.0;25.0;32.6;1;1
Entry point for TestOsUtil.testTesters;1.0;1.0;3.2;4.7;1;1
Entry point for TestProfileManager.testRemoveProfile;1.0;1.0;3.1;0.0;1;1
Entry point for TestXmiFilePersister.testLoadProject;1.0;1.0;350.9;706.7;1;1
Entry point for TestCoreFactory.testDeleteClassifierAssociation;1.0;1.0;129.5;18.7;1;1
Entry point for TestCallStateNotationUml.testGetHelp;1.0;1.0;6.4;3.1;1;1
Entry point for TestUseCasesHelper.testIsValidStereoType;1.0;1.0;43.4;46.8;1;1
Entry point for TestMessageNotationUml.testValidObjectCheck;1.0;1.0;4.8;3.2;1;1
Entry point for TestNotationSettings.testShowMultiplicities;1.0;1.0;0.0;1.6;1;1
Entry point for TestModelFacade2.testSetName;1.0;1.0;21.9;29.6;1;1
Entry point for TestProject.testTrashcanClassContent;1.0;1.0;62.6;29.7;1;1
Entry point for TestCrUnconventionalAttrName.testNullName;1.0;1.0;0.0;0.0;1;1
Entry point for TestModelManagementFactory.testSingleton;1.0;1.0;0.0;0.0;1;1
Entry point for TestTargetManager.testGetTarget;1.0;1.0;4.8;4.5;1;1
Entry point for AbstractTestActionAddDiagram.testCreateDiagram;1.0;1.0;254.76666666666668;23.6;1;1
Entry point for TestStringNamespace.testToString;1.0;1.0;31.2;45.2;1;1
Entry point for TestExtensionMechanismsFactory.testSingleton;1.0;1.0;1.6;0.0;1;1
Entry point for TestProjectSettings.testMultiplicity;1.0;1.0;18.9;17.1;1;1
Entry point for TestUmlGeneralization.testDeleteClass;1.0;1.0;67.1;71.6;1;1
Entry point for AbstractTestMissingName.testHasName;1.0;1.0;31.575;0.0;1;1
Entry point for TestCopyHelper.testCopyStereotype;1.0;1.0;23.4;23.2;1;1
Entry point for TestDefaultOclEvaluator.testSequenceConstructors;1.0;1.0;0.0;1.5;1;1
Entry point for TestMyTokenizer.testLineSeparator;1.0;1.0;0.0;1.5;1;1
Entry point for TestModelManagementHelper.testGetAllModelElementsOfKindForTagDefinitionInStereotype;1.0;1.0;32.7;35.8;1;1
Entry point for TestProject.testDeleteStateDiagram;1.0;1.0;37.4;26.7;1;1
Entry point for TestProfileReference.testCtorInconsistentFileNameDetected;1.0;1.0;3.1;4.6;1;1
Entry point for TestMultiEditorPane.testTargetSet;1.0;1.0;218.2;231.0;1;1
Entry point for TestCoreHelper.testIsSubType;1.0;1.0;3.1;4.6;1;1
Entry point for TestNotationSettings.testFullyHandleStereotypes;1.0;1.0;1.6;0.0;1;1
Entry point for TestModelEventPump.testRoleAddedSet;1.0;1.0;3.1;4.7;1;1
Entry point for TestProfileReference.testGetPublicReference;1.0;1.0;5162.1;5756.3;1;1
Entry point for TestStateBodyNotationUml.testParseStateBodyRemove;1.0;1.0;85.6;70.3;1;1
Entry point for TestUmlGeneralization.testClasshasGeneralizations;1.0;1.0;7.7;4.7;1;1
Entry point for TestPropertyPanels.testPropertyTab;1.0;1.0;4.813888888888889;4.445833333333333;1;1
Entry point for TestModelEventPump.testPropertySet;1.0;1.0;0.0;0.0;1;1
Entry point for TestSourcePathController.testDeleteSourcePathSettings;1.0;1.0;6.3;1.6;1;1
Entry point for TestProjectWithProfiles.testProjectWithUserDefinedProfilePersistency;1.0;1.0;950.1;1230.7;1;1
Entry point for TestDefaultOclEvaluator.testPredefinedPropertiesAllObjects;1.0;1.0;112.1;101.5;1;1
Entry point for TestXmiFilePersister.testCreateSaveAndLoadYieldsCorrectModel;1.0;1.0;983.0;1324.4;1;1
Entry point for TestActionCollaborationDiagram.testCreateDiagram;1.0;1.0;54.5;56.1;1;1
Entry point for TestCopyHelper.testCopyClass;1.0;1.0;87.4;121.9;1;1
Entry point for TestSourcePathController.testSimpleGetSourcePath;1.0;1.0;3.2;4.6;1;1
Entry point for TestUMLModelElementNameDocument.testRemoveStringHalfway;1.0;1.0;0.0;1.5;1;1
Entry point for TestItemUID.testAssignIDsToObjects;1.0;1.0;792.5;850.4;1;1
Entry point for TestProfileFacade.testRemove;1.0;1.0;0.0;0.0;1;1
Entry point for TestTargetManager.testTransaction;1.0;1.0;9.4;4.7;1;1
Entry point for TestDiagramSettings.testShowBidirectionalArrows;1.0;1.0;1.5;1.5;1;1
Entry point for TestActionStateDiagram.testCreateDiagram;1.0;1.0;60.8;70.2;1;1
Entry point for TestModelElementNameNotationJava.testToStringForRealization;1.0;1.0;28.2;57.8;1;1
Entry point for TestAttributeAndOperationNotationUml.testOperationParseExceptions;1.0;1.0;29.5;9.4;1;1
Entry point for TestActionStateNotationUml.testGenerateRoundTrip;1.0;1.0;7.6;15.5;1;1
Entry point for TestModelEventPump.testRemovedClass;1.0;1.0;1.6;4.7;1;1
Entry point for TestModelEventPump.testFireNonregisteredListener;1.0;1.0;4.8;1.6;1;1
Entry point for TestDecision.testBasics;1.0;1.0;3.2;6.2;1;1
Entry point for TestProfileConfigurationFilePersister.testProfileConfigurationParser;1.0;1.0;15.6;17.1;1;1
Entry point for TestTabDiagram.testSetTargetWithNoDiagram;1.0;1.0;1.5;3.1;1;1
Entry point for TestReaderModelLoader.testLoad;1.0;1.0;2606.7;2650.3;1;1
Entry point for TestCommonBehaviorHelper.testIsValidStereoType;1.0;1.0;84.1;84.3;1;1
Entry point for TestAttributeAndOperationNotationUml.testGetHelpOperation;1.0;1.0;15.7;3.2;1;1
Entry point for TestExtensionMechanismsHelper.testGetAllPossibleStereotypesStereotypeAndMEContainedInSubPackage;1.0;1.0;45.3;14.1;1;1
Entry point for TestProject.testDeleteClassWithInnerClass;1.0;1.0;9.4;6.2;1;1
Entry point for TestStateBodyNotationUml.testValidObjectCheck;1.0;1.0;0.0;0.0;1;1
Entry point for TestTranslator.testGetSystemDefaultLocale;1.0;1.0;0.0;0.0;1;1
Entry point for TestCallStateNotationUml.testValidObjectCheck;1.0;1.0;0.0;0.0;1;1
Entry point for TestModelEventPump.testRoleAddedSetClass;1.0;1.0;4.7;6.3;1;1
Entry point for TestProfileManager.testDefaultProfilesManagement;1.0;1.0;4.6;4.7;1;1
Entry point for TestUmlExtend.testSetExtensionPoints;1.0;1.0;6.3;9.5;1;1
Entry point for TestClassifierRoleNotationUml.testClassifierRoleName;1.0;1.0;469.6;87.4;1;1
Entry point for TestCollaborationsHelper.testAllAvailable;1.0;1.0;129.2;132.6;1;1
Entry point for TestCrAssocNameConflict.testPredicate2;1.0;1.0;79.6;68.7;1;1
Entry point for TestProjectSettings.testAssociationNames;1.0;1.0;19.1;17.2;1;1
Entry point for TestChecklist.testBasics;1.0;1.0;3.2;13.8;1;1
Entry point for TestActionStateNotationUml.testNullBody;1.0;1.0;4.7;21.9;1;1
Entry point for TestStateMachinesFactory.testSingleton;1.0;1.0;0.0;0.0;1;1
Entry point for TestDiagramSettings.testStereotypeView;1.0;1.0;6.2;1.6;1;1
Entry point for TestStateMachinesHelper.testIsValidStereoType;1.0;1.0;73.4;70.1;1;1
Entry point for TestModelFacade2.testTaggedValue;1.0;1.0;42.0;43.4;1;1
Entry point for TestProject.testMakeUntitledProject;1.0;1.0;3.2;4.8;1;1
Entry point for TestNotationSettings.testUseGuillemets;1.0;1.0;0.0;0.0;1;1
Entry point for TestMessageNotationUml.testParseMessage;1.0;1.0;298.0;259.0;1;1
Entry point for TestAttributeAndOperationNotationUml.testAttributeName;1.0;1.0;265.1;162.3;1;1
Entry point for TestModelFacade2.testSetModelElementContainer;1.0;1.0;46.7;56.2;1;1
Entry point for TestActionAddDependency.testAddActions;1.0;1.0;3.2;4.8;1;1
Entry point for TestUmlUseCase.testUseCase;1.0;1.0;84.1;99.6;1;1
Entry point for TestModelFacade2.testGetStereotypes;1.0;1.0;12.6;12.6;1;1
Entry point for TestCoreFactory.testDeleteModelelementDependency;1.0;1.0;9.4;11.0;1;1
Entry point for TestUMLExtensionPointLocationDocument.testRemoveStringHalfway;1.0;1.0;0.0;1.5;1;1
Entry point for TestCrAssocNameConflict.testAssociations;1.0;1.0;59.0;57.7;1;1
Entry point for TestCrDupParamName.testPredicate2;1.0;1.0;103.1;98.4;1;1
Entry point for TestUMLExtensionPointLocationDocument.testInsertStringHalfway;1.0;1.0;1.5;1.6;1;1
Entry point for TestTargetManager.testRemoveTarget;1.0;1.0;6.2;14.0;1;1
Entry point for TestProject.testDeletePackageWithPackageWithActivityDiagram;1.0;1.0;34.3;85.9;1;1
Entry point for TestUserDefinedProfile.testLoadingConstructor;1.0;1.0;594.3;684.8;1;1
Entry point for TestAttributeAndOperationNotationUml.testOperationName;1.0;1.0;81.1;59.1;1;1
Entry point for TestCoreFactory.testDeleteComplete;1.0;1.0;1.6;4.6;1;1
Entry point for TestProfileManager.testGetUMLProfile;1.0;1.0;0.0;0.0;1;1
Entry point for TestFigClonable.testBranchStateClonable;1.0;1.0;96.8;46.6;1;1
Entry point for TestStateBodyNotationUml.testParseStateBodyRemoveInternals;1.0;1.0;101.4;67.1;1;1
Entry point for TestFigClonable.testUseCaseClonable;1.0;1.0;210.6;210.6;1;1
Entry point for TestFigClonable.testFinalStateClonable;1.0;1.0;9.4;11.0;1;1
Entry point for TestNotationSettings.testShowPath;1.0;1.0;1.6;0.0;1;1
Entry point for TestModel2.testCoreFactoryInstance;1.0;1.0;0.0;0.0;1;1
Entry point for TestCoreFactory.testDeleteClassifier1;1.0;1.0;50.2;65.7;1;1
Entry point for TestTargetManager.testNavigate;1.0;1.0;15.4;17.1;1;1
Entry point for TestCoreHelper.testGetMetaModelName;1.0;1.0;120.1;159.0;1;1
Entry point for TestModelEventPump.testPropertySetClass;1.0;1.0;10.8;14.1;1;1
Entry point for TestCopyHelper.testCopyDataType;1.0;1.0;112.3;104.4;1;1
Entry point for TestUmlModel.testNamespace;1.0;1.0;84.1;96.9;1;1
Entry point for TestModelEventPump.testRemoved;1.0;1.0;34.3;23.4;1;1
Entry point for TestDefaultOclEvaluator.testUndefined;1.0;1.0;54.6;17.2;1;1
Entry point for TestCoreHelper.testGetChildren;1.0;1.0;1.6;4.8;1;1
Entry point for TestNotationSettings.testShowTypes;1.0;1.0;0.0;1.5;1;1
Entry point for TestAttributeAndOperationNotationUml.testAttributeVisibility;1.0;1.0;81.0;60.8;1;1
Entry point for TestCrUnconventionalClassName.testComputeSuggestion;1.0;1.0;0.0;0.0;1;1
Entry point for TestCoreFactory.testDeleteModelelementDependencyClient2;1.0;1.0;12.5;7.9;1;1
Entry point for TestCallStateNotationUml.testStringGenerationNoClassNameNoOperName;1.0;1.0;7.8;6.3;1;1
Entry point for TestClassifierRoleNotationUml.testClassifierRoleThrows;1.0;1.0;7.8;12.5;1;1
Entry point for TestCoreFactory.testDeleteModelelementDependencyClient;1.0;1.0;10.9;11.0;1;1
Entry point for TestProfileMother.testCreateSimpleProfileModel;1.0;1.0;18.6;18.7;1;1
Entry point for TestTargetManager.testGetFigTarget;1.0;1.0;25.1;25.1;1;1
Entry point for TestCoreFactory.testBuildTemplate;1.0;1.0;39.1;71.6;1;1
Entry point for TestUMLClassDiagram.testClassDiagramRenderer;1.0;1.0;304.3;311.9;1;1
Entry point for TestProfileManagerImpl.testRegisterAndRemoveDummyProfile;1.0;1.0;0.0;1.6;1;1
Entry point for TestStringNamespace.testGetCommonNamespace;1.0;1.0;31.2;23.5;1;1
Entry point for TestUmlExtend.testUsecaseHasExtensionPoints;1.0;1.0;4.7;0.0;1;1
Entry point for TestMyTokenizer.testPutToken;1.0;1.0;9.3;9.5;1;1
Entry point for TestTranslator.testMessageFormat;1.0;1.0;0.0;0.0;1;1
Entry point for TestTabs.testTabStyleIcon;1.0;1.0;6.3;11.0;1;1
Entry point for TestModelFacade2.testGetModelElementContainer;1.0;1.0;20.1;18.9;1;1
Entry point for TestTransitionNotationUml.testParseTransitionNotCreate;1.0;1.0;14.3;9.6;1;1
Entry point for TestAttributeAndOperationNotationUml.testAttributeNewTypeNamespace;1.0;1.0;29.7;12.7;1;1
Entry point for TestTabs.testTabPropsIcon;1.0;1.0;31.4;26.5;1;1
Entry point for TestTargetManager.testGetTargets;1.0;1.0;252.8;11.1;1;1
Entry point for TestModelManagementHelper.testIsValidStereoType;1.0;1.0;28.0;18.7;1;1
Entry point for TestAttributeAndOperationNotationUml.testGetHelpAttribute;1.0;1.0;6.2;1.6;1;1
Entry point for TestTranslator.testSetLocaleLocale;1.0;1.0;0.0;0.0;1;1
Entry point for TestDefaultOclEvaluator.testSetConstructors;1.0;1.0;6.1;1.6;1;1
Entry point for TestCallStateNotationUml.testGenerateNoLineFeed;1.0;1.0;6.3;3.2;1;1
Entry point for TestTargetManager.testGetModelTarget;1.0;1.0;14.1;26.5;1;1
Entry point for TestFigClonable.testActorClonable;1.0;1.0;18.8;18.8;1;1
Entry point for TestModelElementNameNotationJava.testParsingPathAndModify;1.0;1.0;19.0;25.0;1;1
Entry point for TestStateMachinesFactory.testCreates;1.0;1.0;112.2;107.6;1;1
Entry point for TestTargetManager.testSetTarget;1.0;1.0;0.0;1.6;1;1
Entry point for TestTabDiagram.testConstruction;1.0;1.0;49.9;43.7;1;1
Entry point for TestCopyHelper.testCopyInterface;1.0;1.0;46.7;45.2;1;1
Entry point for TestUserProfileReference.testCtorHappyPath;1.0;1.0;1.6;0.0;1;1
Entry point for TestCoreHelper.testAddClient;1.0;1.0;68.7;35.9;1;1
Entry point for TestActivityGraphsHelper.testIsValidStereoType;1.0;1.0;48.5;50.0;1;1
Entry point for TestProfileDefault.testLoadProfileModel;1.0;1.0;419.8;728.4;1;1
Entry point for TestProject.testDeletePackageWithClass;1.0;1.0;7.8;6.3;1;1
Entry point for TestClassifierRoleNotationUml.testValidObjectCheck;1.0;1.0;0.0;0.0;1;1
Entry point for TestModel2.testCommonBehaviorFactoryInstance;1.0;1.0;0.0;0.0;1;1
Entry point for TestCrOCL.testPredicate;1.0;1.0;368.2;363.5;1;1
Entry point for TestCrNameConflict.testPredicate;1.0;1.0;129.6;120.1;1;1
Entry point for TestProjectWithProfiles.testCreatedProjectContainsProfileConfiguration;1.0;1.0;170.1;516.4;1;1
Entry point for TestTargetManager.testEvents;1.0;1.0;86.0;4.6;1;1
Entry point for TestUMLModelElementNameDocument.testAppendString;1.0;1.0;1.6;1.6;1;1
Entry point for TestNotationSettings.testGetDefaultSettings;1.0;1.0;0.0;0.0;1;1
Entry point for TestTabDiagram.testSetTargetWithDiagram;1.0;1.0;6.3;17.2;1;1
Entry point for TestUmlActor.testActor;1.0;1.0;84.2;96.8;1;1
Entry point for TestTargetManager.testAddTarget;1.0;1.0;89.1;23.6;1;1
Entry point for TestModelFacade2.testErrorThrownInIsAsynchronous;1.0;1.0;18.9;6.2;1;1
