# Methods executed in the first release, but not in the second
518
Name;Average
org.argouml.notation.NotationSettings$8.redo();15.666666666666666
org.argouml.uml.ui.UMLComboBoxModel2.addAll(java.util.Collection);16.0
org.argouml.model.AbstractCoreHelperDecorator.getFirstSharedNamespace(java.lang.Object,java.lang.Object);15.0
org.argouml.uml.util.namespace.StringNamespace(java.lang.String[],java.lang.String);16.0
org.argouml.uml.ui.ActionPaste();15.6
org.argouml.model.mdr.ModelEventPumpMDRImpl.removeClassModelEventListener(java.beans.PropertyChangeListener,java.lang.Object,java.lang.String[]);16.0
org.argouml.application.events.ArgoEventPump.handleFireProfileEvent(org.argouml.application.events.ArgoProfileEvent,org.argouml.application.events.ArgoProfileEventListener);16.0
org.argouml.model.mdr.DataTypesFactoryMDRImpl.createMultiplicity(int,int);15.627450980392156
org.argouml.cognitive.ToDoItem.equals(java.lang.Object);16.0
org.argouml.uml.cognitive.critics.CrNoOutgoingTransitions();16.0
org.argouml.uml.diagram.collaboration.ui.FigAssociationRole(org.argouml.uml.diagram.DiagramEdgeSettings,org.argouml.uml.diagram.DiagramSettings);15.5
org.argouml.uml.ui.behavior.use_cases.TestUMLUseCaseIncludeListModel.removeHalfModel(java.lang.Object[]);15.0
org.argouml.profile.TestProfileFacade.testRegister();16.0
org.argouml.cognitive.Designer.theDesigner();15.0
org.argouml.profile.TestProfileFacade.testGetManagerBeforeInitialisationThrows();16.0
org.argouml.model.TestActivityGraphsFactory.testSingleton();16.0
org.argouml.uml.diagram.state.ui.FigJunctionState.initFigs();15.0
org.argouml.notation.providers.AssociationRoleNotation.initialiseListener(java.beans.PropertyChangeListener,java.lang.Object);16.0
org.argouml.cognitive.checklist.CheckItem(java.lang.String,java.lang.String,java.lang.String,org.argouml.util.Predicate);15.0
org.argouml.cognitive.ToDoList.removeElement(org.argouml.cognitive.ToDoItem);16.0
org.argouml.notation.providers.StateBodyNotation.initialiseListener(java.beans.PropertyChangeListener,java.lang.Object);15.454545454545455
org.argouml.cognitive.critics.SnoozeOrder.getSnoozed();15.0
org.argouml.uml.cognitive.critics.CrUnnavigableAssoc.getCriticizedDesignMaterials();16.0
org.argouml.uml.diagram.ui.CompartmentFigText(java.lang.Object,java.awt.Rectangle,org.argouml.uml.diagram.DiagramSettings);16.0
org.argouml.uml.ui.foundation.core.PropPanelModelElement.getSupplierDependencyScroll();15.5
org.argouml.uml.diagram.ui.FigExtensionPointsCompartment.createFigText(java.lang.Object,java.awt.Rectangle,org.argouml.uml.diagram.DiagramSettings);15.0
org.argouml.model.AbstractCoreHelperDecorator.removeFeature(java.lang.Object,java.lang.Object);15.0
org.argouml.uml.ui.behavior.use_cases.TestUMLUseCaseIncludeListModel.fillModel();15.416666666666666
org.argouml.profile.internal.TestProfileManagerImpl.testRemoveDefaultProfile();21.7
org.argouml.persistence.TodoParser.handleStartElement(org.argouml.persistence.XMLElement);16.0
org.argouml.uml.cognitive.critics.CrInvalidJoinTriggerOrGuard();16.0
org.argouml.model.AbstractCoreHelperDecorator.removeOwnedElement(java.lang.Object,java.lang.Object);15.5
org.argouml.uml.ui.ElementPropPanelFactory.createPropPanel(java.lang.Object);165.5
org.argouml.notation.providers.uml.TestAttributeAndOperationNotationUml.checkThrows(java.lang.Object,java.lang.String,boolean,boolean,boolean);24.666666666666668
org.argouml.model.mdr.UndoCoreHelperDecorator$7.set(boolean);15.0
org.argouml.kernel.ProjectManager.getManager();15.0
org.argouml.uml.diagram.ui.PropPanelDiagram.getHomeModelSelector();20.0
org.argouml.uml.ui.foundation.core.TestUMLGeneralizationPowertypeComboBoxModel.testRemovePowertype();15.75
org.argouml.model.TestModelEventPump.testRemoveLegalClassListener();15.5
org.argouml.uml.ui.UMLEditableComboBox(org.argouml.uml.ui.UMLComboBoxModel2,javax.swing.Action,boolean);19.25
