# Degradated methods (UTest P-Value)
36
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.eclipse.jetty.servlet.InvokerTest.testInvoker();3.070315513753719E-14;1.875990662891791E-5;174.56666666666666;187.2;30;10
org.eclipse.jetty.servlet.AsyncServletLongPollTest.testSuspendedRequestCompletedByAnotherRequest();7.999308632797914E-5;0.01549094048289179;614.5666666666667;625.6;30;10
org.eclipse.jetty.servlet.DispatcherForwardTest.testQueryAggregatesWithFormBeforeAndAfterForward();0.01128557108057632;0.001986518443168106;14.533333333333333;35.2;30;10
org.eclipse.jetty.server.LocalConnector.getResponses(java.nio.ByteBuffer,long,java.util.concurrent.TimeUnit);0.6483036905817974;0.008024363605736884;15.134741784037558;15.766197183098592;4260;1420
org.eclipse.jetty.servlet.AsyncServletIOTest.testWritesFlushWrites();0.002148749543465039;0.0456057407100382;237.76666666666668;252.8;30;10
org.eclipse.jetty.servlet.RequestHeadersTest.testGetLowercaseHeader();0.0075262991934573675;3.6978046197810865E-4;185.3;198.0;30;10
org.eclipse.jetty.servlet.ErrorPageTest.testErrorException();0.0011791516236623863;0.0036745030569654835;187.06666666666666;198.2;30;10
org.eclipse.jetty.servlet.AsyncContextTest.testStartCompleteThrow();7.414557833973823E-8;1.875990662891791E-5;175.16666666666666;188.4;30;10
org.eclipse.jetty.servlet.AsyncContextListenersTest.testAsyncDispatchAsyncCompletePreservesListener();2.8608621137557363E-4;0.0016947187657537777;604.1;619.4;30;10
org.eclipse.jetty.servlet.AsyncServletTest.testSuspendTimeoutSuspendResume();0.0015148376904617475;0.0011605018299080117;209.03333333333333;229.6;30;10
org.eclipse.jetty.servlet.AsyncServletIOTest.testBigWrite();0.010591495646364819;0.01483793411904688;75.8;84.3;30;10
org.eclipse.jetty.server.handler.ContextHandler(org.eclipse.jetty.server.handler.ContextHandler.Context);4.078890510406518E-8;0.006897051211664729;0.24333333333333335;2.032142857142857;900;280
org.eclipse.jetty.servlet.SSLAsyncIOServletTest.testAsyncIOWritesWithAggregation();0.10062933434397736;0.0023745241384204308;532.7166666666667;573.2;60;20
org.eclipse.jetty.server.handler.AbstractHandler.doStart();0.2376363264249266;0.043565295270687754;7.175535168195719;7.868;3270;1000
org.eclipse.jetty.servlet.AsyncServletIOTest.process(int[]);0.6751454238123817;0.014076300844610645;496.02777777777777;550.0166666666667;180;60
org.eclipse.jetty.util.component.AbstractLifeCycle.start();0.28148024684240214;2.144752056048027E-4;6.45747572815534;6.99937369519833;15450;4790
org.eclipse.jetty.servlet.AsyncServletIOTest.testEmpty();1.5294361607241944E-19;2.7966913074273236E-6;7.1;176.5;30;10
org.eclipse.jetty.server.LocalConnector.getResponses(java.lang.String,long,java.util.concurrent.TimeUnit);0.6511171335947792;0.007013771721851136;15.225821596244131;15.853521126760564;4260;1420
org.eclipse.jetty.servlet.AsyncIOServletTest.testAsyncWriteClosed();1.7766654785685578E-5;2.479126859500358E-5;128.13333333333333;146.6;30;10
org.eclipse.jetty.util.component.ContainerLifeCycle.start(org.eclipse.jetty.util.component.LifeCycle);0.2507496069021169;0.020031048474957958;6.5115;7.352747252747252;6000;1820
org.eclipse.jetty.servlet.ResponseHeadersTest.readResponseHeader(java.io.InputStream);2.2795454280576422E-7;2.6565150611945754E-5;154.96666666666667;170.0;30;10
org.eclipse.jetty.util.component.ContainerLifeCycle.doStart();0.28471524664149184;0.018988623789636505;7.772471910112359;8.663803680981594;5340;1630
org.eclipse.jetty.servlet.DefaultServletRangesTest.testNoRangeRequests();2.7135781624061916E-4;2.4247134097110656E-4;212.4;226.3;30;10
org.eclipse.jetty.server.handler.ScopedHandler.doStart();0.625978587508851;0.0393634399579601;3.1731481481481483;3.3333333333333335;2160;660
org.eclipse.jetty.servlet.DefaultServletTest.testWelcomeServlet();1.1694788407094703E-5;5.925253599770031E-6;252.96666666666667;273.2;30;10
org.eclipse.jetty.servlet.AsyncIOServletTest.testAsyncWriteThrowsError();2.1449004949767846E-4;5.57603435422438E-4;593.7333333333333;608.4;30;10
org.eclipse.jetty.servlet.DefaultServletTest.testListingProperUrlEncoding();0.02368035525788208;0.006896397158842937;9.4;14.3;30;10
org.eclipse.jetty.util.ssl.SslContextFactory.doStart();0.06833262636321141;0.012462158294540338;220.53333333333333;238.8;30;10
org.eclipse.jetty.servlet.ResponseHeadersTest.testResponseHeaderFormat();2.6382661338617142E-5;1.317080305329732E-5;175.1;191.6;30;10
org.eclipse.jetty.servlet.ServletContextHandlerTest.testReplaceServletHandlerWithServlet();0.06678111982353517;0.026577517316179744;7.833333333333333;12.6;30;10
org.eclipse.jetty.servlet.DispatcherTest.testServletForwardDotDot();4.1276729018932426E-4;0.035001090259513146;211.33333333333334;220.0;30;10
org.eclipse.jetty.server.SslConnectionFactory.doStart();0.0476680829138304;0.0392559679953155;234.96666666666667;252.8;30;10
org.eclipse.jetty.servlet.AsyncServletIOTest.testBigWrites();0.0012198346409271997;0.024518720845428832;2351.4666666666667;2469.6;30;10
org.eclipse.jetty.servlet.ServletContextHandlerTest.testReplaceServletHandlerWithoutServlet();2.3775718513871348E-4;0.0015226728206726436;429.5;444.5;30;10
org.eclipse.jetty.servlet.DispatcherForwardTest.testQueryRetainedByForwardWithoutQuery();0.023062174775504766;0.03779131250368006;570.1333333333333;583.7;30;10
org.eclipse.jetty.server.LocalConnector.getResponses(java.lang.String);0.6511315052335364;0.006790384426840768;15.248356807511737;15.87605633802817;4260;1420
0.0
0.05
