# Degradated methods (Rate method)
848
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.velocity.Initializer.getVelocityProperties(org.apache.wicket.Application);0.213904109802873;0.5084016744204638;2.066666666666667;4.933333333333334;60;60
org.apache.wicket.request.mapper.parameter.PageParameters$Entry.access$0(org.apache.wicket.request.mapper.parameter.PageParameters.Entry);0.31732361623530314;0.9931092825025516;0.0;8.66738894907909E-4;15660;18460
org.apache.wicket.request.resource.caching.version.LastModifiedResourceVersion.getVersion(org.apache.wicket.request.resource.caching.IStaticCacheableResource);0.8592410309392469;0.5301400733434031;1.0486166007905138;1.224110671936759;2530;2530
org.apache.wicket.protocol.http.servlet.ServletWebRequest.getHeader(java.lang.String);0.8861873086602228;0.9969871697068233;0.003721275018532246;0.003911514796366832;67450;68260
org.apache.wicket.UrlResourceReferenceMapper.mapHandler(org.apache.wicket.request.IRequestHandler);0.008853757914295645;0.8909346812084947;0.010997442455242966;0.030882352941176472;15640;15640
org.apache.wicket.markup.html.list.ListView.removeLink(java.lang.String,org.apache.wicket.markup.html.list.ListItem);0.32347494517138287;0.8473896596867143;0.0;0.4;40;40
org.apache.wicket.RestartResponseAtInterceptPageException$1.mapRequest(org.apache.wicket.request.Request);0.5463058908018923;0.8900736336232729;0.1875;0.3875;80;80
org.apache.wicket.Component.detach();5.167118581911207E-6;0.056036884103893736;0.6864031907179116;1.1844331641285957;82740;82740
org.apache.wicket.request.cycle.RequestCycle.processRequest();0.001283570144091804;0.011733496633241858;433.26235294117646;533.8976470588235;850;850
org.apache.wicket.Session.getId();0.5012885418954028;0.969499118468666;0.011940298507462687;0.021;2680;3000
org.apache.wicket.devutils.debugbar.DebugBar.isVisible();0.2297251964285142;0.9710313607798954;0.017806484295845998;0.03420919656392117;39480;39580
org.apache.wicket.util.parse.metapattern.MetaPattern(java.util.List);0.31732233482279637;0.9931684026202204;0.0;7.820136852394917E-4;20460;20460
org.apache.wicket.markup.MarkupCache.putIntoCache(java.lang.String,org.apache.wicket.MarkupContainer,org.apache.wicket.markup.Markup);0.3019491876964169;0.9321820183408747;0.018072289156626505;0.056626506024096385;830;830
org.apache.wicket.markup.head.CssHeaderItem(java.lang.String);0.31775922485458197;0.9579866799215103;0.0;0.027777777777777776;540;540
org.apache.wicket.examples.hangman.Guess$2$1.onClick();0.005069958538244066;0.36964973295093473;2.981818181818182;7.909090909090909;110;110
org.apache.wicket.core.util.resource.locator.caching.CachingResourceStreamLocator(org.apache.wicket.core.util.resource.locator.IResourceStreamLocator);0.3191826100670393;0.9146213878996873;0.0;0.12307692307692308;130;130
org.apache.wicket.core.request.handler.BookmarkablePageRequestHandler(org.apache.wicket.core.request.handler.IPageProvider);0.1575481614772677;0.965191275247977;0.0;0.009841269841269842;3150;3150
org.apache.wicket.util.tester.FormTester.getInputValue(org.apache.wicket.markup.html.form.FormComponent);0.19314857808324315;0.7918677639192961;0.62;1.55;100;100
org.apache.wicket.markup.html.image.resource.LocalizedImageResource.setResourceReference(org.apache.wicket.request.resource.ResourceReference);0.010842702228204637;0.7311831351333704;0.03885918003565062;0.4;5610;5610
org.apache.wicket.model.util.GenericBaseModel.detach();0.3174379111629053;0.9775872767740519;0.0;0.008421052631578947;1900;1900
org.apache.wicket.MarkupContainer.removeAll();0.03286148617970572;0.8381602055039338;2.5527777777777776;6.330555555555556;720;720
org.apache.wicket.markup.parser.filter.WicketLinkTagHandler.onComponentTag(org.apache.wicket.markup.ComponentTag);0.36998064847244816;0.9790433137212614;0.005569749616760347;0.009708737864077669;19570;19570
org.apache.wicket.examples.niceurl.NiceUrlTest.testPage2PP();2.632278938199602E-6;1.5705228423079642E-4;726.9;1480.6;10;10
org.apache.wicket.request.cycle.RequestCycle.detach();0.014112186669827031;0.5326521952365741;9.056470588235294;21.036470588235293;850;850
org.apache.wicket.util.tester.BaseWicketTester.clickLink(java.lang.String,boolean);1.2083019812822915E-8;1.3978818103055346E-12;438.51875;730.165625;320;320
org.apache.wicket.mock.MockPageManager.touchPage(org.apache.wicket.page.IManageablePage);0.3175766290551221;0.9676237546220364;0.0;0.016483516483516484;910;910
org.apache.wicket.util.tester.BaseWicketTester.setupNextRequestCycle();0.3161891754875399;0.8987406212128274;8.43956043956044;12.148351648351648;910;910
org.apache.wicket.RequestListenerInterface.toString();0.9338470307672863;0.9894663781952965;0.05333333333333334;0.06;300;250
org.apache.wicket.markup.renderStrategy.AbstractHeaderRenderStrategy.renderRootComponent(org.apache.wicket.markup.html.internal.HtmlHeaderContainer,org.apache.wicket.markup.html.internal.HtmlHeaderContainer.HeaderStreamState,org.apache.wicket.Component);0.205273917211227;0.43277736473494066;4.885185185185185;6.898148148148148;540;540
org.apache.wicket.MarkupContainer.access$3(org.apache.wicket.MarkupContainer,int);0.4217924753659059;0.97098237802675;0.010213518291853666;0.013290243745578493;220590;310980
