# Unchanged methods (Rate method)
1704
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.protocol.http.mock.Cookies$Key(javax.servlet.http.Cookie);NaN;1.0;0.0;0.0;100;100
org.apache.wicket.request.mapper.info.PageInfo();NaN;1.0;0.0;0.0;3610;2530
org.apache.wicket.markup.html.form.RadioChoice.appendOptionHtml(org.apache.wicket.util.string.AppendingStringBuffer,java.lang.Object,int,java.lang.String);NaN;1.0;0.0;0.0;30;30
org.apache.wicket.devutils.debugbar.DebugBar(java.lang.String);NaN;1.0;0.0;0.0;420;420
org.apache.wicket.util.collections.MicroMap.put(java.lang.Object,java.lang.Object);NaN;1.0;0.0;0.0;30;30
org.apache.wicket.examples.library.AuthenticatedWebPage();NaN;1.0;0.0;0.0;10;10
org.apache.wicket.util.license.CssLicenseHeaderHandler(java.util.List);NaN;1.0;0.0;0.0;10;10
org.apache.wicket.request.mapper.info.ComponentInfo.getRenderCount();NaN;1.0;0.0;0.0;180;180
org.apache.wicket.request.resource.caching.version.LastModifiedResourceVersion.getVersion(org.apache.wicket.request.resource.caching.IStaticCacheableResource);0.8782592045013176;0.917603984988684;0.5790513833992095;0.563905325443787;2530;1690
org.apache.wicket.util.convert.converter.CalendarConverter();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.settings.MarkupSettings.getMarkupIdGenerator();NaN;1.0;0.0;0.0;1030;1030
org.apache.wicket.session.HttpSessionStore.getBindListeners();NaN;1.0;0.0;0.0;90;90
org.apache.wicket.markup.html.form.FormComponent.onValid();NaN;1.0;0.0;0.0;190;190
org.apache.wicket.MarkupContainer.newDequeueContext();0.533229962008809;0.001168677474516655;3.7273255813953488;3.545762711864407;20640;21240
org.apache.wicket.util.collections.UrlExternalFormComparator();NaN;1.0;0.0;0.0;60;120
org.apache.wicket.markup.html.image.Image.onComponentTag(org.apache.wicket.markup.ComponentTag);0.8052560474252366;0.41037148735199935;5.615221238938053;5.884615384615385;5650;4030
