# Optimized methods (Rate method)
818
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.protocol.http.mock.Cookies$Key(javax.servlet.http.Cookie);0.1583399056597269;0.8069683671707382;0.32;0.0;100;100
org.apache.wicket.util.io.FullyBufferedReader.getLineNumber();0.31732260685287506;0.993090289751818;8.0E-4;0.0;20000;20000
org.apache.wicket.request.mapper.parameter.PageParameters$Entry.access$0(org.apache.wicket.request.mapper.parameter.PageParameters.Entry);0.31732361623530314;0.9931092825025516;8.66738894907909E-4;0.0;18460;15660
org.apache.wicket.request.resource.caching.version.LastModifiedResourceVersion.getVersion(org.apache.wicket.request.resource.caching.IStaticCacheableResource);0.1895807161705253;0.7343934917223554;0.8130434782608695;0.4683794466403162;2530;2530
org.apache.wicket.markup.MarkupCache$DefaultCacheImplementation.get(java.lang.Object);0.31732162822456467;0.9933756043013477;6.893382352941177E-4;0.0;21760;21760
org.apache.wicket.util.collections.IntHashMap.indexFor(int,int);0.7176929109233534;0.9970540043160638;7.179207560886951E-4;5.634314794620138E-4;110040;110040
org.apache.wicket.settings.def.DebugSettings.isLinePreciseReportingOnAddComponentEnabled();0.08341025257385504;0.9822097504396404;0.0016942909760589318;0.0;27150;27150
org.apache.wicket.RestartResponseAtInterceptPageException$1.mapRequest(org.apache.wicket.request.Request);0.3203637152607326;0.891422288274256;0.1875;0.0;80;80
org.apache.wicket.util.license.XmlLicenseHeaderHandler.checkLicenseHeader(java.io.File);0.245103078671288;0.6514490707599907;6.982608695652174;5.8304347826086955;230;230
org.apache.wicket.request.mapper.mount.MountMapper.dismountRequest(org.apache.wicket.request.Request);0.5796242530957358;0.8769515201868247;0.5166666666666667;0.26666666666666666;60;60
org.apache.wicket.settings.def.ResourceSettings.getLocalizer();0.42249371569856997;0.8774949438365505;0.252;0.128;250;250
org.apache.wicket.response.filter.EmptySrcAttributeCheckFilter.filter(org.apache.wicket.util.string.AppendingStringBuffer);0.06618738074023901;0.7103428111533338;0.43703703703703706;0.17222222222222222;540;540
org.apache.wicket.request.cycle.RequestCycleListenerCollection.onRequestHandlerScheduled(org.apache.wicket.request.cycle.RequestCycle,org.apache.wicket.request.IRequestHandler);0.03356338493657417;0.6757837638796165;0.3333333333333333;0.07380952380952381;420;420
org.apache.wicket.Session.getId();0.5691793444254071;0.9643682367386344;0.041390728476821195;0.030463576158940398;3020;3020
org.apache.wicket.ConverterLocator.set(java.lang.Class,org.apache.wicket.util.convert.IConverter);0.3174859443039385;0.9737040513388032;0.010869565217391304;0.0;1380;1380
org.apache.wicket.devutils.debugbar.DebugBar.isVisible();0.060896243483603514;0.9459423210473252;0.04300911854103343;0.015425531914893617;39480;39480
org.apache.wicket.markup.MarkupCache.putIntoCache(java.lang.String,org.apache.wicket.MarkupContainer,org.apache.wicket.markup.Markup);0.3176023024819512;0.9661011351481716;0.01927710843373494;0.0;830;830
org.apache.wicket.examples.hangman.Guess$2$1.onClick();0.22351103350872292;0.4087109142198573;5.1;3.418181818181818;110;110
org.apache.wicket.request.Url.isAbsolute();0.3037520662774944;0.9641428780184538;0.011752021563342319;0.0076010781671159025;18550;18550
org.apache.wicket.markup.head.CssReferenceHeaderItem.getDependencies();0.31775922485458197;0.9579866799215103;0.027777777777777776;0.0;540;540
org.apache.wicket.markup.html.link.DownloadLink.detachModels();0.3298768009211247;0.7867749320074033;0.8;0.0;20;20
org.apache.wicket.session.HttpSessionStore.getSessionId(org.apache.wicket.request.Request,boolean);0.6310139816321181;0.9648553698382574;0.045454545454545456;0.03571428571428571;3080;3080
org.apache.wicket.util.tester.BaseWicketTester.getComponentFromLastRenderedPage(java.lang.String,boolean);0.7490919013670718;0.9612831873062638;0.12380952380952381;0.1;630;630
org.apache.wicket.Component.getRenderBodyOnly();0.8048184124217757;0.995529947494565;0.002616157388028464;0.0023022185014650483;47780;47780
org.apache.wicket.protocol.http.mock.Cookies.keyOf(javax.servlet.http.Cookie);0.15860095656485873;0.7848459489828636;0.4;0.0;80;80
org.apache.wicket.examples.hangman.HangmanPage.getGame();0.4749383100390263;0.9144170270727492;0.14807692307692308;0.08846153846153847;520;520
org.apache.wicket.model.Model.ofList(java.util.List);0.6534092140072476;0.8635062771539542;0.7978723404255319;0.6957446808510638;470;470
org.apache.wicket.feedback.FeedbackCollector.collect(org.apache.wicket.feedback.IFeedbackMessageFilter);0.5137198829710131;0.7966532535542661;1.2352941176470589;1.011764705882353;340;340
org.apache.wicket.Application.setName(java.lang.String);0.27999340286861696;0.37365692271316175;9.1;7.55;60;60
