# Unchanged methods (UTest P-Value)
3592
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.protocol.http.mock.Cookies$Key(javax.servlet.http.Cookie);NaN;1.0;0.0;0.0;100;100
org.apache.wicket.core.request.mapper.MountedMapper$MountPathSegment.getFixedPart();NaN;1.0;0.0;0.0;3550;3550
org.apache.wicket.request.mapper.info.PageInfo();0.3173775496922282;0.9837380753076708;0.0;0.00443213296398892;3610;3610
org.apache.wicket.velocity.Initializer.getVelocityProperties(org.apache.wicket.Application);0.5307156387375672;0.6650055421020291;2.4;1.7833333333333332;60;60
org.apache.wicket.util.io.FullyBufferedReader.getLineNumber();NaN;1.0;0.0;0.0;20000;20000
org.apache.wicket.Component.getMarkup();0.9777959592607356;0.9343163700853924;0.42399888765294774;0.42520393029291803;107880;107880
org.apache.wicket.markup.html.form.RadioChoice.appendOptionHtml(org.apache.wicket.util.string.AppendingStringBuffer,java.lang.Object,int,java.lang.String);0.32558198801619376;0.8244957516547711;0.0;0.5;30;30
org.apache.wicket.devutils.debugbar.DebugBar(java.lang.String);NaN;1.0;0.0;0.0;420;420
org.apache.wicket.util.collections.MicroMap.put(java.lang.Object,java.lang.Object);NaN;1.0;0.0;0.0;30;30
org.apache.wicket.examples.library.AuthenticatedWebPage();NaN;1.0;0.0;0.0;10;10
org.apache.wicket.util.license.CssLicenseHeaderHandler(java.util.List);NaN;1.0;0.0;0.0;10;10
org.apache.wicket.request.mapper.info.ComponentInfo.getRenderCount();NaN;1.0;0.0;0.0;180;180
org.apache.wicket.request.mapper.parameter.PageParameters$Entry.access$0(org.apache.wicket.request.mapper.parameter.PageParameters.Entry);0.3173259601179883;0.9921913501998336;0.0;0.0010217113665389529;15660;15660
org.apache.wicket.protocol.http.servlet.ServletWebResponse.getUrlRenderer();0.342050707334166;0.9693127033982808;0.006681270536692223;0.012048192771084338;9130;9130
org.apache.wicket.request.resource.caching.version.LastModifiedResourceVersion.getVersion(org.apache.wicket.request.resource.caching.IStaticCacheableResource);0.6470235864243882;0.9023626885199072;0.4683794466403162;0.43201581027667985;2530;2530
org.apache.wicket.Page.onRender();0.9871003764745028;0.9845889486941964;413.2092592592593;413.5925925925926;540;540
org.apache.wicket.authorization.Action(java.lang.String);NaN;1.0;0.0;0.0;100;100
org.apache.wicket.util.convert.converter.CalendarConverter();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.Component.setDefaultModel(org.apache.wicket.model.IModel);0.5252434222381179;0.7712337535196756;3.8130434782608695;3.1869565217391305;230;230
org.apache.wicket.MarkupContainer.getAssociatedMarkup();0.7993746260133403;0.6844090167914533;5.422396313364056;5.5363133640552995;10850;10850
org.apache.wicket.protocol.http.servlet.ServletWebRequest.getHeader(java.lang.String);0.40512838210960656;0.9811896395745098;0.0034840622683469237;0.004625648628613788;67450;67450
