# List of all commits from classes found during the repository mining phase (blamed or not)
34
Revision,Bug Fixing,Author,Date,Number of Packages,Number of Files,Number of Insertions,Number of Deletions,Number of Churns,Delta of Lines,Number of Hunks,Number of Issues,Issues
0639719c03a08071db21162238fda9d5f5001dc5,false,Martin Tzvetanov Grigorov,Seg 04-Ago-2014 09:11:12 +0200,1,1,1,1,2,0,1,1,0
0b2dbaab794918c159f913b50fbfb2958deb98d9,true,Martin Tzvetanov Grigorov,Qui 24-Jul-2014 10:33:24 +0300,2,2,12,4,16,8,2,1,5643
0c79489b9c70a5d442b42fdb61b0384fa66065e4,true,andrea del bene,Qua 16-Jul-2014 19:29:28 +0200,1,1,7,0,7,7,2,1,5643
1064d372b48a048bdee292564ec5f45cd00fd3c4,true,andrea del bene,Qui 17-Jul-2014 20:22:35 +0200,2,2,5,12,17,-7,2,1,5643
22bf3cabb8d4c3f264cedd064cacbace8c99f374,false,Martin Tzvetanov Grigorov,Qua 25-Jun-2014 09:43:57 +0300,4,5,31,31,62,0,8,1,5628
46b9ed395b562a82880ffcc6e6cfc1f01e8b172d,true,Martin Tzvetanov Grigorov,Seg 11-Ago-2014 13:33:40 +0200,1,1,21,5,26,16,2,1,5539
5772296f9a59fc6a52895ae2101321e35f0f6d0c,true,Peter Ertl,Qui 17-Jul-2014 13:43:41 +0200,1,1,1,1,2,0,1,1,5647
611dffb273f0cc4aba32af335a0dd72b9733ea7d,true,svenmeier,Qua 30-Jul-2014 22:57:55 +0200,2,2,34,6,40,28,4,1,5655
6154fd6aae702ec5c23d39f6ac3ae9593da4d3b9,false,Martin Tzvetanov Grigorov,Seg 21-Jul-2014 13:02:01 +0300,1,3,61,7,68,54,8,1,5635
655c82685532dbc1536b478c21a5ece7d57ae9f9,false,Martin Tzvetanov Grigorov,Qui 07-Ago-2014 11:38:10 +0200,1,2,104,5,109,99,4,1,5667
6b8439f93e1809e5fc8b5fb283a4c0ff8c0dac47,true,Andrea Del Bene,Ter 22-Jul-2014 18:19:31 +0200,1,1,8,3,11,5,1,1,5643
6ce317cf9414c550e0e66fbae5e35936ee20763d,false,Martin Tzvetanov Grigorov,Ter 12-Ago-2014 12:10:53 +0200,2,5,82,8,90,74,10,1,5673
79d9f699aeb2db05c0939a8d8088328927387e60,false,Martin Tzvetanov Grigorov,Qua 06-Ago-2014 14:00:58 +0200,1,1,2,2,4,0,2,1,0
7b0d8ea0c981d6cdff2a12f5b7317f7170ecec43,false,Martin Tzvetanov Grigorov,Qui 07-Ago-2014 15:20:30 +0200,2,3,8,12,20,-4,6,1,0
966d4dd5e0dbdd08093eba9acd3a8019c61dcc5e,false,Martin Tzvetanov Grigorov,Seg 18-Ago-2014 08:49:05 +0200,1,1,1,1,2,0,1,1,0
9a123fa341da10bd2af0f1eede568d968820b26d,false,svenmeier,Qua 16-Jul-2014 21:26:07 +0200,1,1,17,0,17,17,1,1,5646
9fb48d836a5ad26f991e81222fced6cc290c41e3,false,Martin Tzvetanov Grigorov,Seg 04-Ago-2014 11:49:23 +0200,1,1,1,1,2,0,1,1,5660
a01a674b57fdc274f68fe7e9acfda1914190c878,true,Martin Tzvetanov Grigorov,Ter 12-Ago-2014 10:00:51 +0200,1,1,2,0,2,2,1,1,5539
a5954823353f20a6157156704ae91d6067a1f5c8,false,Martin Tzvetanov Grigorov,Qua 27-Ago-2014 12:11:43 +0300,1,1,1,1,2,0,1,1,0
b5e29819b1aa75ef8648c6ebaf0b5ebf72bdb2da,false,Martin Tzvetanov Grigorov,Seg 21-Jul-2014 15:28:26 +0300,1,3,137,20,157,117,17,1,5648
bea11510645192d94b6b2c226e220b72a1364d15,false,Martin Tzvetanov Grigorov,Seg 14-Jul-2014 10:52:08 +0300,1,1,1,1,2,0,1,1,0
c092d05b53b8abc3fd9a2a59ac0462dc8ba75e98,false,svenmeier,Qua 16-Jul-2014 20:44:59 +0200,1,1,5,1,6,4,2,1,5645
ca4711fe6b05f0cee469fd91643ddef8de69fffe,false,Martin Tzvetanov Grigorov,Sex 08-Ago-2014 13:42:14 +0200,1,1,21,22,43,-1,1,1,0
d0fd2102967f34e35be1d009085c314898b8fb0a,false,Martin Tzvetanov Grigorov,Seg 16-Jun-2014 13:59:21 +0300,1,1,1,2,3,-1,2,1,5602
d38050896b20f98bee1457a0359458e9618307ad,false,Martin Tzvetanov Grigorov,Ter 22-Jul-2014 11:12:51 +0300,1,1,4,2,6,2,2,1,0
d3c429e4cd33c14c16027831f48202c8caf1c3d1,false,Martin Tzvetanov Grigorov,Ter 05-Ago-2014 09:47:52 +0200,1,1,1,1,2,0,1,1,0
de46d5ab95274f9d19c4d372a7f405e705e48384,false,Martin Tzvetanov Grigorov,Seg 04-Ago-2014 16:46:00 +0200,1,2,8,5,13,3,5,1,5660
e193f4f4d5ef6ef9778a150a337236f208e2b060,false,Martin Tzvetanov Grigorov,Qua 09-Jul-2014 13:02:12 +0300,2,6,496,3,499,493,8,1,4344
e50f298107ea2d8526a201d44a7200240747e80b,true,Martin Tzvetanov Grigorov,Seg 21-Jul-2014 13:24:34 +0300,2,2,13,2,15,11,2,1,5636
f0eb015745d387f8051b12acf051705eea4e31c9,false,Martin Tzvetanov Grigorov,Ter 12-Ago-2014 17:04:38 +0200,1,1,1,1,2,0,1,1,0
f6eaa937d4cdda9fd04c3c5312eaca66d5fb52a2,true,Martin Tzvetanov Grigorov,Ter 12-Ago-2014 09:53:07 +0200,1,1,5,5,10,0,5,1,5539
f7e66e61e3097d32b7767890208436b508747ef1,false,Martin Tzvetanov Grigorov,Seg 04-Ago-2014 12:12:34 +0200,1,1,9,4,13,5,4,1,5648
f95e3130b1a0b9d40e77f90f2bf869d21fd851e0,true,Martin Tzvetanov Grigorov,Seg 28-Jul-2014 12:30:06 +0300,1,1,4,3,7,1,1,1,5643
f9668b5ea6d4dfc196409dff588a06dd5b9ea571,false,Martin Tzvetanov Grigorov,Seg 21-Jul-2014 17:26:14 +0300,1,4,234,46,280,188,13,1,5650
