# Degradated methods (Rate method)
864
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.velocity.Initializer.getVelocityProperties(org.apache.wicket.Application);0.7631129392302038;0.8501312234328231;1.7833333333333332;2.066666666666667;60;60
org.apache.wicket.util.io.FullyBufferedReader.getLineNumber();0.31732260685287494;0.993090289751818;0.0;7.5E-4;20000;20000
org.apache.wicket.markup.html.form.RadioChoice.appendOptionHtml(org.apache.wicket.util.string.AppendingStringBuffer,java.lang.Object,int,java.lang.String);0.9637894753414502;0.9941019213254952;0.5;0.5333333333333333;30;30
org.apache.wicket.request.resource.caching.version.LastModifiedResourceVersion.getVersion(org.apache.wicket.request.resource.caching.IStaticCacheableResource);0.22310648804847133;0.6254918970258366;0.43201581027667985;1.0486166007905138;2530;2530
org.apache.wicket.Component.setDefaultModel(org.apache.wicket.model.IModel);0.5076874216048144;0.8068713958688448;3.1869565217391305;3.8521739130434782;230;230
org.apache.wicket.util.lang.Bytes.gigabytes();0.15734725837772456;0.9579721113612276;0.0;0.014814814814814815;2160;2160
org.apache.wicket.UrlResourceReferenceMapper.mapHandler(org.apache.wicket.request.IRequestHandler);0.34161701386731136;0.9687504333423659;0.006969309462915601;0.010997442455242966;15640;15640
org.apache.wicket.markup.MarkupCache$DefaultCacheImplementation.get(java.lang.Object);0.15751990932164306;0.986751665218766;0.0;0.0014246323529411764;21760;21760
org.apache.wicket.session.HttpSessionStore();0.321394279769444;0.8748829885276901;0.0;0.26666666666666666;60;60
org.apache.wicket.markup.html.form.AbstractTextComponent.resolveType();0.3013440176797618;0.9794152848356945;2.0972222222222223;2.6777777777777776;360;360
org.apache.wicket.RestartResponseAtInterceptPageException$1.mapRequest(org.apache.wicket.request.Request);0.3203637152607326;0.891422288274256;0.0;0.1875;80;80
org.apache.wicket.util.license.XmlLicenseHeaderHandler.checkLicenseHeader(java.io.File);0.4037383667404387;0.2152877506669515;10.378260869565217;11.930434782608696;230;230
org.apache.wicket.Component.detach();0.5838269111646142;0.4975599453740144;0.653311578438482;0.6864031907179116;82740;82740
org.apache.wicket.request.mapper.mount.MountMapper.dismountRequest(org.apache.wicket.request.Request);0.321394279769444;0.8748829885276901;0.0;0.26666666666666666;60;60
org.apache.wicket.request.cycle.RequestCycleListenerCollection.onRequestHandlerScheduled(org.apache.wicket.request.cycle.RequestCycle,org.apache.wicket.request.IRequestHandler);0.30192920892540975;0.8571283123735628;0.10952380952380952;0.22380952380952382;420;420
org.apache.wicket.markup.parser.XmlTag.getNamespace();0.10633198189966442;0.9895183480278015;1.1505824823817057E-4;5.609089601610815E-4;139060;139060
org.apache.wicket.util.tester.BaseWicketTester.newFormTester(java.lang.String);0.00753390551204603;0.05357344601492375;7.48;13.7;50;50
org.apache.wicket.core.util.lang.PropertyResolver$ObjectAndGetSetter.setValue(java.lang.Object,org.apache.wicket.core.util.lang.PropertyResolverConverter);0.32036371526073226;0.891422288274256;0.0;0.2;80;80
org.apache.wicket.markup.html.form.TextArea.onComponentTagBody(org.apache.wicket.markup.MarkupStream,org.apache.wicket.markup.ComponentTag);0.6675233716467075;0.9386394268831363;5.5;6.7;40;40
org.apache.wicket.request.Url.isAbsolute();0.3373778921711097;0.9784728925383481;0.007493261455525606;0.011644204851752021;18550;18550
org.apache.wicket.util.tester.FormTester.getInputValue(org.apache.wicket.markup.html.form.FormComponent);0.04504854293115881;0.625069839129129;0.0;0.62;100;100
org.apache.wicket.MarkupContainer.removeAll();0.7227718100557013;0.6236919940763083;2.248611111111111;2.5527777777777776;720;720
org.apache.wicket.markup.resolver.HtmlHeaderResolver.resolve(org.apache.wicket.MarkupContainer,org.apache.wicket.markup.MarkupStream,org.apache.wicket.markup.ComponentTag);0.02531756361072421;0.7477646458453537;0.16124567474048443;0.28131487889273354;2890;2890
org.apache.wicket.examples.signin2.Signin2Test.testSignIn2();0.26563477265015;0.4496917979688907;3714.3;4018.4;10;10
org.apache.wicket.markup.parser.filter.WicketLinkTagHandler.onComponentTag(org.apache.wicket.markup.ComponentTag);0.25086974174524646;0.9790458114319103;0.002401635155850792;0.005569749616760347;19570;19570
org.apache.wicket.request.cycle.RequestCycle.detach();0.47078320569165544;0.8957924919048764;8.105882352941176;9.056470588235294;850;850
org.apache.wicket.model.Model.ofList(java.util.List);0.08554246746574046;0.6088097345680582;0.5957446808510638;1.023404255319149;470;470
org.apache.wicket.Component.detachModel();0.5652843311902369;0.9830113321459639;0.008532753202803963;0.012231085327532028;82740;82740
org.apache.wicket.markup.RawMarkup.toCharSequence();0.15730362502198914;0.9872487996823309;0.0;0.001362281822051937;23490;23490
org.apache.wicket.request.cycle.RequestCycle.setResponsePage(org.apache.wicket.request.component.IRequestablePage);0.3298768009211247;0.7867749320074033;0.0;0.8;20;20
org.apache.wicket.RequestListenerInterface.toString();0.3181190974788869;0.943674862164647;0.0;0.05333333333333334;300;300
org.apache.wicket.Component.modelChanging();0.3327786652241852;0.8931419161850835;0.048484848484848485;0.1393939393939394;330;330
org.apache.wicket.markup.html.form.FormComponentPanel.onComponentTag(org.apache.wicket.markup.ComponentTag);0.34343639613791377;0.7054569861112734;0.0;6.2;10;10
org.apache.wicket.mock.MockRequestParameters.getParameterValues(java.lang.String);0.31739283183048017;0.9819806891689637;0.0;0.005442176870748299;2940;2940
org.apache.wicket.Component.setFlag(int,boolean);0.37650278331733755;0.9961172718938806;1.2923397602918187E-4;1.9298444772391872E-4;959500;968990
org.apache.wicket.markup.parser.filter.WicketContainerTagHandler.onComponentTag(org.apache.wicket.markup.ComponentTag);0.31732265544510363;0.9930764294294886;0.0;7.530120481927711E-4;19920;19920
org.apache.wicket.core.request.mapper.AbstractComponentMapper.getPageClass(java.lang.String);0.4163086348886008;0.8010915663906684;0.41818181818181815;0.6363636363636364;220;220
org.apache.wicket.util.visit.Visit.isDontGoDeeper();0.2862987321058478;0.9930108093235628;2.525817693512805E-4;4.540077373149599E-4;312770;312770
org.apache.wicket.util.time.Duration.hours(int);0.7050248857083004;0.9331362138149037;0.16;0.225;200;200
org.apache.wicket.util.string.StringList();0.5637010517398617;0.9945305022639346;5.012531328320802E-4;0.0010025062656641604;31920;31920
org.apache.wicket.core.util.resource.ClassPathResourceFinder.getResourceStreamWithClassLoader(java.lang.ClassLoader,java.lang.String);0.20102961066966218;0.7199978105872622;0.2736700336700337;0.29297418630751965;44550;44550
org.apache.wicket.core.util.resource.locator.ResourceNameIterator.newStyleAndVariationResourceNameIterator(java.lang.String,java.lang.String);0.10886477156856;0.9366960257286856;0.007242990654205608;0.018107476635514017;8560;8560
org.apache.wicket.core.request.mapper.AbstractComponentMapper.removeMetaParameter(org.apache.wicket.request.Url);0.15960754259254062;0.7303266896009318;0.0;0.62;50;50
org.apache.wicket.request.Url.getCharset();0.3518659981120744;0.9794634237372483;0.0034434620753838996;0.004568349537308188;85960;85370
org.apache.wicket.markup.html.list.PageableListView.getItemCount();0.15846347060913613;0.8157453387131137;0.0;0.2818181818181818;110;110
org.apache.wicket.core.request.mapper.MountedMapper.mapHandler(org.apache.wicket.request.IRequestHandler);0.7869200244214053;0.8821391804373759;0.22477272727272726;0.24104545454545453;22000;22000
org.apache.wicket.util.string.Strings.escapeMarkup(java.lang.CharSequence,boolean,boolean);0.11561568275616729;0.9639029005389255;0.053741838272225013;0.10405156537753223;59730;59730
org.apache.wicket.util.markup.xhtml.WellFormedXmlTestCase.processDirectory(java.io.File);0.08618934171305603;0.018672904866812612;154.975;193.84690265486725;1120;1130
org.apache.wicket.util.license.ApacheLicenseHeaderTestCase$1.visitFile(java.io.File);3.810363222046514E-10;2.9935970369265874E-9;4.032719836400818;5.2419551934826885;4890;4910
org.apache.wicket.util.collections.ConcurrentHashSet.add(java.lang.Object);0.31301622810237684;0.9795027725146723;0.002956185113496393;0.004381488650360725;56830;56830
org.apache.wicket.util.cookies.CookieUtils.initializeCookie(javax.servlet.http.Cookie);0.32558198801619376;0.8244957516547711;0.0;0.5;30;30
org.apache.wicket.Application.getPageRendererProvider();0.3176516720143092;0.9633519510868043;0.0;0.02112676056338028;710;710
org.apache.wicket.Component.getMarkupSourcingStrategy();0.4788399628277039;0.987463543757498;0.013322334501959167;0.016261084759744276;96980;96980
org.apache.wicket.Component.onConfigure();0.08340411658471181;0.9827387726597696;0.0;0.0016296809986130374;28840;28840
org.apache.wicket.util.io.FullyBufferedReader.countLinesTo(int);0.3696985834963794;0.9833458738618293;0.002001291155584248;0.003486120077469335;30980;30980
