# Degradated methods (Rate method)
887
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.util.io.FullyBufferedReader.getLineNumber();0.08340412070318315;0.9775294390515424;0.0;0.00261984392419175;20000;17940
org.apache.wicket.Component.getMarkup();0.8064919424942878;0.7605614607027268;0.11900435709650506;0.12631136044880786;107870;71300
org.apache.wicket.Component.setDefaultModel(org.apache.wicket.model.IModel);0.15002057442981453;0.7973795487541784;2.360869565217391;3.4347826086956523;230;230
org.apache.wicket.MarkupContainer.getAssociatedMarkup();0.37666278714838186;1.0827636956034503E-5;2.569260082565894;2.754183412495433;31490;27370
org.apache.wicket.UrlResourceReferenceMapper.mapHandler(org.apache.wicket.request.IRequestHandler);0.7393681804060879;0.9857101051744717;0.0159846547314578;0.018160741885625966;15640;12940
org.apache.wicket.markup.html.list.ListView.removeLink(java.lang.String,org.apache.wicket.markup.html.list.ListItem);0.3234749451713831;0.8473896596867143;0.0;0.375;40;40
org.apache.wicket.util.collections.IntHashMap.indexFor(int,int);0.3677449945922614;0.991162682205371;5.725190839694657E-4;9.996364958197018E-4;110040;110040
org.apache.wicket.RestartResponseAtInterceptPageException$1.mapRequest(org.apache.wicket.request.Request);0.9636900140406996;0.9986385629881698;0.1875;0.2;80;80
org.apache.wicket.request.handler.render.PageRenderer.getPageProvider();0.5311551584591043;0.9794761181304491;0.006607929515418502;0.014096916299559472;2270;2270
org.apache.wicket.util.license.XmlLicenseHeaderHandler.checkLicenseHeader(java.io.File);4.979538334861052E-6;2.1278715094275036E-5;8.731818181818182;15.280952380952382;220;210
org.apache.wicket.util.file.Files.getLocalFileFromUrl(java.lang.String);0.6496877091010506;0.9741121254349306;0.01857707509881423;0.027218934911242602;2530;1690
org.apache.wicket.response.filter.EmptySrcAttributeCheckFilter.filter(org.apache.wicket.util.string.AppendingStringBuffer);0.5366309466674479;0.9163994037561746;0.11481481481481481;0.17037037037037037;540;540
org.apache.wicket.DequeueContext.pushContainer(org.apache.wicket.MarkupContainer);0.6233184404753882;0.991231585563746;0.0025917813934084274;0.0029316726396803948;191760;170210
org.apache.wicket.Page.onAfterRender();0.8574159169864692;1.63202784619898E-14;14.481481481481481;15.468518518518518;540;540
org.apache.wicket.util.tester.BaseWicketTester.newFormTester(java.lang.String);0.761142590657957;0.8523403566788242;7.48;8.18;50;50
org.apache.wicket.UrlResourceReferenceMapper.getCompatibilityScore(org.apache.wicket.request.Request);0.3176058642095011;0.9658953114150263;0.0;0.01951219512195122;820;820
org.apache.wicket.settings.DebugSettings.getComponentUseCheck();0.8003207646241518;0.9977263258441755;5.361930294906166E-4;7.744433688286545E-4;29840;20660
org.apache.wicket.markup.head.CssReferenceHeaderItem.getDependencies();0.31775922485458197;0.9579866799215103;0.0;0.02962962962962963;540;540
org.apache.wicket.util.tester.FormTester.getInputValue(org.apache.wicket.markup.html.form.FormComponent);0.4097373594362945;0.8069683671707382;0.32;0.64;100;100
org.apache.wicket.markup.html.image.resource.LocalizedImageResource.setResourceReference(org.apache.wicket.request.resource.ResourceReference);0.5832387779533215;0.9324192883454975;0.044563279857397504;0.05538847117794486;5610;3990
org.apache.wicket.MarkupContainer.removeAll();0.2845455070092835;0.43854233229228723;4.101388888888889;8.706944444444444;720;720
org.apache.wicket.examples.hangman.HangmanPage.getGame();0.4714998138719484;0.9143351312752828;0.09038461538461538;0.1519230769230769;520;520
org.apache.wicket.model.Model.ofList(java.util.List);0.7504937184209155;0.8654901027117643;0.6574468085106383;0.725531914893617;470;470
org.apache.wicket.Component.detachModel();0.8748337489936671;0.9979862131347769;0.004665216340343244;0.004925872788139646;82740;41820
org.apache.wicket.util.tester.BaseWicketTester.setupNextRequestCycle();0.5966594218486647;0.8961288943870893;6.447252747252747;7.085714285714285;910;910
org.apache.wicket.feedback.FeedbackCollector.collect(org.apache.wicket.feedback.IFeedbackMessageFilter);0.678665264337557;0.8333247971205008;1.0970588235294119;1.2411764705882353;340;340
org.apache.wicket.request.Url.getHost();0.08234696746606707;0.9862416021365933;1.411631846414455E-4;8.349598785512903E-4;106260;92220
org.apache.wicket.MarkupContainer.access$3(org.apache.wicket.MarkupContainer,int);0.1371800435797793;0.966317083124691;0.008344076318164239;0.010964644260148407;310280;229100
org.apache.wicket.request.Url.isContextAbsolute();0.41362318604871384;0.9639877719382756;0.010210745028198279;0.013076656260839403;33690;28830
org.apache.wicket.markup.parser.filter.WicketContainerTagHandler.onComponentTag(org.apache.wicket.markup.ComponentTag);0.0454972619589399;0.9701320319551013;0.0;0.0033351862145636463;19920;17990
org.apache.wicket.core.request.mapper.AbstractComponentMapper.getPageClass(java.lang.String);2.404357607134469E-4;0.07240961696301995;0.5818181818181818;2.2863636363636366;220;220
org.apache.wicket.util.visit.Visit.isDontGoDeeper();0.5854079316579475;0.9969356685598197;2.0113015994636528E-4;2.995862856055923E-4;313230;210290
org.apache.wicket.util.time.Duration.hours(int);0.9636551608819652;0.9996549369209032;0.075;0.08;200;200
org.apache.wicket.protocol.http.BufferedWebResponse.setHeader(java.lang.String,java.lang.String);0.935294688984639;0.9994494718746072;0.07037037037037037;0.07407407407407407;1080;1080
org.apache.wicket.core.util.resource.locator.ResourceNameIterator.newStyleAndVariationResourceNameIterator(java.lang.String,java.lang.String);0.7136002638734171;0.988390008819882;0.007242990654205608;0.009153543307086615;8560;10160
org.apache.wicket.request.resource.ResourceReferenceRegistry(org.apache.wicket.request.resource.IResourceReferenceFactory);0.5570380456868267;0.6764832801885643;2.8666666666666667;3.6166666666666667;60;60
org.apache.wicket.markup.html.list.PageableListView.getItemCount();0.22276736523230944;0.7439840806594888;0.7307692307692307;1.4307692307692308;130;130
org.apache.wicket.core.request.mapper.MountedMapper.mapHandler(org.apache.wicket.request.IRequestHandler);0.002386364103454234;0.7041992002873085;0.06745454545454546;0.10569886022795441;22000;16670
org.apache.wicket.markup.parser.XmlPullParser.getInputFromPositionMarker(int);0.2694201074172873;0.9783435479637891;0.0014312977099236641;0.0049788135593220335;10480;9440
org.apache.wicket.util.string.Strings.escapeMarkup(java.lang.CharSequence,boolean,boolean);0.12535013315456323;0.8854016682862926;0.047688442211055275;0.14103481163567;59700;41940
org.apache.wicket.util.markup.xhtml.WellFormedXmlTestCase.processDirectory(java.io.File);0.07882209911051237;0.5283247917405218;140.26239316239315;175.93559322033897;1170;1180
org.apache.wicket.filtertest.WithoutCPWithFPTest.testHelloWorld();4.008821244566281E-21;6.3018482210353E-8;63.15;117.05;20;20
org.apache.wicket.util.license.ApacheLicenseHeaderTestCase$1.visitFile(java.io.File);7.798232179001175E-107;0.0;3.7625;8.389655172413793;4880;4930
org.apache.wicket.util.parse.metapattern.Group(org.apache.wicket.util.parse.metapattern.MetaPattern);0.1575234917786118;0.9821055274809514;0.0;0.0024919614147909967;13560;12440
org.apache.wicket.behavior.Behavior.isEnabled(org.apache.wicket.Component);0.31732090659647527;0.9933889478433495;0.0;6.875805758487322E-4;26510;23270
org.apache.wicket.protocol.http.mock.MockHttpServletRequest.setURL(java.lang.String);0.4780021587540674;0.9385354301641796;0.44893617021276594;0.5627659574468085;940;940
org.apache.wicket.markup.head.ResourceAggregator.renderDependencies(org.apache.wicket.markup.head.HeaderItem,java.util.Set);0.15736327836052866;0.9514797271033948;0.0;0.019753086419753086;1620;1620
org.apache.wicket.Component.getMarkupSourcingStrategy();0.2178983006983567;0.9631976175131228;0.011260053619302948;0.018778458156696497;96980;63690
