# Unchanged methods (Rate method)
1691
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.protocol.http.mock.Cookies$Key(javax.servlet.http.Cookie);NaN;1.0;0.0;0.0;100;100
org.apache.wicket.request.mapper.info.PageInfo();NaN;1.0;0.0;0.0;3610;4840
org.apache.wicket.util.io.FullyBufferedReader.getLineNumber();1.0;1.0;7.5E-4;7.5E-4;20000;20000
org.apache.wicket.devutils.debugbar.DebugBar(java.lang.String);NaN;1.0;0.0;0.0;420;420
org.apache.wicket.util.collections.MicroMap.put(java.lang.Object,java.lang.Object);NaN;1.0;0.0;0.0;30;30
org.apache.wicket.examples.library.AuthenticatedWebPage();NaN;1.0;0.0;0.0;10;10
org.apache.wicket.util.license.CssLicenseHeaderHandler(java.util.List);NaN;1.0;0.0;0.0;10;10
org.apache.wicket.request.mapper.info.ComponentInfo.getRenderCount();NaN;1.0;0.0;0.0;180;180
org.apache.wicket.authorization.Action(java.lang.String);NaN;1.0;0.0;0.0;100;100
org.apache.wicket.util.convert.converter.CalendarConverter();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.session.HttpSessionStore.getBindListeners();NaN;1.0;0.0;0.0;90;90
org.apache.wicket.util.value.ValueMap();1.0;1.0;6.902502157031924E-4;6.902502157031924E-4;23180;23180
org.apache.wicket.util.collections.UrlExternalFormComparator();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.markup.html.form.FormComponent.onValid();NaN;1.0;0.0;0.0;190;190
org.apache.wicket.markup.html.image.Image.onComponentTag(org.apache.wicket.markup.ComponentTag);0.8171140696662513;0.30683796528136653;4.707964601769912;4.853982300884955;5650;5650
org.apache.wicket.request.cycle.RequestCycleContext(org.apache.wicket.request.Request,org.apache.wicket.request.Response,org.apache.wicket.request.IRequestMapper,org.apache.wicket.request.IExceptionMapper);NaN;1.0;0.0;0.0;910;910
org.apache.wicket.markup.html.panel.AbstractMarkupSourcingStrategy();NaN;1.0;0.0;0.0;2710;2710
org.apache.wicket.markup.html.form.FormComponent.hasRawInput();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.request.handler.render.PageRenderer.getPageProvider();NaN;1.0;0.0;0.0;1900;2270
org.apache.wicket.Page$5(org.apache.wicket.Page);NaN;1.0;0.0;0.0;540;540
org.apache.wicket.Page.componentModelChanging(org.apache.wicket.Component);1.0;1.0;0.14545454545454545;0.14545454545454545;110;110
org.apache.wicket.util.file.Files.getLocalFileFromUrl(java.lang.String);NaN;1.0;0.0;0.0;2530;2530
org.apache.wicket.response.filter.EmptySrcAttributeCheckFilter.filter(org.apache.wicket.util.string.AppendingStringBuffer);0.9816161691834063;0.9996886462775711;0.11481481481481481;0.11296296296296296;540;540
org.apache.wicket.core.request.handler.BookmarkableListenerInterfaceRequestHandler.getBehaviorIndex();NaN;1.0;0.0;0.0;3090;3080
org.apache.wicket.markup.html.form.Form$9(org.apache.wicket.markup.html.form.Form);NaN;1.0;0.0;0.0;50;50
org.apache.wicket.util.convert.converter.CharacterConverter();NaN;1.0;0.0;0.0;50;50
org.apache.wicket.markup.resolver.WicketMessageResolver();NaN;1.0;0.0;0.0;60;60
org.apache.wicket.util.license.CssLicenseHeaderHandler.getLicenseHeaderFilename();NaN;1.0;0.0;0.0;10;10
org.apache.wicket.request.handler.logger.DelegateLogData(org.apache.wicket.request.ILogData);NaN;1.0;0.0;0.0;20;20
org.apache.wicket.core.request.handler.BufferedResponseRequestHandler.detach(org.apache.wicket.request.IRequestCycle);NaN;1.0;0.0;0.0;250;250
org.apache.wicket.util.tester.BaseWicketTester.newFormTester(java.lang.String);0.8541621384407901;0.5509645322072536;13.7;13.12;50;50
org.apache.wicket.Component.onBeforeRenderChildren();NaN;1.0;0.0;0.0;28760;28760
org.apache.wicket.ConverterLocator.set(java.lang.Class,org.apache.wicket.util.convert.IConverter);NaN;1.0;0.0;0.0;1380;1380
org.apache.wicket.examples.forminput.BeforeAndAfterBorder();NaN;1.0;0.0;0.0;10;10
org.apache.wicket.ConverterLocator$DefaultConverter(java.lang.Class,org.apache.wicket.ConverterLocator.DefaultConverter);NaN;1.0;0.0;0.0;3670;3670
org.apache.wicket.markup.repeater.RepeatingView(java.lang.String);NaN;1.0;0.0;0.0;10;10
org.apache.wicket.request.http.WebResponse();NaN;1.0;0.0;0.0;1450;1450
org.apache.wicket.UrlResourceReferenceMapper.getCompatibilityScore(org.apache.wicket.request.Request);NaN;1.0;0.0;0.0;820;820
org.apache.wicket.util.value.ValueMap.makeImmutable();NaN;1.0;0.0;0.0;9990;9990
org.apache.wicket.core.util.lang.PropertyResolver$ObjectAndGetSetter.setValue(java.lang.Object,org.apache.wicket.core.util.lang.PropertyResolverConverter);1.0;1.0;0.2;0.2;80;80
org.apache.wicket.markup.parser.filter.RelativePathPrefixHandler$1();NaN;1.0;0.0;0.0;50;50
org.apache.wicket.markup.html.form.FormComponent.getInput();NaN;1.0;0.0;0.0;100;100
org.apache.wicket.model.CompoundPropertyModel$AttachedCompoundPropertyModel(org.apache.wicket.model.CompoundPropertyModel,org.apache.wicket.Component);NaN;1.0;0.0;0.0;560;560
org.apache.wicket.markup.head.CssReferenceHeaderItem.getDependencies();NaN;1.0;0.0;0.0;540;540
org.apache.wicket.behavior.Behavior.getStatelessHint(org.apache.wicket.Component);NaN;1.0;0.0;0.0;5960;5980
org.apache.wicket.markup.html.link.DownloadLink.detachModels();NaN;1.0;0.0;0.0;20;20
org.apache.wicket.util.cookies.CookieDefaults.getComment();NaN;1.0;0.0;0.0;30;30
org.apache.wicket.examples.library.User.getBooks();NaN;1.0;0.0;0.0;240;260
