# Unchanged methods (UTest P-Value)
3346
Name;P-Value (TTest);P-Value (UTest);Mean R1;Mean R2;N1;N2
org.apache.wicket.protocol.http.mock.Cookies$Key(javax.servlet.http.Cookie);NaN;1.0;0.0;0.0;100;100
org.apache.wicket.request.mapper.info.PageInfo();NaN;1.0;0.0;0.0;3610;2530
org.apache.wicket.util.io.FullyBufferedReader.getLineNumber();0.08340412070318315;0.9775294390515424;0.0;0.00261984392419175;20000;17940
org.apache.wicket.Component.getMarkup();0.8064919424942878;0.7605614607027268;0.11900435709650506;0.12631136044880786;107870;71300
org.apache.wicket.markup.html.form.RadioChoice.appendOptionHtml(org.apache.wicket.util.string.AppendingStringBuffer,java.lang.Object,int,java.lang.String);NaN;1.0;0.0;0.0;30;30
org.apache.wicket.devutils.debugbar.DebugBar(java.lang.String);NaN;1.0;0.0;0.0;420;420
org.apache.wicket.request.handler.render.WebPageRenderer.shouldPreserveClientUrl(org.apache.wicket.request.cycle.RequestCycle);0.3177510552291226;0.958369671497042;0.02727272727272727;0.0;550;550
org.apache.wicket.util.collections.MicroMap.put(java.lang.Object,java.lang.Object);NaN;1.0;0.0;0.0;30;30
org.apache.wicket.examples.library.AuthenticatedWebPage();NaN;1.0;0.0;0.0;10;10
org.apache.wicket.util.license.CssLicenseHeaderHandler(java.util.List);NaN;1.0;0.0;0.0;10;10
org.apache.wicket.request.mapper.info.ComponentInfo.getRenderCount();NaN;1.0;0.0;0.0;180;180
org.apache.wicket.protocol.http.servlet.ServletWebResponse.getUrlRenderer();0.2994774909646264;0.9729539617608784;0.008543263964950712;0.0037267080745341614;9130;8050
org.apache.wicket.request.resource.caching.version.LastModifiedResourceVersion.getVersion(org.apache.wicket.request.resource.caching.IStaticCacheableResource);0.8782592045013176;0.917603984988684;0.5790513833992095;0.563905325443787;2530;1690
org.apache.wicket.authorization.Action(java.lang.String);0.29803867729341005;0.8246229261069091;0.32;0.07272727272727272;100;220
org.apache.wicket.util.convert.converter.CalendarConverter();NaN;1.0;0.0;0.0;60;60
